NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.0481 | Train Perf: 0.1301 | Eval Error: 0.0479 | Eval Perf: -0.2681
[2, 100] Train Error: 0.0499 | Train Perf: -0.0646 | Eval Error: 0.0471 | Eval Perf: -0.0653
[3, 100] Train Error: 0.0496 | Train Perf: -0.1006 | Eval Error: 0.0468 | Eval Perf: 0.0419
[4, 100] Train Error: 0.0487 | Train Perf: -0.0028 | Eval Error: 0.0485 | Eval Perf: 0.1485
[5, 100] Train Error: 0.0481 | Train Perf: 0.0526 | Eval Error: 0.0481 | Eval Perf: 0.1904
[6, 100] Train Error: 0.0467 | Train Perf: 0.1748 | Eval Error: 0.0457 | Eval Perf: 0.2113
[7, 100] Train Error: 0.0447 | Train Perf: 0.3395 | Eval Error: 0.0455 | Eval Perf: 0.2434
[8, 100] Train Error: 0.0422 | Train Perf: 0.4401 | Eval Error: 0.0443 | Eval Perf: 0.2609
[9, 100] Train Error: 0.039 | Train Perf: 0.5619 | Eval Error: 0.0445 | Eval Perf: 0.2691
[10, 100] Train Error: 0.036 | Train Perf: 0.5855 | Eval Error: 0.043 | Eval Perf: 0.2924
[11, 100] Train Error: 0.0332 | Train Perf: 0.6344 | Eval Error: 0.0424 | Eval Perf: 0.3131
[12, 100] Train Error: 0.0307 | Train Perf: 0.6725 | Eval Error: 0.0421 | Eval Perf: 0.3249
[13, 100] Train Error: 0.0278 | Train Perf: 0.7099 | Eval Error: 0.043 | Eval Perf: 0.3189
[14, 100] Train Error: 0.0257 | Train Perf: 0.7517 | Eval Error: 0.0413 | Eval Perf: 0.3486
[15, 100] Train Error: 0.0221 | Train Perf: 0.7871 | Eval Error: 0.0459 | Eval Perf: 0.325
[16, 100] Train Error: 0.0208 | Train Perf: 0.8086 | Eval Error: 0.0402 | Eval Perf: 0.3802
[17, 100] Train Error: 0.0191 | Train Perf: 0.8207 | Eval Error: 0.0413 | Eval Perf: 0.368
[18, 100] Train Error: 0.0175 | Train Perf: 0.8388 | Eval Error: 0.0401 | Eval Perf: 0.3874
[19, 100] Train Error: 0.0165 | Train Perf: 0.8435 | Eval Error: 0.0425 | Eval Perf: 0.3701
[20, 100] Train Error: 0.0152 | Train Perf: 0.8575 | Eval Error: 0.0415 | Eval Perf: 0.3822
[21, 100] Train Error: 0.0138 | Train Perf: 0.8686 | Eval Error: 0.0411 | Eval Perf: 0.3905
[22, 100] Train Error: 0.0126 | Train Perf: 0.8833 | Eval Error: 0.0431 | Eval Perf: 0.3752
[23, 100] Train Error: 0.0115 | Train Perf: 0.8902 | Eval Error: 0.0407 | Eval Perf: 0.396
[24, 100] Train Error: 0.0114 | Train Perf: 0.8892 | Eval Error: 0.0427 | Eval Perf: 0.3826
[25, 100] Train Error: 0.0108 | Train Perf: 0.8944 | Eval Error: 0.0426 | Eval Perf: 0.387
[26, 100] Train Error: 0.0102 | Train Perf: 0.9014 | Eval Error: 0.0408 | Eval Perf: 0.4072
[27, 100] Train Error: 0.0095 | Train Perf: 0.9071 | Eval Error: 0.0434 | Eval Perf: 0.389
[28, 100] Train Error: 0.0092 | Train Perf: 0.9095 | Eval Error: 0.0426 | Eval Perf: 0.3969
[29, 100] Train Error: 0.0084 | Train Perf: 0.9171 | Eval Error: 0.0406 | Eval Perf: 0.4185
[30, 100] Train Error: 0.0082 | Train Perf: 0.9177 | Eval Error: 0.0406 | Eval Perf: 0.4206
[31, 100] Train Error: 0.0076 | Train Perf: 0.9258 | Eval Error: 0.0446 | Eval Perf: 0.3913
[32, 100] Train Error: 0.0072 | Train Perf: 0.9296 | Eval Error: 0.0408 | Eval Perf: 0.4254
[33, 100] Train Error: 0.0071 | Train Perf: 0.9305 | Eval Error: 0.0405 | Eval Perf: 0.43
[34, 100] Train Error: 0.0068 | Train Perf: 0.9336 | Eval Error: 0.0399 | Eval Perf: 0.4373
[35, 100] Train Error: 0.0065 | Train Perf: 0.9369 | Eval Error: 0.0417 | Eval Perf: 0.4233
[36, 100] Train Error: 0.0062 | Train Perf: 0.9399 | Eval Error: 0.0409 | Eval Perf: 0.4337
[37, 100] Train Error: 0.0058 | Train Perf: 0.9429 | Eval Error: 0.0432 | Eval Perf: 0.4215
[38, 100] Train Error: 0.0057 | Train Perf: 0.9447 | Eval Error: 0.0433 | Eval Perf: 0.4219
[39, 100] Train Error: 0.0052 | Train Perf: 0.9498 | Eval Error: 0.0411 | Eval Perf: 0.4401
[40, 100] Train Error: 0.0052 | Train Perf: 0.9495 | Eval Error: 0.0414 | Eval Perf: 0.4368
[41, 100] Train Error: 0.0049 | Train Perf: 0.9525 | Eval Error: 0.0404 | Eval Perf: 0.4474
[42, 100] Train Error: 0.0048 | Train Perf: 0.9544 | Eval Error: 0.0434 | Eval Perf: 0.4262
[43, 100] Train Error: 0.0044 | Train Perf: 0.9572 | Eval Error: 0.0446 | Eval Perf: 0.4205
[44, 100] Train Error: 0.0043 | Train Perf: 0.9592 | Eval Error: 0.0423 | Eval Perf: 0.4366
[45, 100] Train Error: 0.0042 | Train Perf: 0.9595 | Eval Error: 0.0417 | Eval Perf: 0.4416
[46, 100] Train Error: 0.0039 | Train Perf: 0.963 | Eval Error: 0.0413 | Eval Perf: 0.4492
[47, 100] Train Error: 0.0038 | Train Perf: 0.964 | Eval Error: 0.0427 | Eval Perf: 0.4395
[48, 100] Train Error: 0.0038 | Train Perf: 0.9644 | Eval Error: 0.0415 | Eval Perf: 0.4501
[49, 100] Train Error: 0.0036 | Train Perf: 0.9658 | Eval Error: 0.0406 | Eval Perf: 0.457
[50, 100] Train Error: 0.0036 | Train Perf: 0.966 | Eval Error: 0.0425 | Eval Perf: 0.4439
[51, 100] Train Error: 0.0034 | Train Perf: 0.9678 | Eval Error: 0.041 | Eval Perf: 0.4541
[52, 100] Train Error: 0.0033 | Train Perf: 0.9696 | Eval Error: 0.0431 | Eval Perf: 0.4397
[53, 100] Train Error: 0.003 | Train Perf: 0.972 | Eval Error: 0.042 | Eval Perf: 0.4469
[54, 100] Train Error: 0.0029 | Train Perf: 0.9733 | Eval Error: 0.041 | Eval Perf: 0.4548
[55, 100] Train Error: 0.003 | Train Perf: 0.9718 | Eval Error: 0.0426 | Eval Perf: 0.4452
[56, 100] Train Error: 0.0029 | Train Perf: 0.973 | Eval Error: 0.0425 | Eval Perf: 0.4459
[57, 100] Train Error: 0.0027 | Train Perf: 0.9742 | Eval Error: 0.0427 | Eval Perf: 0.4438
[58, 100] Train Error: 0.0027 | Train Perf: 0.9756 | Eval Error: 0.0411 | Eval Perf: 0.4564
[59, 100] Train Error: 0.0026 | Train Perf: 0.9765 | Eval Error: 0.0432 | Eval Perf: 0.4437
[60, 100] Train Error: 0.0024 | Train Perf: 0.9774 | Eval Error: 0.0429 | Eval Perf: 0.4467
[61, 100] Train Error: 0.0025 | Train Perf: 0.9775 | Eval Error: 0.0412 | Eval Perf: 0.4599
[62, 100] Train Error: 0.0023 | Train Perf: 0.979 | Eval Error: 0.0413 | Eval Perf: 0.4601
[63, 100] Train Error: 0.0023 | Train Perf: 0.9789 | Eval Error: 0.0424 | Eval Perf: 0.4509
[64, 100] Train Error: 0.0022 | Train Perf: 0.9799 | Eval Error: 0.0424 | Eval Perf: 0.4528
[65, 100] Train Error: 0.0021 | Train Perf: 0.9805 | Eval Error: 0.0424 | Eval Perf: 0.4542
[66, 100] Train Error: 0.0021 | Train Perf: 0.9812 | Eval Error: 0.0419 | Eval Perf: 0.4574
[67, 100] Train Error: 0.002 | Train Perf: 0.982 | Eval Error: 0.043 | Eval Perf: 0.449
[68, 100] Train Error: 0.0019 | Train Perf: 0.9831 | Eval Error: 0.0424 | Eval Perf: 0.4563
[69, 100] Train Error: 0.0019 | Train Perf: 0.9831 | Eval Error: 0.0415 | Eval Perf: 0.4622
