NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.0129 | Train Perf: 0.2758 | Eval Error: 0.0108 | Eval Perf: 0.5443
[2, 100] Train Error: 0.0081 | Train Perf: 0.6644 | Eval Error: 0.0082 | Eval Perf: 0.7065
[3, 100] Train Error: 0.0063 | Train Perf: 0.7479 | Eval Error: 0.0065 | Eval Perf: 0.7441
[4, 100] Train Error: 0.0049 | Train Perf: 0.8062 | Eval Error: 0.0067 | Eval Perf: 0.7949
[5, 100] Train Error: 0.0043 | Train Perf: 0.8339 | Eval Error: 0.0052 | Eval Perf: 0.8075
[6, 100] Train Error: 0.0038 | Train Perf: 0.8557 | Eval Error: 0.0045 | Eval Perf: 0.8304
[7, 100] Train Error: 0.0033 | Train Perf: 0.8727 | Eval Error: 0.0045 | Eval Perf: 0.8305
[8, 100] Train Error: 0.003 | Train Perf: 0.8853 | Eval Error: 0.0047 | Eval Perf: 0.8294
[9, 100] Train Error: 0.0028 | Train Perf: 0.8921 | Eval Error: 0.0044 | Eval Perf: 0.8319
[10, 100] Train Error: 0.0027 | Train Perf: 0.8994 | Eval Error: 0.0047 | Eval Perf: 0.8422
[11, 100] Train Error: 0.0026 | Train Perf: 0.9019 | Eval Error: 0.0043 | Eval Perf: 0.8361
[12, 100] Train Error: 0.0023 | Train Perf: 0.913 | Eval Error: 0.0041 | Eval Perf: 0.8452
[13, 100] Train Error: 0.0023 | Train Perf: 0.9132 | Eval Error: 0.0043 | Eval Perf: 0.8417
[14, 100] Train Error: 0.0022 | Train Perf: 0.9167 | Eval Error: 0.0042 | Eval Perf: 0.8437
[15, 100] Train Error: 0.0021 | Train Perf: 0.923 | Eval Error: 0.0041 | Eval Perf: 0.8472
[16, 100] Train Error: 0.002 | Train Perf: 0.9246 | Eval Error: 0.0042 | Eval Perf: 0.8402
[17, 100] Train Error: 0.002 | Train Perf: 0.9246 | Eval Error: 0.0042 | Eval Perf: 0.8434
[18, 100] Train Error: 0.002 | Train Perf: 0.9264 | Eval Error: 0.004 | Eval Perf: 0.8506
[19, 100] Train Error: 0.0019 | Train Perf: 0.9305 | Eval Error: 0.004 | Eval Perf: 0.8532
[20, 100] Train Error: 0.0018 | Train Perf: 0.9331 | Eval Error: 0.0043 | Eval Perf: 0.8418
[21, 100] Train Error: 0.0018 | Train Perf: 0.933 | Eval Error: 0.004 | Eval Perf: 0.8508
[22, 100] Train Error: 0.0018 | Train Perf: 0.9341 | Eval Error: 0.0041 | Eval Perf: 0.8455
[23, 100] Train Error: 0.0017 | Train Perf: 0.9354 | Eval Error: 0.0041 | Eval Perf: 0.8469
[24, 100] Train Error: 0.0017 | Train Perf: 0.9372 | Eval Error: 0.004 | Eval Perf: 0.8511
[25, 100] Train Error: 0.0016 | Train Perf: 0.9396 | Eval Error: 0.0041 | Eval Perf: 0.8474
[26, 100] Train Error: 0.0016 | Train Perf: 0.9402 | Eval Error: 0.0041 | Eval Perf: 0.8459
[27, 100] Train Error: 0.0016 | Train Perf: 0.9394 | Eval Error: 0.0041 | Eval Perf: 0.8456
[28, 100] Train Error: 0.0016 | Train Perf: 0.942 | Eval Error: 0.0039 | Eval Perf: 0.8528
[29, 100] Train Error: 0.0015 | Train Perf: 0.9431 | Eval Error: 0.004 | Eval Perf: 0.8533
[30, 100] Train Error: 0.0015 | Train Perf: 0.9444 | Eval Error: 0.0041 | Eval Perf: 0.8444
[31, 100] Train Error: 0.0015 | Train Perf: 0.9458 | Eval Error: 0.0042 | Eval Perf: 0.8488
[32, 100] Train Error: 0.0015 | Train Perf: 0.9453 | Eval Error: 0.0039 | Eval Perf: 0.8528
[33, 100] Train Error: 0.0015 | Train Perf: 0.9457 | Eval Error: 0.0038 | Eval Perf: 0.8569
[34, 100] Train Error: 0.0014 | Train Perf: 0.9477 | Eval Error: 0.0038 | Eval Perf: 0.8586
[35, 100] Train Error: 0.0014 | Train Perf: 0.9481 | Eval Error: 0.004 | Eval Perf: 0.851
[36, 100] Train Error: 0.0014 | Train Perf: 0.9484 | Eval Error: 0.004 | Eval Perf: 0.8505
[37, 100] Train Error: 0.0014 | Train Perf: 0.9501 | Eval Error: 0.0039 | Eval Perf: 0.854
[38, 100] Train Error: 0.0014 | Train Perf: 0.9499 | Eval Error: 0.0039 | Eval Perf: 0.854
[39, 100] Train Error: 0.0013 | Train Perf: 0.9509 | Eval Error: 0.0039 | Eval Perf: 0.8537
[40, 100] Train Error: 0.0013 | Train Perf: 0.9524 | Eval Error: 0.0038 | Eval Perf: 0.8584
[41, 100] Train Error: 0.0013 | Train Perf: 0.9526 | Eval Error: 0.0039 | Eval Perf: 0.8584
[42, 100] Train Error: 0.0013 | Train Perf: 0.9526 | Eval Error: 0.0039 | Eval Perf: 0.8546
[43, 100] Train Error: 0.0013 | Train Perf: 0.9531 | Eval Error: 0.0038 | Eval Perf: 0.8572
[44, 100] Train Error: 0.0012 | Train Perf: 0.9542 | Eval Error: 0.0039 | Eval Perf: 0.856
[45, 100] Train Error: 0.0012 | Train Perf: 0.9553 | Eval Error: 0.004 | Eval Perf: 0.8498
[46, 100] Train Error: 0.0012 | Train Perf: 0.9565 | Eval Error: 0.0041 | Eval Perf: 0.8483
[47, 100] Train Error: 0.0012 | Train Perf: 0.9559 | Eval Error: 0.004 | Eval Perf: 0.854
[48, 100] Train Error: 0.0012 | Train Perf: 0.956 | Eval Error: 0.0039 | Eval Perf: 0.8531
[49, 100] Train Error: 0.0011 | Train Perf: 0.9581 | Eval Error: 0.004 | Eval Perf: 0.8574
[50, 100] Train Error: 0.0011 | Train Perf: 0.9583 | Eval Error: 0.004 | Eval Perf: 0.858
[51, 100] Train Error: 0.0011 | Train Perf: 0.9581 | Eval Error: 0.0039 | Eval Perf: 0.8576
[52, 100] Train Error: 0.0012 | Train Perf: 0.9576 | Eval Error: 0.0038 | Eval Perf: 0.8563
[53, 100] Train Error: 0.0011 | Train Perf: 0.9592 | Eval Error: 0.004 | Eval Perf: 0.8521
[54, 100] Train Error: 0.0011 | Train Perf: 0.9594 | Eval Error: 0.0039 | Eval Perf: 0.8558
[55, 100] Train Error: 0.0011 | Train Perf: 0.9598 | Eval Error: 0.0039 | Eval Perf: 0.8549
[56, 100] Train Error: 0.0011 | Train Perf: 0.9604 | Eval Error: 0.004 | Eval Perf: 0.8502
[57, 100] Train Error: 0.0011 | Train Perf: 0.9604 | Eval Error: 0.0039 | Eval Perf: 0.854
[58, 100] Train Error: 0.0011 | Train Perf: 0.9604 | Eval Error: 0.004 | Eval Perf: 0.8525
[59, 100] Train Error: 0.0011 | Train Perf: 0.9614 | Eval Error: 0.004 | Eval Perf: 0.8525
[60, 100] Train Error: 0.0011 | Train Perf: 0.9613 | Eval Error: 0.004 | Eval Perf: 0.8531
[61, 100] Train Error: 0.001 | Train Perf: 0.9627 | Eval Error: 0.004 | Eval Perf: 0.8561
[62, 100] Train Error: 0.001 | Train Perf: 0.9619 | Eval Error: 0.0041 | Eval Perf: 0.849
[63, 100] Train Error: 0.001 | Train Perf: 0.9631 | Eval Error: 0.0041 | Eval Perf: 0.8487
[64, 100] Train Error: 0.001 | Train Perf: 0.9631 | Eval Error: 0.0041 | Eval Perf: 0.8482
[65, 100] Train Error: 0.001 | Train Perf: 0.9635 | Eval Error: 0.0041 | Eval Perf: 0.8484
[66, 100] Train Error: 0.001 | Train Perf: 0.9636 | Eval Error: 0.0042 | Eval Perf: 0.8431
[67, 100] Train Error: 0.001 | Train Perf: 0.9641 | Eval Error: 0.0042 | Eval Perf: 0.8541
[68, 100] Train Error: 0.001 | Train Perf: 0.9635 | Eval Error: 0.004 | Eval Perf: 0.8499
[69, 100] Train Error: 0.001 | Train Perf: 0.9644 | Eval Error: 0.0041 | Eval Perf: 0.8469
[70, 100] Train Error: 0.001 | Train Perf: 0.965 | Eval Error: 0.0041 | Eval Perf: 0.8489
[71, 100] Train Error: 0.001 | Train Perf: 0.965 | Eval Error: 0.0042 | Eval Perf: 0.8426
[72, 100] Train Error: 0.001 | Train Perf: 0.9647 | Eval Error: 0.0041 | Eval Perf: 0.8487
[73, 100] Train Error: 0.0009 | Train Perf: 0.9658 | Eval Error: 0.0042 | Eval Perf: 0.8443
[74, 100] Train Error: 0.0009 | Train Perf: 0.966 | Eval Error: 0.0041 | Eval Perf: 0.8484
[75, 100] Train Error: 0.0009 | Train Perf: 0.9657 | Eval Error: 0.0041 | Eval Perf: 0.8482
[76, 100] Train Error: 0.0009 | Train Perf: 0.9661 | Eval Error: 0.0041 | Eval Perf: 0.8462
[77, 100] Train Error: 0.0009 | Train Perf: 0.9665 | Eval Error: 0.0042 | Eval Perf: 0.8416
[78, 100] Train Error: 0.0009 | Train Perf: 0.9666 | Eval Error: 0.0042 | Eval Perf: 0.8479
[79, 100] Train Error: 0.0009 | Train Perf: 0.9665 | Eval Error: 0.0042 | Eval Perf: 0.8434
[80, 100] Train Error: 0.0009 | Train Perf: 0.9675 | Eval Error: 0.0042 | Eval Perf: 0.8442
[81, 100] Train Error: 0.0009 | Train Perf: 0.9669 | Eval Error: 0.0041 | Eval Perf: 0.8456
[82, 100] Train Error: 0.0009 | Train Perf: 0.9673 | Eval Error: 0.0042 | Eval Perf: 0.8437
[83, 100] Train Error: 0.0009 | Train Perf: 0.968 | Eval Error: 0.0042 | Eval Perf: 0.8455
[84, 100] Train Error: 0.0009 | Train Perf: 0.968 | Eval Error: 0.0042 | Eval Perf: 0.8434
[85, 100] Train Error: 0.0009 | Train Perf: 0.968 | Eval Error: 0.0043 | Eval Perf: 0.8405
[86, 100] Train Error: 0.0009 | Train Perf: 0.9677 | Eval Error: 0.0043 | Eval Perf: 0.8438
[87, 100] Train Error: 0.0009 | Train Perf: 0.9683 | Eval Error: 0.0042 | Eval Perf: 0.8428
[88, 100] Train Error: 0.0009 | Train Perf: 0.9686 | Eval Error: 0.0042 | Eval Perf: 0.8416
[89, 100] Train Error: 0.0009 | Train Perf: 0.9685 | Eval Error: 0.0042 | Eval Perf: 0.8464
[90, 100] Train Error: 0.0008 | Train Perf: 0.969 | Eval Error: 0.0043 | Eval Perf: 0.8412
[91, 100] Train Error: 0.0008 | Train Perf: 0.969 | Eval Error: 0.0043 | Eval Perf: 0.8425
[92, 100] Train Error: 0.0008 | Train Perf: 0.969 | Eval Error: 0.0042 | Eval Perf: 0.8448
[93, 100] Train Error: 0.0008 | Train Perf: 0.9695 | Eval Error: 0.0043 | Eval Perf: 0.8422
[94, 100] Train Error: 0.0008 | Train Perf: 0.9694 | Eval Error: 0.0043 | Eval Perf: 0.8436
[95, 100] Train Error: 0.0008 | Train Perf: 0.9698 | Eval Error: 0.0043 | Eval Perf: 0.8398
[96, 100] Train Error: 0.0008 | Train Perf: 0.9698 | Eval Error: 0.0043 | Eval Perf: 0.8414
[97, 100] Train Error: 0.0008 | Train Perf: 0.9698 | Eval Error: 0.0043 | Eval Perf: 0.8399
[98, 100] Train Error: 0.0008 | Train Perf: 0.9698 | Eval Error: 0.0043 | Eval Perf: 0.8421
[99, 100] Train Error: 0.0008 | Train Perf: 0.9704 | Eval Error: 0.0044 | Eval Perf: 0.8388
[100, 100] Train Error: 0.0008 | Train Perf: 0.9701 | Eval Error: 0.0043 | Eval Perf: 0.8405
