ALLELE	MODEL	ETA	NHIDDEN	ENCODING	PCC	MSE
A0203	ANN	0.1	5	bl	0.83388	0.027679
A0203	ANN	0.1	5	sp	0.81961	0.0300059
A0203	ANN	0.5	2	bl	0.81520	0.0306237
A0203	ANN	0.5	2	sp	0.81932	0.0299456
A0203	ANN	0.5	3	bl	0.81963	0.0298327
A0203	ANN	0.5	3	sp	0.81827	0.0301966
A0203	ANN	0.5	5	bl	0.82055	0.0296945
A0203	ANN	0.5	5	sp	0.81947	0.029968
A0203	ANN	1	2	bl	0.80046	0.0328291
A0203	ANN	1	2	sp	0.81342	0.0309123
A0203	ANN	1	3	bl	0.80005	0.0328045
A0203	ANN	1	3	sp	0.81622	0.0304718
A0203	ANN	1	5	bl	0.81604	0.0305066
A0203	ANN	1	5	sp	0.81601	0.0305268
B4002	ANN	0.1	2	bl	0.77339	0.016233
B4002	ANN	0.1	2	sp	0.63976	0.0255062
B4002	ANN	0.1	3	bl	0.78569	0.0154836
B4002	ANN	0.1	3	sp	0.66906	0.0242652
B4002	ANN	0.1	5	bl	0.77844	0.0158668
B4002	ANN	0.1	5	sp	0.66253	0.0238432
B4002	ANN	0.5	2	bl	0.81883	0.0132313
B4002	ANN	0.5	2	sp	0.69022	0.0210619
B4002	ANN	0.5	3	bl	0.82125	0.0130757
B4002	ANN	0.5	3	sp	0.71621	0.019656
B4002	ANN	0.5	5	bl	0.80889	0.0138773
B4002	ANN	0.5	5	sp	0.69901	0.0205863
B4002	ANN	1	2	bl	0.82696	0.012693
B4002	ANN	1	2	sp	0.69374	0.0208368
B4002	ANN	1	3	bl	0.83357	0.0123281
B4002	ANN	1	3	sp	0.72072	0.0193121
B4002	ANN	1	5	bl	0.81150	0.0137681
B4002	ANN	1	5	sp	0.70397	0.020267
A1101	ANN	0.1	2	bl	0.85493	0.0225369
A1101	ANN	0.1	2	sp	0.85523	0.0226753
A1101	ANN	0.1	3	bl	0.85445	0.0226149
A1101	ANN	0.1	3	sp	0.85414	0.0229421
A1101	ANN	0.1	5	bl	0.85640	0.0223703
A1101	ANN	0.1	5	sp	0.85472	0.0229634
A1101	ANN	0.5	2	bl	0.85098	0.0231176
A1101	ANN	0.5	2	sp	0.85553	0.0225294
A1101	ANN	0.5	3	bl	0.84540	0.024032
A1101	ANN	0.5	3	sp	0.85531	0.0227445
A1101	ANN	0.5	5	bl	0.85017	0.0233899
A1101	ANN	0.5	5	sp	0.85437	0.0229486
A1101	ANN	1	2	bl	0.83688	0.0251511
A1101	ANN	1	2	sp	0.85464	0.0225403
A1101	ANN	1	3	bl	0.84162	0.0245322
A1101	ANN	1	3	sp	0.85480	0.0225828
A1101	ANN	1	5	bl	0.84118	0.0246456
A1101	ANN	1	5	sp	0.85282	0.023148
A0202	ANN	0.1	2	bl	0.79512	0.0329319
A0202	ANN	0.1	2	sp	0.80457	0.0317025
A0202	ANN	0.1	3	bl	0.79489	0.0329408
A0202	ANN	0.1	3	sp	0.80497	0.0317283
A0202	ANN	0.1	5	bl	0.79447	0.0330818
A0202	ANN	0.1	5	sp	0.80311	0.0320379
A0202	ANN	0.5	2	bl	0.79118	0.0334893
A0202	ANN	0.5	2	sp	0.80453	0.0316868
A0202	ANN	0.5	3	bl	0.78586	0.034281
A0202	ANN	0.5	3	sp	0.80427	0.0317096
A0202	ANN	0.5	5	bl	0.78651	0.0340954
A0202	ANN	0.5	5	sp	0.80266	0.0320508
A0202	ANN	1	2	bl	0.78076	0.0349194
A0202	ANN	1	2	sp	0.80162	0.0320652
A0202	ANN	1	3	bl	0.77829	0.0355897
A0202	ANN	1	3	sp	0.79975	0.0324193
A0202	ANN	1	5	bl	0.77865	0.0353
A0202	ANN	1	5	sp	0.79820	0.0325198
B2705	ANN	0.1	2	bl	0.78883	0.00584968
B2705	ANN	0.1	2	sp	0.74064	0.00701276
B2705	ANN	0.1	3	bl	0.78419	0.00598254
B2705	ANN	0.1	3	sp	0.73456	0.0071423
B2705	ANN	0.1	5	bl	0.78302	0.00602365
B2705	ANN	0.1	5	sp	0.73187	0.00719054
B2705	ANN	0.5	2	bl	0.79053	0.00582269
B2705	ANN	0.5	2	sp	0.75709	0.00676382
B2705	ANN	0.5	3	bl	0.79296	0.00578091
B2705	ANN	0.5	3	sp	0.75350	0.00687496
B2705	ANN	0.5	5	bl	0.79359	0.00577268
B2705	ANN	0.5	5	sp	0.74626	0.0070403
B2705	ANN	1	2	bl	0.79407	0.00570601
B2705	ANN	1	2	sp	0.76240	0.00662328
B2705	ANN	1	3	bl	0.79172	0.00578681
B2705	ANN	1	3	sp	0.76008	0.0067027
B2705	ANN	1	5	bl	0.79938	0.00562713
B2705	ANN	1	5	sp	0.75858	0.00676827
A6801	ANN	0.1	2	bl	0.78016	0.0334072
A6801	ANN	0.1	2	sp	0.78291	0.0331187
A6801	ANN	0.1	3	bl	0.78278	0.0330985
A6801	ANN	0.1	3	sp	0.78323	0.0330969
A6801	ANN	0.1	5	bl	0.78493	0.0327887
A6801	ANN	0.1	5	sp	0.78479	0.0328681
A6801	ANN	0.5	2	bl	0.76822	0.0352383
A6801	ANN	0.5	2	sp	0.78182	0.0334849
A6801	ANN	0.5	3	bl	0.77119	0.0347729
A6801	ANN	0.5	3	sp	0.78144	0.0335113
A6801	ANN	0.5	5	bl	0.77416	0.0344253
A6801	ANN	0.5	5	sp	0.78389	0.0330927
A6801	ANN	1	2	bl	0.75144	0.037371
A6801	ANN	1	2	sp	0.77961	0.0335918
A6801	ANN	1	3	bl	0.75286	0.0370224
A6801	ANN	1	3	sp	0.77878	0.0338671
A6801	ANN	1	5	bl	0.76580	0.035674
A6801	ANN	1	5	sp	0.77827	0.0337862
B5301	ANN	0.1	2	bl	0.77932	0.042643
B5301	ANN	0.1	2	sp	0.77763	0.0428664
B5301	ANN	0.1	3	bl	0.77135	0.0441884
B5301	ANN	0.1	3	sp	0.77310	0.0436251
B5301	ANN	0.1	5	bl	0.77620	0.043265
B5301	ANN	0.1	5	sp	0.77726	0.0429366
B5301	ANN	0.5	2	bl	0.78152	0.0422768
B5301	ANN	0.5	2	sp	0.79183	0.0404623
B5301	ANN	0.5	3	bl	0.78515	0.042366
B5301	ANN	0.5	3	sp	0.78725	0.0412743
B5301	ANN	0.5	5	bl	0.78685	0.0422007
B5301	ANN	0.5	5	sp	0.79046	0.0408638
B5301	ANN	1	2	bl	0.77162	0.0442498
B5301	ANN	1	2	sp	0.79367	0.0404319
B5301	ANN	1	3	bl	0.79164	0.0416118
B5301	ANN	1	3	sp	0.78583	0.0415485
B5301	ANN	1	5	bl	0.76071	0.046031
B5301	ANN	1	5	sp	0.79078	0.0409315
