ALLELE	MODEL	ETA	NHIDDEN	ENCODING	PCC	MSE
B0801	ANN	0.5	2	sp	0.55339	0.00624875
B0801	ANN	0.5	3	bl	0.68784	0.00482806
B0801	ANN	0.5	3	sp	0.55251	0.00626837
B0801	ANN	0.5	5	bl	0.67421	0.00502397
B0801	ANN	0.5	5	sp	0.54668	0.0063131
B0801	ANN	1	2	bl	0.68300	0.00490871
B0801	ANN	1	2	sp	0.55315	0.00627396
B0801	ANN	1	3	bl	0.69631	0.00470077
B0801	ANN	1	3	sp	0.55339	0.00627087
B0801	ANN	1	5	bl	0.68829	0.004844
B0801	ANN	1	5	sp	0.54390	0.00631471
A2402	ANN	0.1	2	bl	0.59189	0.0465017
A2402	ANN	0.1	2	sp	0.61491	0.0444585
A2402	ANN	0.1	3	bl	0.60641	0.0452065
A2402	ANN	0.1	3	sp	0.61889	0.0441044
A2402	ANN	0.1	5	bl	0.58334	0.0471776
A2402	ANN	0.1	5	sp	0.60948	0.0448812
A2402	ANN	0.5	2	bl	0.58615	0.0469451
A2402	ANN	0.5	2	sp	0.62029	0.0440848
A2402	ANN	0.5	3	bl	0.61128	0.0448809
A2402	ANN	0.5	3	sp	0.62160	0.0438516
A2402	ANN	0.5	5	bl	0.58738	0.0468944
A2402	ANN	0.5	5	sp	0.61575	0.0444468
A2402	ANN	1	2	bl	0.59395	0.0462978
A2402	ANN	1	2	sp	0.61989	0.0442489
A2402	ANN	1	3	bl	0.61845	0.0446218
A2402	ANN	1	3	sp	0.61383	0.0445272
A2402	ANN	1	5	bl	0.56910	0.048497
A2402	ANN	1	5	sp	0.60866	0.0450784
B4403	ANN	0.1	2	bl	0.74365	0.0150192
B4403	ANN	0.1	2	sp	0.74177	0.0170849
B4403	ANN	0.1	3	bl	0.74554	0.0147798
B4403	ANN	0.1	3	sp	0.74928	0.016743
B4403	ANN	0.1	5	bl	0.73660	0.0151523
B4403	ANN	0.1	5	sp	0.76268	0.0153849
B4403	ANN	0.5	2	bl	0.74526	0.0146218
B4403	ANN	0.5	2	sp	0.78376	0.0127177
B4403	ANN	0.5	3	bl	0.75285	0.0141763
B4403	ANN	0.5	3	sp	0.79600	0.012079
B4403	ANN	0.5	5	bl	0.74169	0.0146952
B4403	ANN	0.5	5	sp	0.79468	0.012022
B4403	ANN	1	2	bl	0.75256	0.0141721
B4403	ANN	1	2	sp	0.78087	0.0127414
B4403	ANN	1	3	bl	0.75587	0.0140242
B4403	ANN	1	3	sp	0.79750	0.0119317
B4403	ANN	1	5	bl	0.75088	0.0142344
B4403	ANN	1	5	sp	0.79843	0.0119142
B4501	ANN	0.1	2	bl	0.65213	0.0168489
B4501	ANN	0.1	2	sp	0.71573	0.0192021
B4501	ANN	0.1	3	bl	0.68493	0.0155651
B4501	ANN	0.1	3	sp	0.72696	0.0181506
B4501	ANN	0.1	5	bl	0.66231	0.0164658
B4501	ANN	0.1	5	sp	0.73042	0.0166796
B4501	ANN	0.5	2	bl	0.75515	0.0127026
B4501	ANN	0.5	2	sp	0.78006	0.01159
B4501	ANN	0.5	3	bl	0.75345	0.0127936
B4501	ANN	0.5	3	sp	0.78501	0.0113916
B4501	ANN	0.5	5	bl	0.75944	0.0125644
B4501	ANN	0.5	5	sp	0.77673	0.0116487
B4501	ANN	1	2	bl	0.76268	0.0123411
B4501	ANN	1	2	sp	0.78515	0.0113108
B4501	ANN	1	3	bl	0.75763	0.0125552
B4501	ANN	1	3	sp	0.78858	0.0111725
B4501	ANN	1	5	bl	0.76301	0.0124533
B4501	ANN	1	5	sp	0.78317	0.0114163
A6901	ANN	0.1	2	bl	0.69849	0.0156349
A6901	ANN	0.1	2	sp	0.58603	0.0202424
A6901	ANN	0.1	3	bl	0.69539	0.015837
A6901	ANN	0.1	3	sp	0.58710	0.0202715
A6901	ANN	0.1	5	bl	0.69398	0.0158414
A6901	ANN	0.1	5	sp	0.58763	0.0201372
A6901	ANN	0.5	2	bl	0.70090	0.0154875
A6901	ANN	0.5	2	sp	0.58534	0.0203025
A6901	ANN	0.5	3	bl	0.70014	0.0155485
A6901	ANN	0.5	3	sp	0.59466	0.0203637
A6901	ANN	0.5	5	bl	0.70241	0.0154402
A6901	ANN	0.5	5	sp	0.59101	0.0201546
A6901	ANN	1	2	bl	0.69812	0.0155281
A6901	ANN	1	2	sp	0.58823	0.0202402
A6901	ANN	1	3	bl	0.69258	0.0160529
A6901	ANN	1	3	sp	0.59158	0.0203679
A6901	ANN	1	5	bl	0.69139	0.0159725
A6901	ANN	1	5	sp	0.58929	0.0202515
A0201	ANN	0.1	2	bl	0.87570	0.0219425
A0201	ANN	0.1	2	sp	0.87421	0.0222773
A0201	ANN	0.1	3	bl	0.87384	0.0223013
A0201	ANN	0.1	3	sp	0.87274	0.0225472
A0201	ANN	0.1	5	bl	0.87113	0.0227402
A0201	ANN	0.1	5	sp	0.87330	0.0225111
A0201	ANN	0.5	2	bl	0.86661	0.0233604
A0201	ANN	0.5	2	sp	0.87346	0.0223673
A0201	ANN	0.5	3	bl	0.86700	0.0233766
A0201	ANN	0.5	3	sp	0.87242	0.0225199
A0201	ANN	0.5	5	bl	0.86546	0.0236266
A0201	ANN	0.5	5	sp	0.87215	0.022676
A0201	ANN	1	2	bl	0.85866	0.0246457
A0201	ANN	1	2	sp	0.87136	0.022625
A0201	ANN	1	3	bl	0.85962	0.0244911
A0201	ANN	1	3	sp	0.86981	0.0229563
A0201	ANN	1	5	bl	0.86467	0.0239904
A0201	ANN	1	5	sp	0.87035	0.0228858
B5101	ANN	0.1	2	bl	0.75546	0.0400514
B5101	ANN	0.1	2	sp	0.71135	0.0461736
B5101	ANN	0.1	3	bl	0.75629	0.0398138
B5101	ANN	0.1	3	sp	0.72432	0.0443272
B5101	ANN	0.1	5	bl	0.75996	0.0393087
B5101	ANN	0.1	5	sp	0.72756	0.0440174
B5101	ANN	0.5	2	bl	0.76523	0.038858
B5101	ANN	0.5	2	sp	0.71681	0.0457183
B5101	ANN	0.5	3	bl	0.76182	0.0390863
B5101	ANN	0.5	3	sp	0.72757	0.0438787
B5101	ANN	0.5	5	bl	0.76381	0.0388656
B5101	ANN	0.5	5	sp	0.72995	0.043566
B5101	ANN	1	2	bl	0.77382	0.0383261
B5101	ANN	1	2	sp	0.71702	0.0452625
B5101	ANN	1	3	bl	0.76431	0.0389281
B5101	ANN	1	3	sp	0.72891	0.0436557
B5101	ANN	1	5	bl	0.76111	0.0392554
B5101	ANN	1	5	sp	0.72613	0.0440854
A3002	ANN	0.1	2	bl	0.52808	0.0500727
A3002	ANN	0.1	2	sp	0.49066	0.053354
A3002	ANN	0.1	3	bl	0.49040	0.0528498
A3002	ANN	0.1	3	sp	0.46605	0.0540997
A3002	ANN	0.1	5	bl	0.49159	0.0526838
A3002	ANN	0.1	5	sp	0.48179	0.0531545
A3002	ANN	0.5	2	bl	0.56803	0.0470576
A3002	ANN	0.5	2	sp	0.55815	0.0474492
A3002	ANN	0.5	3	bl	0.56117	0.0482765
A3002	ANN	0.5	3	sp	0.54472	0.0487793
A3002	ANN	0.5	5	bl	0.55496	0.0488188
A3002	ANN	0.5	5	sp	0.54868	0.0483048
A3002	ANN	1	2	bl	0.58976	0.0461292
A3002	ANN	1	2	sp	0.56604	0.0469628
A3002	ANN	1	3	bl	0.59401	0.045282
A3002	ANN	1	3	sp	0.56176	0.0472771
A3002	ANN	1	5	bl	0.57058	0.048815
A3002	ANN	1	5	sp	0.56527	0.0471172
A2301	ANN	0.1	2	bl	0.77682	0.0379939
A2301	ANN	0.1	2	sp	0.61053	0.0609775
A2301	ANN	0.1	3	bl	0.77780	0.0378926
A2301	ANN	0.1	3	sp	0.58689	0.063783
A2301	ANN	0.1	5	bl	0.76619	0.0395763
A2301	ANN	0.1	5	sp	0.61118	0.0602687
A2301	ANN	0.5	2	bl	0.78967	0.0361161
A2301	ANN	0.5	2	sp	0.63840	0.0567606
A2301	ANN	0.5	3	bl	0.79428	0.0354527
A2301	ANN	0.5	3	sp	0.63562	0.0572113
A2301	ANN	0.5	5	bl	0.78298	0.0371022
A2301	ANN	0.5	5	sp	0.63399	0.0572655
A2301	ANN	1	2	bl	0.79772	0.0348566
A2301	ANN	1	2	sp	0.65098	0.0552078
A2301	ANN	1	3	bl	0.79254	0.0358869
A2301	ANN	1	3	sp	0.64037	0.056622
A2301	ANN	1	5	bl	0.79411	0.0355804
A2301	ANN	1	5	sp	0.64776	0.0556799
B5401	ANN	0.1	2	bl	0.83385	0.0294167
B5401	ANN	0.1	2	sp	0.76703	0.0397508
B5401	ANN	0.1	3	bl	0.83014	0.0299877
B5401	ANN	0.1	3	sp	0.77646	0.0383138
B5401	ANN	0.1	5	bl	0.83856	0.0287703
B5401	ANN	0.1	5	sp	0.78321	0.0373913
B5401	ANN	0.5	2	bl	0.84287	0.0279708
B5401	ANN	0.5	2	sp	0.77177	0.0390345
B5401	ANN	0.5	3	bl	0.83717	0.0291113
B5401	ANN	0.5	3	sp	0.78125	0.0377066
B5401	ANN	0.5	5	bl	0.84161	0.0283306
B5401	ANN	0.5	5	sp	0.79035	0.0362061
B5401	ANN	1	2	bl	0.84039	0.0285833
B5401	ANN	1	2	sp	0.77559	0.0384337
B5401	ANN	1	3	bl	0.83525	0.0292357
B5401	ANN	1	3	sp	0.77683	0.0383008
B5401	ANN	1	5	bl	0.84147	0.0283893
B5401	ANN	1	5	sp	0.79291	0.0358909
B3501	ANN	0.1	2	bl	0.72025	0.0328076
B3501	ANN	0.1	2	sp	0.68667	0.0359233
B3501	ANN	0.1	3	bl	0.72229	0.0325362
B3501	ANN	0.1	3	sp	0.69259	0.035342
B3501	ANN	0.1	5	bl	0.72008	0.0331342
B3501	ANN	0.1	5	sp	0.68630	0.0361195
B3501	ANN	0.5	2	bl	0.70369	0.0345174
B3501	ANN	0.5	2	sp	0.68391	0.0361681
B3501	ANN	0.5	3	bl	0.71416	0.0335614
B3501	ANN	0.5	3	sp	0.69064	0.0356518
B3501	ANN	0.5	5	bl	0.73774	0.0317104
B3501	ANN	0.5	5	sp	0.68655	0.0361738
B3501	ANN	1	2	bl	0.69685	0.0353292
B3501	ANN	1	2	sp	0.68290	0.0363541
B3501	ANN	1	3	bl	0.71174	0.0336173
B3501	ANN	1	3	sp	0.68786	0.0365712
B3501	ANN	1	5	bl	0.72359	0.0329968
B3501	ANN	1	5	sp	0.69066	0.0363843
A3101	ANN	0.1	2	bl	0.80740	0.0228788
A3101	ANN	0.1	2	sp	0.80960	0.0228408
A3101	ANN	0.1	3	bl	0.80931	0.0227457
A3101	ANN	0.1	3	sp	0.80836	0.0229617
A3101	ANN	0.1	5	bl	0.80855	0.0227987
A3101	ANN	0.1	5	sp	0.80979	0.022873
A3101	ANN	0.5	2	bl	0.80093	0.0236825
A3101	ANN	0.5	2	sp	0.80816	0.0228952
A3101	ANN	0.5	3	bl	0.80226	0.0235074
A3101	ANN	0.5	3	sp	0.80897	0.0228866
A3101	ANN	0.5	5	bl	0.80325	0.0233569
A3101	ANN	0.5	5	sp	0.80938	0.0227836
A3101	ANN	1	2	bl	0.79474	0.0243315
A3101	ANN	1	2	sp	0.80653	0.0231001
A3101	ANN	1	3	bl	0.78994	0.02483
A3101	ANN	1	3	sp	0.80727	0.0230918
A3101	ANN	1	5	bl	0.79383	0.0244084
A3101	ANN	1	5	sp	0.80843	0.0229474
B1501	ANN	0.1	2	bl	0.79291	0.0118759
B1501	ANN	0.1	2	sp	0.77573	0.0128209
B1501	ANN	0.1	3	bl	0.78935	0.0120583
B1501	ANN	0.1	3	sp	0.77316	0.0129329
B1501	ANN	0.1	5	bl	0.78765	0.0121696
B1501	ANN	0.1	5	sp	0.77209	0.012964
B1501	ANN	0.5	2	bl	0.79720	0.0116282
B1501	ANN	0.5	2	sp	0.78454	0.0124979
B1501	ANN	0.5	3	bl	0.79403	0.0118258
B1501	ANN	0.5	3	sp	0.78297	0.0126125
B1501	ANN	0.5	5	bl	0.79086	0.0119759
B1501	ANN	0.5	5	sp	0.77802	0.0128082
B1501	ANN	1	2	bl	0.79449	0.0118356
B1501	ANN	1	2	sp	0.78667	0.0123501
B1501	ANN	1	3	bl	0.78874	0.0121157
B1501	ANN	1	3	sp	0.78468	0.0125517
B1501	ANN	1	5	bl	0.79320	0.0118937
B1501	ANN	1	5	sp	0.78041	0.0126757
B4402	ANN	0.1	2	bl	0.61422	0.0197527
B4402	ANN	0.1	2	sp	0.67497	0.020172
B4402	ANN	0.1	3	bl	0.64698	0.0184854
B4402	ANN	0.1	3	sp	0.67350	0.0209062
B4402	ANN	0.1	5	bl	0.62844	0.0191789
B4402	ANN	0.1	5	sp	0.67465	0.0193569
B4402	ANN	0.5	2	bl	0.69303	0.0167313
B4402	ANN	0.5	2	sp	0.68558	0.0169533
B4402	ANN	0.5	3	bl	0.71694	0.0155271
B4402	ANN	0.5	3	sp	0.69022	0.01659
B4402	ANN	0.5	5	bl	0.70375	0.0162324
B4402	ANN	0.5	5	sp	0.67984	0.017196
B4402	ANN	1	2	bl	0.69916	0.0164088
B4402	ANN	1	2	sp	0.68867	0.0166578
B4402	ANN	1	3	bl	0.71788	0.0154085
B4402	ANN	1	3	sp	0.69844	0.0162281
B4402	ANN	1	5	bl	0.70981	0.0159729
B4402	ANN	1	5	sp	0.67965	0.017084
A0206	ANN	0.1	2	bl	0.80586	0.0293267
A0206	ANN	0.1	2	sp	0.81093	0.0288272
A0206	ANN	0.1	3	bl	0.80956	0.0288649
A0206	ANN	0.1	3	sp	0.81130	0.0287652
A0206	ANN	0.1	5	bl	0.81755	0.0278329
A0206	ANN	0.1	5	sp	0.81853	0.0279214
A0206	ANN	0.5	2	bl	0.80291	0.0298823
A0206	ANN	0.5	2	sp	0.80834	0.0290412
A0206	ANN	0.5	3	bl	0.79393	0.0310831
A0206	ANN	0.5	3	sp	0.80877	0.0290481
A0206	ANN	0.5	5	bl	0.80026	0.0304021
A0206	ANN	0.5	5	sp	0.81787	0.0280818
A0206	ANN	1	2	bl	0.79193	0.0313557
A0206	ANN	1	2	sp	0.80287	0.0297846
A0206	ANN	1	3	bl	0.79464	0.0310426
A0206	ANN	1	3	sp	0.80704	0.0293626
A0206	ANN	1	5	bl	0.79700	0.0310845
A0206	ANN	1	5	sp	0.81182	0.0288836
A3301	ANN	0.1	2	bl	0.73048	0.0252283
A3301	ANN	0.1	2	sp	0.71850	0.0263031
A3301	ANN	0.1	3	bl	0.72943	0.0252954
A3301	ANN	0.1	3	sp	0.71859	0.0262856
A3301	ANN	0.1	5	bl	0.73078	0.0252379
A3301	ANN	0.1	5	sp	0.71767	0.0263318
A3301	ANN	0.5	2	bl	0.72171	0.0261594
A3301	ANN	0.5	2	sp	0.71918	0.0262951
A3301	ANN	0.5	3	bl	0.72455	0.0259576
A3301	ANN	0.5	3	sp	0.72246	0.0260717
A3301	ANN	0.5	5	bl	0.71792	0.0263136
A3301	ANN	0.5	5	sp	0.72014	0.0262655
A3301	ANN	1	2	bl	0.70664	0.027085
A3301	ANN	1	2	sp	0.71863	0.0263591
A3301	ANN	1	3	bl	0.72036	0.0262529
A3301	ANN	1	3	sp	0.72186	0.0262562
A3301	ANN	1	5	bl	0.70336	0.0273733
A3301	ANN	1	5	sp	0.71790	0.0266952
B5801	ANN	0.1	2	bl	0.87451	0.00824093
B5801	ANN	0.1	2	sp	0.82470	0.0112781
B5801	ANN	0.1	3	bl	0.87436	0.00824499
B5801	ANN	0.1	3	sp	0.82103	0.0115807
B5801	ANN	0.1	5	bl	0.87209	0.00838798
B5801	ANN	0.1	5	sp	0.81590	0.0119321
B5801	ANN	0.5	2	bl	0.87742	0.00803885
B5801	ANN	0.5	2	sp	0.83952	0.0104581
B5801	ANN	0.5	3	bl	0.88075	0.00784335
B5801	ANN	0.5	3	sp	0.83942	0.01051
B5801	ANN	0.5	5	bl	0.87848	0.00797906
B5801	ANN	0.5	5	sp	0.83488	0.0107606
B5801	ANN	1	2	bl	0.87785	0.00806657
B5801	ANN	1	2	sp	0.84136	0.0103352
B5801	ANN	1	3	bl	0.88112	0.00783769
B5801	ANN	1	3	sp	0.84001	0.0104675
B5801	ANN	1	5	bl	0.87720	0.00807869
B5801	ANN	1	5	sp	0.83839	0.0105448
A2601	ANN	0.1	2	bl	0.77136	0.0106823
A2601	ANN	0.1	2	sp	0.67729	0.0143354
A2601	ANN	0.1	3	bl	0.76842	0.0107897
A2601	ANN	0.1	3	sp	0.67687	0.0143245
A2601	ANN	0.1	5	bl	0.76279	0.0110614
A2601	ANN	0.1	5	sp	0.67198	0.0145793
A2601	ANN	0.5	2	bl	0.77761	0.0104369
A2601	ANN	0.5	2	sp	0.70974	0.0135159
A2601	ANN	0.5	3	bl	0.78397	0.0101641
A2601	ANN	0.5	3	sp	0.69973	0.0136297
A2601	ANN	0.5	5	bl	0.78173	0.010278
A2601	ANN	0.5	5	sp	0.69439	0.0138741
A2601	ANN	1	2	bl	0.77313	0.0107352
A2601	ANN	1	2	sp	0.70604	0.013558
