ALLELE	MODEL	BETA	SEQWEIGHT	PCC	MSE
A3101	PSSM	0	0	0.57525	53.8007
A3101	PSSM	50	0	0.58760	54.0553
A3101	PSSM	100	0	0.59762	43.9754
A3101	PSSM	200	0	0.60777	34.5661
A3101	PSSM	0	1	0.59712	38.8953
A3101	PSSM	50	1	0.63435	16.3957
A3101	PSSM	100	1	0.63863	13.3037
A3101	PSSM	200	1	0.64075	11.4697
B1501	PSSM	0	0	0.35138	601922
B1501	PSSM	50	0	0.64535	45.0413
B1501	PSSM	100	0	0.65003	32.9609
B1501	PSSM	200	0	0.65140	24.7869
B1501	PSSM	0	1	0.35069	601210
B1501	PSSM	50	1	0.64820	17.246
B1501	PSSM	100	1	0.64231	14.4701
B1501	PSSM	200	1	0.63589	12.8466
B4402	PSSM	0	0	0.32638	4.28114e+06
B4402	PSSM	50	0	0.19147	1640.17
B4402	PSSM	100	0	0.18666	1389.72
B4402	PSSM	200	0	0.18360	1185.3
B4402	PSSM	0	1	0.32744	4.28358e+06
B4402	PSSM	50	1	0.25231	742.966
B4402	PSSM	100	1	0.25142	657.752
B4402	PSSM	200	1	0.25091	609.346
A0206	PSSM	0	0	0.25739	88183.8
A0206	PSSM	50	0	0.68030	48.742
A0206	PSSM	100	0	0.68007	42.4101
A0206	PSSM	200	0	0.67852	35.8823
A0206	PSSM	0	1	0.25411	88097.7
A0206	PSSM	50	1	0.66725	18.3202
A0206	PSSM	100	1	0.66355	15.4509
A0206	PSSM	200	1	0.65949	13.7276
A3301	PSSM	0	0	0.14768	188942
A3301	PSSM	50	0	0.49995	39.1085
A3301	PSSM	100	0	0.51447	33.1712
A3301	PSSM	200	0	0.52709	27.6751
A3301	PSSM	0	1	0.14676	188744
A3301	PSSM	50	1	0.54471	20.5465
A3301	PSSM	100	1	0.55027	17.5495
A3301	PSSM	200	1	0.55246	15.6869
B5801	PSSM	0	0	0.53250	130.303
B5801	PSSM	50	0	0.61323	112.459
B5801	PSSM	100	0	0.61821	78.9486
B5801	PSSM	200	0	0.62252	57.6189
B5801	PSSM	0	1	0.55509	78.0146
B5801	PSSM	50	1	0.63894	30.9553
B5801	PSSM	100	1	0.63972	25.117
B5801	PSSM	200	1	0.63876	21.9664
A2601	PSSM	0	0	0.38393	6.28973e+06
A2601	PSSM	50	0	0.55707	61.0471
A2601	PSSM	100	0	0.55559	39.9108
A2601	PSSM	200	0	0.55049	29.1474
A2601	PSSM	0	1	0.38340	6.28386e+06
A2601	PSSM	50	1	0.52432	24.9364
A2601	PSSM	100	1	0.51532	20.2599
A2601	PSSM	200	1	0.50769	17.8989
B0702	PSSM	0	0	0.34599	791514
B0702	PSSM	50	0	0.71464	87.0723
B0702	PSSM	100	0	0.72351	62.949
B0702	PSSM	200	0	0.73080	46.3795
B0702	PSSM	0	1	0.34485	790529
B0702	PSSM	50	1	0.73866	30.758
B0702	PSSM	100	1	0.74095	26.4233
B0702	PSSM	200	1	0.74144	24.041
A6802	PSSM	0	0	0.23491	92469.2
A6802	PSSM	50	0	0.59273	42.5789
A6802	PSSM	100	0	0.59244	37.0904
A6802	PSSM	200	0	0.59061	31.3298
A6802	PSSM	0	1	0.23339	92446.1
A6802	PSSM	50	1	0.59404	16.8651
A6802	PSSM	100	1	0.58572	14.1753
A6802	PSSM	200	1	0.57755	12.5509
