ALLELE	MODEL	WEIGHTALGO	LAMBDA	PCC	MSE
B4403	SMM	GD	0.02	0.69033	0.0189202
B4403	SMM	GD	0.1	0.74431	0.0149482
B4403	SMM	GD	1	0.74001	0.0153222
B4403	SMM	MC	0	0.03083	20.2144
B4403	SMM	MC	0.02	0.09827	5.83093
B4403	SMM	MC	0.1	0.06497	0.919437
B4403	SMM	MC	1	0.40589	0.0724138
B4403	SMM	GD	5	0.62056	0.021126
B4403	SMM	GD	10	0.50576	0.0258365
B4403	SMM	GD	50	0.15179	0.0400953
B4403	SMM	MC	5	0.49078	0.0321221
B4403	SMM	MC	10	0.46531	0.0308271
B4403	SMM	MC	50	0.21630	0.0478856
B4501	SMM	GD	0	0.67245	0.0185576
B4501	SMM	GD	0.02	0.70254	0.0162032
B4501	SMM	GD	0.1	0.76062	0.0125198
B4501	SMM	GD	1	0.75889	0.0139211
B4501	SMM	MC	0	0.13904	161.837
B4501	SMM	MC	0.02	0.26213	63.5992
B4501	SMM	MC	0.1	0.17771	0.954346
B4501	SMM	MC	1	0.45440	0.0630657
B4501	SMM	GD	5	0.66871	0.0204153
B4501	SMM	GD	10	0.59621	0.024216
B4501	SMM	GD	50	0.38707	0.0376311
B4501	SMM	MC	5	0.60750	0.023642
B4501	SMM	MC	10	0.58292	0.0238641
B4501	SMM	MC	50	0.40836	0.0351054
A6901	SMM	GD	0	0.44937	0.0272164
A6901	SMM	GD	0.02	0.44982	0.0271616
A6901	SMM	GD	0.1	0.45099	0.0269765
A6901	SMM	GD	1	0.45707	0.0257094
A6901	SMM	MC	0	0.34225	0.0452595
A6901	SMM	MC	0.02	0.32007	0.0465276
A6901	SMM	MC	0.1	0.34446	0.0434232
A6901	SMM	MC	1	0.31715	0.0433316
A6901	SMM	GD	5	0.45594	0.02434
A6901	SMM	GD	10	0.43872	0.0245938
A6901	SMM	GD	50	0.28886	0.028656
A6901	SMM	MC	5	0.34867	0.0348454
A6901	SMM	MC	10	0.33544	0.0346776
A6901	SMM	MC	50	0.22414	0.0417009
A0201	SMM	GD	0	0.75713	0.0421075
A0201	SMM	GD	0.02	0.75718	0.0420917
A0201	SMM	GD	0.1	0.75725	0.0420585
A0201	SMM	GD	1	0.75779	0.0417527
A0201	SMM	MC	0	0.78060	0.0375628
A0201	SMM	MC	0.02	0.77998	0.0376217
A0201	SMM	MC	0.1	0.77926	0.0376989
A0201	SMM	MC	1	0.78333	0.0369886
A0201	SMM	GD	5	0.75831	0.0409922
A0201	SMM	GD	10	0.75790	0.0405506
A0201	SMM	GD	50	0.74723	0.0418311
A0201	SMM	MC	5	0.78847	0.036108
A0201	SMM	MC	10	0.78906	0.0361431
A0201	SMM	MC	50	0.77259	0.0415994
B5101	SMM	GD	0	0.48991	0.133831
B5101	SMM	GD	0.02	0.50123	0.125428
B5101	SMM	GD	0.1	0.53781	0.102328
B5101	SMM	GD	1	0.63758	0.0597996
B5101	SMM	MC	0	0.09750	7.37015
B5101	SMM	MC	0.02	0.10560	6.56328
B5101	SMM	MC	0.1	0.31265	0.646239
B5101	SMM	MC	1	0.46656	0.114598
B5101	SMM	GD	5	0.65117	0.0540616
B5101	SMM	GD	10	0.64019	0.0562735
B5101	SMM	GD	50	0.59507	0.0718266
B5101	SMM	MC	5	0.63172	0.0577085
B5101	SMM	MC	10	0.64854	0.0564931
B5101	SMM	MC	50	0.65447	0.0801786
A3002	SMM	GD	0	0.37789	0.100847
A3002	SMM	GD	0.02	0.42361	0.0806513
A3002	SMM	GD	0.1	0.46321	0.0671741
A3002	SMM	GD	1	0.50152	0.0558716
A3002	SMM	MC	0	0.25375	12.3793
