NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.046 | Train Perf: 0.1491 | Eval Error: 0.0436 | Eval Perf: 0.6551
[2, 100] Train Error: 0.038 | Train Perf: 0.6006 | Eval Error: 0.031 | Eval Perf: 0.7296
[3, 100] Train Error: 0.0251 | Train Perf: 0.7413 | Eval Error: 0.0215 | Eval Perf: 0.7833
[4, 100] Train Error: 0.018 | Train Perf: 0.8041 | Eval Error: 0.0167 | Eval Perf: 0.8148
[5, 100] Train Error: 0.015 | Train Perf: 0.8318 | Eval Error: 0.0146 | Eval Perf: 0.8359
[6, 100] Train Error: 0.0134 | Train Perf: 0.8471 | Eval Error: 0.0137 | Eval Perf: 0.8473
[7, 100] Train Error: 0.0126 | Train Perf: 0.8559 | Eval Error: 0.0128 | Eval Perf: 0.8551
[8, 100] Train Error: 0.0121 | Train Perf: 0.8617 | Eval Error: 0.0124 | Eval Perf: 0.8602
[9, 100] Train Error: 0.0117 | Train Perf: 0.8666 | Eval Error: 0.0122 | Eval Perf: 0.8606
[10, 100] Train Error: 0.0115 | Train Perf: 0.8692 | Eval Error: 0.0119 | Eval Perf: 0.8644
[11, 100] Train Error: 0.0113 | Train Perf: 0.8714 | Eval Error: 0.0117 | Eval Perf: 0.867
[12, 100] Train Error: 0.0111 | Train Perf: 0.8745 | Eval Error: 0.0118 | Eval Perf: 0.8671
[13, 100] Train Error: 0.011 | Train Perf: 0.8754 | Eval Error: 0.0114 | Eval Perf: 0.8708
[14, 100] Train Error: 0.0109 | Train Perf: 0.8763 | Eval Error: 0.0113 | Eval Perf: 0.8729
[15, 100] Train Error: 0.0108 | Train Perf: 0.8779 | Eval Error: 0.0111 | Eval Perf: 0.8742
[16, 100] Train Error: 0.0108 | Train Perf: 0.8784 | Eval Error: 0.0111 | Eval Perf: 0.8755
[17, 100] Train Error: 0.0107 | Train Perf: 0.879 | Eval Error: 0.0112 | Eval Perf: 0.8739
[18, 100] Train Error: 0.0107 | Train Perf: 0.8799 | Eval Error: 0.0111 | Eval Perf: 0.8755
[19, 100] Train Error: 0.0107 | Train Perf: 0.8798 | Eval Error: 0.0111 | Eval Perf: 0.8762
[20, 100] Train Error: 0.0106 | Train Perf: 0.8806 | Eval Error: 0.0109 | Eval Perf: 0.8777
[21, 100] Train Error: 0.0105 | Train Perf: 0.8817 | Eval Error: 0.0111 | Eval Perf: 0.8754
[22, 100] Train Error: 0.0105 | Train Perf: 0.8816 | Eval Error: 0.0109 | Eval Perf: 0.8773
[23, 100] Train Error: 0.0104 | Train Perf: 0.8826 | Eval Error: 0.0115 | Eval Perf: 0.8756
[24, 100] Train Error: 0.0105 | Train Perf: 0.8818 | Eval Error: 0.0109 | Eval Perf: 0.8782
[25, 100] Train Error: 0.0105 | Train Perf: 0.8825 | Eval Error: 0.0118 | Eval Perf: 0.8751
[26, 100] Train Error: 0.0104 | Train Perf: 0.8829 | Eval Error: 0.0107 | Eval Perf: 0.8797
[27, 100] Train Error: 0.0104 | Train Perf: 0.8835 | Eval Error: 0.0112 | Eval Perf: 0.8782
[28, 100] Train Error: 0.0104 | Train Perf: 0.8827 | Eval Error: 0.0108 | Eval Perf: 0.8796
[29, 100] Train Error: 0.0104 | Train Perf: 0.8837 | Eval Error: 0.0107 | Eval Perf: 0.8794
[30, 100] Train Error: 0.0103 | Train Perf: 0.884 | Eval Error: 0.0109 | Eval Perf: 0.8776
[31, 100] Train Error: 0.0103 | Train Perf: 0.8838 | Eval Error: 0.0108 | Eval Perf: 0.8789
[32, 100] Train Error: 0.0103 | Train Perf: 0.8842 | Eval Error: 0.0107 | Eval Perf: 0.8799
[33, 100] Train Error: 0.0103 | Train Perf: 0.8848 | Eval Error: 0.0106 | Eval Perf: 0.8805
[34, 100] Train Error: 0.0103 | Train Perf: 0.8849 | Eval Error: 0.0107 | Eval Perf: 0.8796
[35, 100] Train Error: 0.0102 | Train Perf: 0.8852 | Eval Error: 0.0108 | Eval Perf: 0.8797
[36, 100] Train Error: 0.0102 | Train Perf: 0.8853 | Eval Error: 0.0107 | Eval Perf: 0.8803
[37, 100] Train Error: 0.0101 | Train Perf: 0.8863 | Eval Error: 0.0106 | Eval Perf: 0.8808
[38, 100] Train Error: 0.0101 | Train Perf: 0.8864 | Eval Error: 0.0105 | Eval Perf: 0.8822
[39, 100] Train Error: 0.01 | Train Perf: 0.8872 | Eval Error: 0.0106 | Eval Perf: 0.8811
[40, 100] Train Error: 0.01 | Train Perf: 0.8878 | Eval Error: 0.0106 | Eval Perf: 0.8808
[41, 100] Train Error: 0.01 | Train Perf: 0.8883 | Eval Error: 0.0114 | Eval Perf: 0.8786
[42, 100] Train Error: 0.01 | Train Perf: 0.8875 | Eval Error: 0.0105 | Eval Perf: 0.8816
[43, 100] Train Error: 0.0099 | Train Perf: 0.8888 | Eval Error: 0.0104 | Eval Perf: 0.8827
[44, 100] Train Error: 0.0099 | Train Perf: 0.8888 | Eval Error: 0.0104 | Eval Perf: 0.8831
[45, 100] Train Error: 0.0099 | Train Perf: 0.8891 | Eval Error: 0.0106 | Eval Perf: 0.8817
[46, 100] Train Error: 0.0098 | Train Perf: 0.8896 | Eval Error: 0.0104 | Eval Perf: 0.8835
[47, 100] Train Error: 0.0098 | Train Perf: 0.8901 | Eval Error: 0.0106 | Eval Perf: 0.8831
[48, 100] Train Error: 0.0097 | Train Perf: 0.8905 | Eval Error: 0.0106 | Eval Perf: 0.8831
[49, 100] Train Error: 0.0097 | Train Perf: 0.8909 | Eval Error: 0.0103 | Eval Perf: 0.8846
[50, 100] Train Error: 0.0097 | Train Perf: 0.8914 | Eval Error: 0.0104 | Eval Perf: 0.8842
[51, 100] Train Error: 0.0097 | Train Perf: 0.8912 | Eval Error: 0.0103 | Eval Perf: 0.8846
[52, 100] Train Error: 0.0096 | Train Perf: 0.8926 | Eval Error: 0.0105 | Eval Perf: 0.8824
[53, 100] Train Error: 0.0096 | Train Perf: 0.8929 | Eval Error: 0.0108 | Eval Perf: 0.8821
[54, 100] Train Error: 0.0096 | Train Perf: 0.8929 | Eval Error: 0.0105 | Eval Perf: 0.8844
[55, 100] Train Error: 0.0095 | Train Perf: 0.8932 | Eval Error: 0.0103 | Eval Perf: 0.8844
[56, 100] Train Error: 0.0095 | Train Perf: 0.8936 | Eval Error: 0.0105 | Eval Perf: 0.8835
[57, 100] Train Error: 0.0094 | Train Perf: 0.8946 | Eval Error: 0.0104 | Eval Perf: 0.8836
[58, 100] Train Error: 0.0094 | Train Perf: 0.8948 | Eval Error: 0.0104 | Eval Perf: 0.8842
[59, 100] Train Error: 0.0094 | Train Perf: 0.8953 | Eval Error: 0.0103 | Eval Perf: 0.885
[60, 100] Train Error: 0.0094 | Train Perf: 0.8953 | Eval Error: 0.0107 | Eval Perf: 0.8839
[61, 100] Train Error: 0.0093 | Train Perf: 0.8956 | Eval Error: 0.0103 | Eval Perf: 0.8838
[62, 100] Train Error: 0.0093 | Train Perf: 0.8961 | Eval Error: 0.0106 | Eval Perf: 0.884
[63, 100] Train Error: 0.0092 | Train Perf: 0.8969 | Eval Error: 0.0103 | Eval Perf: 0.8846
[64, 100] Train Error: 0.0092 | Train Perf: 0.8969 | Eval Error: 0.0105 | Eval Perf: 0.8832
[65, 100] Train Error: 0.0092 | Train Perf: 0.8972 | Eval Error: 0.0103 | Eval Perf: 0.8839
[66, 100] Train Error: 0.0092 | Train Perf: 0.8975 | Eval Error: 0.0103 | Eval Perf: 0.8843
[67, 100] Train Error: 0.0091 | Train Perf: 0.8981 | Eval Error: 0.0107 | Eval Perf: 0.8834
[68, 100] Train Error: 0.0091 | Train Perf: 0.8978 | Eval Error: 0.0106 | Eval Perf: 0.8832
[69, 100] Train Error: 0.009 | Train Perf: 0.899 | Eval Error: 0.0109 | Eval Perf: 0.8819
[70, 100] Train Error: 0.0091 | Train Perf: 0.8986 | Eval Error: 0.0106 | Eval Perf: 0.8831
[71, 100] Train Error: 0.009 | Train Perf: 0.8991 | Eval Error: 0.0104 | Eval Perf: 0.8837
[72, 100] Train Error: 0.009 | Train Perf: 0.9 | Eval Error: 0.0103 | Eval Perf: 0.8839
[73, 100] Train Error: 0.0089 | Train Perf: 0.9001 | Eval Error: 0.0104 | Eval Perf: 0.8836
[74, 100] Train Error: 0.009 | Train Perf: 0.9 | Eval Error: 0.0104 | Eval Perf: 0.8834
[75, 100] Train Error: 0.0088 | Train Perf: 0.9013 | Eval Error: 0.0105 | Eval Perf: 0.8833
[76, 100] Train Error: 0.0089 | Train Perf: 0.901 | Eval Error: 0.0108 | Eval Perf: 0.8829
[77, 100] Train Error: 0.0088 | Train Perf: 0.9013 | Eval Error: 0.0106 | Eval Perf: 0.8833
[78, 100] Train Error: 0.0088 | Train Perf: 0.9017 | Eval Error: 0.0104 | Eval Perf: 0.8829
[79, 100] Train Error: 0.0088 | Train Perf: 0.9022 | Eval Error: 0.0106 | Eval Perf: 0.8831
[80, 100] Train Error: 0.0088 | Train Perf: 0.9023 | Eval Error: 0.0104 | Eval Perf: 0.884
[81, 100] Train Error: 0.0087 | Train Perf: 0.903 | Eval Error: 0.0106 | Eval Perf: 0.8826
[82, 100] Train Error: 0.0087 | Train Perf: 0.9034 | Eval Error: 0.0105 | Eval Perf: 0.8824
[83, 100] Train Error: 0.0087 | Train Perf: 0.9031 | Eval Error: 0.0104 | Eval Perf: 0.8833
[84, 100] Train Error: 0.0086 | Train Perf: 0.9039 | Eval Error: 0.0106 | Eval Perf: 0.8819
[85, 100] Train Error: 0.0086 | Train Perf: 0.9044 | Eval Error: 0.0107 | Eval Perf: 0.8807
[86, 100] Train Error: 0.0086 | Train Perf: 0.9045 | Eval Error: 0.0112 | Eval Perf: 0.8801
[87, 100] Train Error: 0.0086 | Train Perf: 0.9046 | Eval Error: 0.0107 | Eval Perf: 0.8803
[88, 100] Train Error: 0.0085 | Train Perf: 0.9055 | Eval Error: 0.0116 | Eval Perf: 0.8793
[89, 100] Train Error: 0.0085 | Train Perf: 0.9051 | Eval Error: 0.0108 | Eval Perf: 0.8805
[90, 100] Train Error: 0.0085 | Train Perf: 0.9058 | Eval Error: 0.0108 | Eval Perf: 0.8807
[91, 100] Train Error: 0.0084 | Train Perf: 0.9061 | Eval Error: 0.0109 | Eval Perf: 0.8806
[92, 100] Train Error: 0.0084 | Train Perf: 0.9065 | Eval Error: 0.0109 | Eval Perf: 0.8786
[93, 100] Train Error: 0.0084 | Train Perf: 0.9068 | Eval Error: 0.0108 | Eval Perf: 0.8807
[94, 100] Train Error: 0.0084 | Train Perf: 0.9069 | Eval Error: 0.0107 | Eval Perf: 0.8809
[95, 100] Train Error: 0.0083 | Train Perf: 0.9075 | Eval Error: 0.0112 | Eval Perf: 0.8788
[96, 100] Train Error: 0.0083 | Train Perf: 0.9077 | Eval Error: 0.0114 | Eval Perf: 0.8775
[97, 100] Train Error: 0.0083 | Train Perf: 0.9078 | Eval Error: 0.0108 | Eval Perf: 0.8802
[98, 100] Train Error: 0.0083 | Train Perf: 0.9083 | Eval Error: 0.0107 | Eval Perf: 0.8802
[99, 100] Train Error: 0.0083 | Train Perf: 0.9083 | Eval Error: 0.0107 | Eval Perf: 0.8804
[100, 100] Train Error: 0.0082 | Train Perf: 0.9091 | Eval Error: 0.011 | Eval Perf: 0.8777
