NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.0365 | Train Perf: 0.542 | Eval Error: 0.0237 | Eval Perf: 0.7519
[2, 100] Train Error: 0.0197 | Train Perf: 0.7752 | Eval Error: 0.0171 | Eval Perf: 0.8044
[3, 100] Train Error: 0.0159 | Train Perf: 0.8155 | Eval Error: 0.015 | Eval Perf: 0.8297
[4, 100] Train Error: 0.0144 | Train Perf: 0.8339 | Eval Error: 0.0137 | Eval Perf: 0.8442
[5, 100] Train Error: 0.0134 | Train Perf: 0.8456 | Eval Error: 0.013 | Eval Perf: 0.8501
[6, 100] Train Error: 0.0128 | Train Perf: 0.8531 | Eval Error: 0.0128 | Eval Perf: 0.8605
[7, 100] Train Error: 0.0123 | Train Perf: 0.8587 | Eval Error: 0.0119 | Eval Perf: 0.8647
[8, 100] Train Error: 0.012 | Train Perf: 0.8628 | Eval Error: 0.0119 | Eval Perf: 0.8665
[9, 100] Train Error: 0.0115 | Train Perf: 0.8684 | Eval Error: 0.0124 | Eval Perf: 0.858
[10, 100] Train Error: 0.0114 | Train Perf: 0.87 | Eval Error: 0.0117 | Eval Perf: 0.8688
[11, 100] Train Error: 0.0113 | Train Perf: 0.8716 | Eval Error: 0.0115 | Eval Perf: 0.87
[12, 100] Train Error: 0.011 | Train Perf: 0.8755 | Eval Error: 0.0114 | Eval Perf: 0.8709
[13, 100] Train Error: 0.0108 | Train Perf: 0.8772 | Eval Error: 0.0111 | Eval Perf: 0.8756
[14, 100] Train Error: 0.0107 | Train Perf: 0.8791 | Eval Error: 0.0123 | Eval Perf: 0.8715
[15, 100] Train Error: 0.0105 | Train Perf: 0.8809 | Eval Error: 0.0113 | Eval Perf: 0.8718
[16, 100] Train Error: 0.0105 | Train Perf: 0.8813 | Eval Error: 0.011 | Eval Perf: 0.8756
[17, 100] Train Error: 0.0102 | Train Perf: 0.8845 | Eval Error: 0.0123 | Eval Perf: 0.8688
[18, 100] Train Error: 0.0102 | Train Perf: 0.8848 | Eval Error: 0.0117 | Eval Perf: 0.8692
[19, 100] Train Error: 0.0101 | Train Perf: 0.8858 | Eval Error: 0.0117 | Eval Perf: 0.871
[20, 100] Train Error: 0.01 | Train Perf: 0.8866 | Eval Error: 0.0108 | Eval Perf: 0.8774
[21, 100] Train Error: 0.0099 | Train Perf: 0.8881 | Eval Error: 0.011 | Eval Perf: 0.8759
[22, 100] Train Error: 0.0099 | Train Perf: 0.8887 | Eval Error: 0.0111 | Eval Perf: 0.8743
[23, 100] Train Error: 0.0097 | Train Perf: 0.8906 | Eval Error: 0.0116 | Eval Perf: 0.8741
[24, 100] Train Error: 0.0097 | Train Perf: 0.8912 | Eval Error: 0.011 | Eval Perf: 0.8751
[25, 100] Train Error: 0.0096 | Train Perf: 0.8921 | Eval Error: 0.011 | Eval Perf: 0.875
[26, 100] Train Error: 0.0095 | Train Perf: 0.8926 | Eval Error: 0.011 | Eval Perf: 0.8757
[27, 100] Train Error: 0.0094 | Train Perf: 0.8939 | Eval Error: 0.0108 | Eval Perf: 0.8777
[28, 100] Train Error: 0.0094 | Train Perf: 0.894 | Eval Error: 0.0111 | Eval Perf: 0.8751
[29, 100] Train Error: 0.0093 | Train Perf: 0.8956 | Eval Error: 0.0109 | Eval Perf: 0.8765
[30, 100] Train Error: 0.0092 | Train Perf: 0.8962 | Eval Error: 0.0113 | Eval Perf: 0.8732
[31, 100] Train Error: 0.0092 | Train Perf: 0.8971 | Eval Error: 0.0111 | Eval Perf: 0.8748
