NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0069 | Train Perf: 0.1464 | Eval Error: 0.0058 | Eval Perf: 0.3801
[2, 100] Train Error: 0.0052 | Train Perf: 0.5054 | Eval Error: 0.0055 | Eval Perf: 0.415
[3, 100] Train Error: 0.0042 | Train Perf: 0.6277 | Eval Error: 0.0048 | Eval Perf: 0.5375
[4, 100] Train Error: 0.0036 | Train Perf: 0.6933 | Eval Error: 0.005 | Eval Perf: 0.6297
[5, 100] Train Error: 0.0031 | Train Perf: 0.7453 | Eval Error: 0.0041 | Eval Perf: 0.6604
[6, 100] Train Error: 0.0027 | Train Perf: 0.7725 | Eval Error: 0.0044 | Eval Perf: 0.6882
[7, 100] Train Error: 0.0025 | Train Perf: 0.7989 | Eval Error: 0.0045 | Eval Perf: 0.6784
[8, 100] Train Error: 0.0023 | Train Perf: 0.8186 | Eval Error: 0.0048 | Eval Perf: 0.6846
[9, 100] Train Error: 0.0021 | Train Perf: 0.8314 | Eval Error: 0.004 | Eval Perf: 0.6486
[10, 100] Train Error: 0.0018 | Train Perf: 0.8547 | Eval Error: 0.0041 | Eval Perf: 0.7029
[11, 100] Train Error: 0.0017 | Train Perf: 0.8628 | Eval Error: 0.004 | Eval Perf: 0.7007
[12, 100] Train Error: 0.0016 | Train Perf: 0.8755 | Eval Error: 0.0037 | Eval Perf: 0.7127
[13, 100] Train Error: 0.0016 | Train Perf: 0.8781 | Eval Error: 0.0038 | Eval Perf: 0.6711
[14, 100] Train Error: 0.0015 | Train Perf: 0.8827 | Eval Error: 0.0037 | Eval Perf: 0.7046
[15, 100] Train Error: 0.0014 | Train Perf: 0.8893 | Eval Error: 0.0035 | Eval Perf: 0.7061
[16, 100] Train Error: 0.0013 | Train Perf: 0.8958 | Eval Error: 0.0036 | Eval Perf: 0.7073
[17, 100] Train Error: 0.0013 | Train Perf: 0.9012 | Eval Error: 0.004 | Eval Perf: 0.701
[18, 100] Train Error: 0.0012 | Train Perf: 0.9037 | Eval Error: 0.0037 | Eval Perf: 0.7137
[19, 100] Train Error: 0.0012 | Train Perf: 0.9027 | Eval Error: 0.0034 | Eval Perf: 0.6957
[20, 100] Train Error: 0.0012 | Train Perf: 0.905 | Eval Error: 0.0037 | Eval Perf: 0.7166
[21, 100] Train Error: 0.0012 | Train Perf: 0.9073 | Eval Error: 0.0033 | Eval Perf: 0.7105
[22, 100] Train Error: 0.0012 | Train Perf: 0.9105 | Eval Error: 0.0039 | Eval Perf: 0.7084
[23, 100] Train Error: 0.0011 | Train Perf: 0.9128 | Eval Error: 0.0033 | Eval Perf: 0.7313
[24, 100] Train Error: 0.0011 | Train Perf: 0.9121 | Eval Error: 0.0033 | Eval Perf: 0.7314
[25, 100] Train Error: 0.0011 | Train Perf: 0.9111 | Eval Error: 0.0033 | Eval Perf: 0.7249
[26, 100] Train Error: 0.0011 | Train Perf: 0.9147 | Eval Error: 0.0035 | Eval Perf: 0.7314
[27, 100] Train Error: 0.0011 | Train Perf: 0.9147 | Eval Error: 0.0033 | Eval Perf: 0.7235
[28, 100] Train Error: 0.001 | Train Perf: 0.9197 | Eval Error: 0.0035 | Eval Perf: 0.727
[29, 100] Train Error: 0.0011 | Train Perf: 0.9189 | Eval Error: 0.0033 | Eval Perf: 0.7392
[30, 100] Train Error: 0.001 | Train Perf: 0.9213 | Eval Error: 0.0032 | Eval Perf: 0.7375
[31, 100] Train Error: 0.001 | Train Perf: 0.9209 | Eval Error: 0.0032 | Eval Perf: 0.7475
[32, 100] Train Error: 0.001 | Train Perf: 0.9242 | Eval Error: 0.0031 | Eval Perf: 0.7451
[33, 100] Train Error: 0.001 | Train Perf: 0.9245 | Eval Error: 0.0032 | Eval Perf: 0.7433
[34, 100] Train Error: 0.001 | Train Perf: 0.9239 | Eval Error: 0.0033 | Eval Perf: 0.7497
[35, 100] Train Error: 0.001 | Train Perf: 0.9268 | Eval Error: 0.0031 | Eval Perf: 0.7476
[36, 100] Train Error: 0.001 | Train Perf: 0.9269 | Eval Error: 0.0032 | Eval Perf: 0.7446
[37, 100] Train Error: 0.0009 | Train Perf: 0.9271 | Eval Error: 0.0031 | Eval Perf: 0.7479
[38, 100] Train Error: 0.001 | Train Perf: 0.926 | Eval Error: 0.003 | Eval Perf: 0.7522
[39, 100] Train Error: 0.001 | Train Perf: 0.9255 | Eval Error: 0.0032 | Eval Perf: 0.746
[40, 100] Train Error: 0.0009 | Train Perf: 0.9287 | Eval Error: 0.0032 | Eval Perf: 0.7515
[41, 100] Train Error: 0.0009 | Train Perf: 0.9299 | Eval Error: 0.003 | Eval Perf: 0.7389
[42, 100] Train Error: 0.0009 | Train Perf: 0.93 | Eval Error: 0.0032 | Eval Perf: 0.7416
[43, 100] Train Error: 0.0009 | Train Perf: 0.9307 | Eval Error: 0.0033 | Eval Perf: 0.7389
[44, 100] Train Error: 0.0009 | Train Perf: 0.9305 | Eval Error: 0.0032 | Eval Perf: 0.7453
[45, 100] Train Error: 0.0009 | Train Perf: 0.9298 | Eval Error: 0.0032 | Eval Perf: 0.7341
[46, 100] Train Error: 0.0009 | Train Perf: 0.9305 | Eval Error: 0.0032 | Eval Perf: 0.7344
[47, 100] Train Error: 0.0009 | Train Perf: 0.931 | Eval Error: 0.0032 | Eval Perf: 0.7351
[48, 100] Train Error: 0.0009 | Train Perf: 0.9321 | Eval Error: 0.0032 | Eval Perf: 0.7345
[49, 100] Train Error: 0.0009 | Train Perf: 0.9312 | Eval Error: 0.0033 | Eval Perf: 0.7309
[50, 100] Train Error: 0.0009 | Train Perf: 0.9317 | Eval Error: 0.0034 | Eval Perf: 0.7378
[51, 100] Train Error: 0.0009 | Train Perf: 0.9315 | Eval Error: 0.0031 | Eval Perf: 0.7339
[52, 100] Train Error: 0.0008 | Train Perf: 0.9355 | Eval Error: 0.0032 | Eval Perf: 0.725
[53, 100] Train Error: 0.0008 | Train Perf: 0.935 | Eval Error: 0.0032 | Eval Perf: 0.7362
[54, 100] Train Error: 0.0008 | Train Perf: 0.9367 | Eval Error: 0.0032 | Eval Perf: 0.7413
[55, 100] Train Error: 0.0008 | Train Perf: 0.9373 | Eval Error: 0.0031 | Eval Perf: 0.7387
[56, 100] Train Error: 0.0008 | Train Perf: 0.9372 | Eval Error: 0.0034 | Eval Perf: 0.7327
