NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.0182 | Train Perf: -0.1842 | Eval Error: 0.0187 | Eval Perf: -0.2201
[2, 100] Train Error: 0.0164 | Train Perf: -0.097 | Eval Error: 0.0191 | Eval Perf: 0.1753
[3, 100] Train Error: 0.0162 | Train Perf: -0.0349 | Eval Error: 0.018 | Eval Perf: 0.5328
[4, 100] Train Error: 0.0161 | Train Perf: -0.0988 | Eval Error: 0.0179 | Eval Perf: 0.69
[5, 100] Train Error: 0.0147 | Train Perf: 0.2858 | Eval Error: 0.0208 | Eval Perf: 0.7428
[6, 100] Train Error: 0.0158 | Train Perf: 0.1169 | Eval Error: 0.0173 | Eval Perf: 0.7795
[7, 100] Train Error: 0.0149 | Train Perf: 0.3226 | Eval Error: 0.0179 | Eval Perf: 0.7943
[8, 100] Train Error: 0.0144 | Train Perf: 0.3667 | Eval Error: 0.0166 | Eval Perf: 0.8017
[9, 100] Train Error: 0.0138 | Train Perf: 0.5037 | Eval Error: 0.0161 | Eval Perf: 0.8068
[10, 100] Train Error: 0.0129 | Train Perf: 0.5586 | Eval Error: 0.0153 | Eval Perf: 0.8064
[11, 100] Train Error: 0.0121 | Train Perf: 0.6477 | Eval Error: 0.0157 | Eval Perf: 0.8114
[12, 100] Train Error: 0.0112 | Train Perf: 0.7331 | Eval Error: 0.0138 | Eval Perf: 0.8035
[13, 100] Train Error: 0.0102 | Train Perf: 0.742 | Eval Error: 0.0129 | Eval Perf: 0.8048
[14, 100] Train Error: 0.0091 | Train Perf: 0.7764 | Eval Error: 0.0138 | Eval Perf: 0.8166
[15, 100] Train Error: 0.0083 | Train Perf: 0.807 | Eval Error: 0.0114 | Eval Perf: 0.8
[16, 100] Train Error: 0.0074 | Train Perf: 0.8334 | Eval Error: 0.0119 | Eval Perf: 0.8078
[17, 100] Train Error: 0.0066 | Train Perf: 0.836 | Eval Error: 0.0112 | Eval Perf: 0.805
[18, 100] Train Error: 0.0061 | Train Perf: 0.8549 | Eval Error: 0.0102 | Eval Perf: 0.7954
[19, 100] Train Error: 0.0055 | Train Perf: 0.8664 | Eval Error: 0.0097 | Eval Perf: 0.7896
[20, 100] Train Error: 0.005 | Train Perf: 0.8723 | Eval Error: 0.009 | Eval Perf: 0.7762
[21, 100] Train Error: 0.0046 | Train Perf: 0.879 | Eval Error: 0.0088 | Eval Perf: 0.773
[22, 100] Train Error: 0.0043 | Train Perf: 0.8857 | Eval Error: 0.0089 | Eval Perf: 0.7864
[23, 100] Train Error: 0.004 | Train Perf: 0.8882 | Eval Error: 0.0084 | Eval Perf: 0.7722
[24, 100] Train Error: 0.0037 | Train Perf: 0.8967 | Eval Error: 0.0093 | Eval Perf: 0.7894
