NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[56, 100] Train Error: 0.0032 | Train Perf: 0.6479 | Eval Error: 0.0037 | Eval Perf: 0.485
[57, 100] Train Error: 0.0032 | Train Perf: 0.6539 | Eval Error: 0.0037 | Eval Perf: 0.4869
[58, 100] Train Error: 0.0031 | Train Perf: 0.6563 | Eval Error: 0.0037 | Eval Perf: 0.4887
[59, 100] Train Error: 0.0031 | Train Perf: 0.6586 | Eval Error: 0.0037 | Eval Perf: 0.4905
[60, 100] Train Error: 0.0031 | Train Perf: 0.6599 | Eval Error: 0.0037 | Eval Perf: 0.4926
[61, 100] Train Error: 0.003 | Train Perf: 0.6626 | Eval Error: 0.0036 | Eval Perf: 0.4945
[62, 100] Train Error: 0.003 | Train Perf: 0.6658 | Eval Error: 0.0036 | Eval Perf: 0.496
[63, 100] Train Error: 0.003 | Train Perf: 0.6688 | Eval Error: 0.0036 | Eval Perf: 0.4975
[64, 100] Train Error: 0.0029 | Train Perf: 0.6702 | Eval Error: 0.0036 | Eval Perf: 0.4992
[65, 100] Train Error: 0.0029 | Train Perf: 0.6741 | Eval Error: 0.0036 | Eval Perf: 0.5005
[66, 100] Train Error: 0.0029 | Train Perf: 0.6768 | Eval Error: 0.0035 | Eval Perf: 0.5018
[67, 100] Train Error: 0.0028 | Train Perf: 0.6785 | Eval Error: 0.0035 | Eval Perf: 0.5034
[68, 100] Train Error: 0.0028 | Train Perf: 0.6803 | Eval Error: 0.0035 | Eval Perf: 0.5048
[69, 100] Train Error: 0.0028 | Train Perf: 0.6854 | Eval Error: 0.0035 | Eval Perf: 0.506
[70, 100] Train Error: 0.0027 | Train Perf: 0.6858 | Eval Error: 0.0035 | Eval Perf: 0.5074
[71, 100] Train Error: 0.0027 | Train Perf: 0.6887 | Eval Error: 0.0035 | Eval Perf: 0.5085
[72, 100] Train Error: 0.0027 | Train Perf: 0.6917 | Eval Error: 0.0035 | Eval Perf: 0.5098
[73, 100] Train Error: 0.0026 | Train Perf: 0.6946 | Eval Error: 0.0034 | Eval Perf: 0.5109
[74, 100] Train Error: 0.0026 | Train Perf: 0.6971 | Eval Error: 0.0034 | Eval Perf: 0.5119
[75, 100] Train Error: 0.0026 | Train Perf: 0.7014 | Eval Error: 0.0034 | Eval Perf: 0.5126
