NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.028 | Train Perf: 0.4775 | Eval Error: 0.024 | Eval Perf: 0.603
[2, 100] Train Error: 0.0202 | Train Perf: 0.6654 | Eval Error: 0.0256 | Eval Perf: 0.6528
[3, 100] Train Error: 0.0181 | Train Perf: 0.7092 | Eval Error: 0.0192 | Eval Perf: 0.6898
[4, 100] Train Error: 0.0162 | Train Perf: 0.7439 | Eval Error: 0.0209 | Eval Perf: 0.6689
[5, 100] Train Error: 0.0159 | Train Perf: 0.7506 | Eval Error: 0.02 | Eval Perf: 0.6911
[6, 100] Train Error: 0.0149 | Train Perf: 0.7675 | Eval Error: 0.0207 | Eval Perf: 0.6717
[7, 100] Train Error: 0.0144 | Train Perf: 0.7768 | Eval Error: 0.0198 | Eval Perf: 0.6837
[8, 100] Train Error: 0.0137 | Train Perf: 0.7898 | Eval Error: 0.0189 | Eval Perf: 0.7063
[9, 100] Train Error: 0.0134 | Train Perf: 0.7948 | Eval Error: 0.0188 | Eval Perf: 0.7055
[10, 100] Train Error: 0.0123 | Train Perf: 0.8135 | Eval Error: 0.0203 | Eval Perf: 0.6843
[11, 100] Train Error: 0.0124 | Train Perf: 0.8122 | Eval Error: 0.0216 | Eval Perf: 0.6967
[12, 100] Train Error: 0.0121 | Train Perf: 0.8163 | Eval Error: 0.0201 | Eval Perf: 0.6852
[13, 100] Train Error: 0.0118 | Train Perf: 0.8212 | Eval Error: 0.0207 | Eval Perf: 0.6839
[14, 100] Train Error: 0.0115 | Train Perf: 0.8265 | Eval Error: 0.0198 | Eval Perf: 0.6919
[15, 100] Train Error: 0.0109 | Train Perf: 0.8359 | Eval Error: 0.0213 | Eval Perf: 0.6785
[16, 100] Train Error: 0.011 | Train Perf: 0.8351 | Eval Error: 0.0204 | Eval Perf: 0.6994
[17, 100] Train Error: 0.0107 | Train Perf: 0.8398 | Eval Error: 0.0222 | Eval Perf: 0.68
[18, 100] Train Error: 0.0105 | Train Perf: 0.843 | Eval Error: 0.0199 | Eval Perf: 0.6888
[19, 100] Train Error: 0.0105 | Train Perf: 0.8441 | Eval Error: 0.0209 | Eval Perf: 0.6816
[20, 100] Train Error: 0.0098 | Train Perf: 0.8556 | Eval Error: 0.0241 | Eval Perf: 0.6838
[21, 100] Train Error: 0.0102 | Train Perf: 0.8477 | Eval Error: 0.0206 | Eval Perf: 0.6848
[22, 100] Train Error: 0.01 | Train Perf: 0.8516 | Eval Error: 0.0221 | Eval Perf: 0.671
[23, 100] Train Error: 0.0098 | Train Perf: 0.8546 | Eval Error: 0.0199 | Eval Perf: 0.6871
[24, 100] Train Error: 0.0098 | Train Perf: 0.8543 | Eval Error: 0.0205 | Eval Perf: 0.6846
[25, 100] Train Error: 0.0095 | Train Perf: 0.8594 | Eval Error: 0.0224 | Eval Perf: 0.6739
[26, 100] Train Error: 0.0095 | Train Perf: 0.8592 | Eval Error: 0.0192 | Eval Perf: 0.7053
[27, 100] Train Error: 0.0094 | Train Perf: 0.8606 | Eval Error: 0.0211 | Eval Perf: 0.6868
[28, 100] Train Error: 0.0093 | Train Perf: 0.8634 | Eval Error: 0.0223 | Eval Perf: 0.6703
[29, 100] Train Error: 0.0091 | Train Perf: 0.866 | Eval Error: 0.0195 | Eval Perf: 0.7012
[30, 100] Train Error: 0.0091 | Train Perf: 0.8664 | Eval Error: 0.0212 | Eval Perf: 0.694
[31, 100] Train Error: 0.0092 | Train Perf: 0.8646 | Eval Error: 0.0209 | Eval Perf: 0.6781
[32, 100] Train Error: 0.0089 | Train Perf: 0.8695 | Eval Error: 0.0202 | Eval Perf: 0.697
[33, 100] Train Error: 0.0088 | Train Perf: 0.8702 | Eval Error: 0.0208 | Eval Perf: 0.6862
[34, 100] Train Error: 0.0088 | Train Perf: 0.871 | Eval Error: 0.0217 | Eval Perf: 0.6863
[35, 100] Train Error: 0.0086 | Train Perf: 0.8745 | Eval Error: 0.021 | Eval Perf: 0.6761
[36, 100] Train Error: 0.0085 | Train Perf: 0.8747 | Eval Error: 0.0207 | Eval Perf: 0.682
[37, 100] Train Error: 0.0084 | Train Perf: 0.8776 | Eval Error: 0.0201 | Eval Perf: 0.6966
[38, 100] Train Error: 0.0084 | Train Perf: 0.8776 | Eval Error: 0.0217 | Eval Perf: 0.6759
[39, 100] Train Error: 0.008 | Train Perf: 0.8832 | Eval Error: 0.0211 | Eval Perf: 0.6752
[40, 100] Train Error: 0.0084 | Train Perf: 0.8773 | Eval Error: 0.0212 | Eval Perf: 0.6755
[41, 100] Train Error: 0.0081 | Train Perf: 0.8814 | Eval Error: 0.024 | Eval Perf: 0.6669
[42, 100] Train Error: 0.0081 | Train Perf: 0.8814 | Eval Error: 0.0218 | Eval Perf: 0.6723
[43, 100] Train Error: 0.0081 | Train Perf: 0.8814 | Eval Error: 0.022 | Eval Perf: 0.6725
[44, 100] Train Error: 0.008 | Train Perf: 0.8826 | Eval Error: 0.0217 | Eval Perf: 0.6756
[45, 100] Train Error: 0.0079 | Train Perf: 0.8842 | Eval Error: 0.0225 | Eval Perf: 0.6604
[46, 100] Train Error: 0.008 | Train Perf: 0.883 | Eval Error: 0.0218 | Eval Perf: 0.6691
[47, 100] Train Error: 0.0079 | Train Perf: 0.8843 | Eval Error: 0.0222 | Eval Perf: 0.6702
[48, 100] Train Error: 0.0077 | Train Perf: 0.8873 | Eval Error: 0.0218 | Eval Perf: 0.668
[49, 100] Train Error: 0.0079 | Train Perf: 0.8849 | Eval Error: 0.0221 | Eval Perf: 0.6657
[50, 100] Train Error: 0.0077 | Train Perf: 0.8882 | Eval Error: 0.0229 | Eval Perf: 0.6618
[51, 100] Train Error: 0.0078 | Train Perf: 0.8858 | Eval Error: 0.0224 | Eval Perf: 0.6628
[52, 100] Train Error: 0.0076 | Train Perf: 0.8887 | Eval Error: 0.0218 | Eval Perf: 0.6665
[53, 100] Train Error: 0.0076 | Train Perf: 0.8894 | Eval Error: 0.0224 | Eval Perf: 0.6696
[54, 100] Train Error: 0.0076 | Train Perf: 0.8897 | Eval Error: 0.0225 | Eval Perf: 0.6584
[55, 100] Train Error: 0.0076 | Train Perf: 0.8891 | Eval Error: 0.0218 | Eval Perf: 0.6711
[56, 100] Train Error: 0.0075 | Train Perf: 0.8913 | Eval Error: 0.0223 | Eval Perf: 0.6606
[57, 100] Train Error: 0.0075 | Train Perf: 0.8908 | Eval Error: 0.0222 | Eval Perf: 0.6672
[58, 100] Train Error: 0.0075 | Train Perf: 0.8915 | Eval Error: 0.022 | Eval Perf: 0.6734
[59, 100] Train Error: 0.0074 | Train Perf: 0.8919 | Eval Error: 0.0219 | Eval Perf: 0.6643
[60, 100] Train Error: 0.0074 | Train Perf: 0.893 | Eval Error: 0.0236 | Eval Perf: 0.6575
[61, 100] Train Error: 0.0072 | Train Perf: 0.8953 | Eval Error: 0.024 | Eval Perf: 0.6543
