Amb_a_1.0101_5 vs. Amb_a_1.0501_5,0.28965789341987697,0.19999999999999998,70.0,8.0,70.0,93.0,70.0,93.0,77.77777777777779,50.0,0.864529,77.77777777777779,44.0,77.77777777777779,44.0,77.77777777777779,44.0,0.009999999999999995,0.05,0.06,5,5,6999.299999999999
Amb_a_1.0101_6 vs. Amb_a_1.0201_6,0.8740042762772894,0.7642857142857141,85.0,13.0,85.0,113.0,80.0,110.0,100.0,65.0,0.953700,100.0,63.0,100.0,63.0,100.0,64.0,0.22999999999999998,1.19,0.96,4,5,8480.449999999999
Amb_a_1.0101_6 vs. Amb_a_1.0304_6,0.670479055907207,0.5785714285714285,90.0,16.0,90.0,119.0,90.0,119.0,100.0,65.0,0.966869,100.0,63.0,100.0,63.0,100.0,64.0,0.15000000000000013,1.19,1.34,4,4,8986.5
Amb_a_1.0101_6 vs. Amb_a_1.0401_6,0.8071771956273902,0.6747252747252748,90.0,16.0,90.0,125.0,90.0,125.0,100.0,65.0,0.980278,100.0,63.0,100.0,63.0,100.0,64.0,0.030000000000000027,1.19,1.16,4,4,8997.3
Amb_a_1.0101_6 vs. Amb_a_1.0501_6,0.770718590651187,0.5529411764705882,80.0,12.0,80.0,109.0,80.0,109.0,88.88888888888889,61.0,0.936827,88.88888888888889,60.0,88.88888888888889,60.0,88.88888888888889,61.0,0.32000000000000006,1.19,1.51,4,4,7974.400000000001
Amb_a_1.0101_7 vs. Amb_a_1.0201_7,0.6906099228228848,0.49890109890109896,70.0,8.0,70.0,92.0,70.0,90.0,100.0,60.0,0.910501,22.22222222222222,2.0,77.77777777777779,44.0,None,None,1.3499999999999996,8.41,9.76,0,0,6905.5
Amb_a_1.0101_7 vs. Amb_a_1.0304_7,-0.6943935418498078,-0.6205882352941177,55.00000000000001,0.0,55.00000000000001,71.0,45.0,58.0,55.55555555555556,30.0,0.817664,0.0,-23.0,11.11111111111111,-7.0,None,None,6.21,8.41,2.2,0,1,5158.450000000001
Amb_a_1.0101_7 vs. Amb_a_1.0401_7,0.599298938724973,0.4294117647058823,65.0,6.0,65.0,84.0,65.0,82.0,88.88888888888889,58.0,0.839426,11.11111111111111,6.0,11.11111111111111,-14.0,None,None,7.029999999999999,8.41,15.44,0,0,6043.05
Amb_a_1.0101_7 vs. Amb_a_1.0501_7,-0.11722539272574362,-0.075,55.00000000000001,1.0,55.00000000000001,68.0,45.0,59.0,55.55555555555556,31.0,0.814121,0.0,-24.0,22.22222222222222,-6.0,None,None,3.99,8.41,12.4,0,0,5280.550000000001
Amb_a_1.0101_8 vs. Amb_a_1.0201_8,0.7662826324887769,0.7181818181818183,75.0,9.0,75.0,95.0,65.0,91.0,100.0,59.0,0.898780,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.81,0.8,1.61,2,1,7439.25
