Amb_a_1.0101_8 vs. Amb_a_1.0201_8,0.7662826324887769,0.7181818181818183,75.0,9.0,75.0,95.0,70.0,91.0,100.0,59.0,0.898780,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.81,0.8,1.61,2,1,1,7439.25,0.7763975155279502,2,77.0
Amb_a_1.0101_8 vs. Amb_a_1.0304_8,0.7538027753917097,0.6208791208791209,75.0,9.0,75.0,98.0,75.0,95.0,100.0,59.0,0.917181,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.34,0.8,0.46,2,2,2,7474.5,2.717391304347826,4,79.0
Amb_a_1.0101_8 vs. Amb_a_1.0401_8,0.7314702615753294,0.5879120879120878,70.0,7.0,70.0,87.0,70.0,83.0,100.0,59.0,0.896664,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.32000000000000006,0.8,0.48,2,2,2,6977.6,2.604166666666667,4,74.0
Amb_a_1.0101_8 vs. Amb_a_1.0501_8,0.608482411893595,0.5909090909090909,70.0,7.0,70.0,88.0,65.0,86.0,88.88888888888889,55.0,0.874931,77.77777777777779,46.0,77.77777777777779,46.0,77.77777777777779,46.0,0.31000000000000005,0.8,0.49,2,2,2,6978.3,2.5510204081632653,4,74.0
Amb_a_1.0101_11 vs. Amb_a_1.0201_11,0.4668409921722555,0.532142857142857,70.0,8.0,70.0,103.0,70.0,105.0,88.88888888888889,53.0,0.904739,77.77777777777779,46.0,77.77777777777779,46.0,77.77777777777779,46.0,0.18000000000000005,0.47,0.65,1,1,1,6987.4,3.273322422258592,1,71.0
Amb_a_1.0101_11 vs. Amb_a_1.0304_11,0.7744560475272745,0.7582417582417583,75.0,10.0,75.0,108.0,75.0,110.0,88.88888888888889,53.0,0.933258,88.88888888888889,50.0,88.88888888888889,50.0,88.88888888888889,50.0,0.06,0.47,0.41,1,2,1,7495.5,5.189413596263622,2,77.0
Amb_a_1.0101_11 vs. Amb_a_1.0401_11,0.6760530261229295,0.6131868131868132,75.0,10.0,75.0,102.0,75.0,102.0,88.88888888888889,53.0,0.876797,88.88888888888889,50.0,88.88888888888889,50.0,88.88888888888889,50.0,1.29,0.47,1.76,1,2,1,7403.249999999999,1.2088974854932302,2,77.0
Amb_a_1.0101_11 vs. Amb_a_1.0501_11,0.9199032120123355,0.9164835164835166,90.0,15.0,90.0,117.0,90.0,115.0,100.0,57.0,0.949459,100.0,54.0,100.0,54.0,100.0,54.0,0.12,0.47,0.59,1,1,1,8989.199999999999,3.606202668589975,1,91.0
Amb_a_1.0101_12 vs. Amb_a_1.0304_12,0.7347391480838785,0.8111888111888113,85.0,14.0,85.0,107.0,85.0,106.0,88.88888888888889,54.0,0.925582,77.77777777777779,47.0,77.77777777777779,47.0,77.77777777777779,47.0,0.9100000000000001,1.37,0.46,4,3,3,8422.65,1.586797841954935,12,97.0
Amb_a_1.0101_12 vs. Amb_a_1.0401_12,0.39301618137687677,0.406060606060606,90.0,16.0,90.0,117.0,90.0,117.0,100.0,62.0,0.954346,88.88888888888889,53.0,88.88888888888889,53.0,88.88888888888889,53.0,0.029999999999999805,1.37,1.4,4,4,4,8997.3,0.5213764337851929,16,106.0
