NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.0317 | Train Perf: 0.3704 | Eval Error: 0.0225 | Eval Perf: 0.6504
[2, 100] Train Error: 0.0184 | Train Perf: 0.7059 | Eval Error: 0.0184 | Eval Perf: 0.7331
[3, 100] Train Error: 0.0151 | Train Perf: 0.7642 | Eval Error: 0.0173 | Eval Perf: 0.7302
[4, 100] Train Error: 0.0142 | Train Perf: 0.7814 | Eval Error: 0.0162 | Eval Perf: 0.7469
[5, 100] Train Error: 0.014 | Train Perf: 0.7843 | Eval Error: 0.0153 | Eval Perf: 0.7632
[6, 100] Train Error: 0.0132 | Train Perf: 0.7983 | Eval Error: 0.0152 | Eval Perf: 0.764
[7, 100] Train Error: 0.0128 | Train Perf: 0.8053 | Eval Error: 0.0151 | Eval Perf: 0.7656
[8, 100] Train Error: 0.0127 | Train Perf: 0.8072 | Eval Error: 0.0153 | Eval Perf: 0.7734
[9, 100] Train Error: 0.0122 | Train Perf: 0.8145 | Eval Error: 0.0153 | Eval Perf: 0.7751
[10, 100] Train Error: 0.0119 | Train Perf: 0.8204 | Eval Error: 0.0158 | Eval Perf: 0.7735
[11, 100] Train Error: 0.0116 | Train Perf: 0.826 | Eval Error: 0.0148 | Eval Perf: 0.7813
[12, 100] Train Error: 0.0112 | Train Perf: 0.832 | Eval Error: 0.0143 | Eval Perf: 0.7814
[13, 100] Train Error: 0.0109 | Train Perf: 0.8361 | Eval Error: 0.0141 | Eval Perf: 0.7831
[14, 100] Train Error: 0.0108 | Train Perf: 0.838 | Eval Error: 0.0141 | Eval Perf: 0.7885
[15, 100] Train Error: 0.0104 | Train Perf: 0.8453 | Eval Error: 0.0141 | Eval Perf: 0.7867
[16, 100] Train Error: 0.0102 | Train Perf: 0.8487 | Eval Error: 0.0149 | Eval Perf: 0.7846
[17, 100] Train Error: 0.01 | Train Perf: 0.8511 | Eval Error: 0.014 | Eval Perf: 0.7869
[18, 100] Train Error: 0.0096 | Train Perf: 0.8584 | Eval Error: 0.0137 | Eval Perf: 0.7912
[19, 100] Train Error: 0.0095 | Train Perf: 0.8589 | Eval Error: 0.0135 | Eval Perf: 0.7937
[20, 100] Train Error: 0.0092 | Train Perf: 0.8651 | Eval Error: 0.0162 | Eval Perf: 0.7934
[21, 100] Train Error: 0.009 | Train Perf: 0.8676 | Eval Error: 0.0138 | Eval Perf: 0.7931
[22, 100] Train Error: 0.0089 | Train Perf: 0.8684 | Eval Error: 0.0135 | Eval Perf: 0.7961
[23, 100] Train Error: 0.0087 | Train Perf: 0.8725 | Eval Error: 0.0133 | Eval Perf: 0.7978
[24, 100] Train Error: 0.0085 | Train Perf: 0.875 | Eval Error: 0.0134 | Eval Perf: 0.7972
[25, 100] Train Error: 0.0082 | Train Perf: 0.8793 | Eval Error: 0.0149 | Eval Perf: 0.7955
[26, 100] Train Error: 0.0082 | Train Perf: 0.8795 | Eval Error: 0.0153 | Eval Perf: 0.7911
[27, 100] Train Error: 0.008 | Train Perf: 0.8825 | Eval Error: 0.0136 | Eval Perf: 0.7944
[28, 100] Train Error: 0.008 | Train Perf: 0.8836 | Eval Error: 0.0139 | Eval Perf: 0.7913
[29, 100] Train Error: 0.0077 | Train Perf: 0.8875 | Eval Error: 0.0148 | Eval Perf: 0.7907
[30, 100] Train Error: 0.0078 | Train Perf: 0.8864 | Eval Error: 0.0144 | Eval Perf: 0.7928
[31, 100] Train Error: 0.0076 | Train Perf: 0.89 | Eval Error: 0.0143 | Eval Perf: 0.7921
[32, 100] Train Error: 0.0077 | Train Perf: 0.8879 | Eval Error: 0.0138 | Eval Perf: 0.7932
[33, 100] Train Error: 0.0073 | Train Perf: 0.8935 | Eval Error: 0.014 | Eval Perf: 0.7913
[34, 100] Train Error: 0.0073 | Train Perf: 0.8938 | Eval Error: 0.0146 | Eval Perf: 0.7866
[35, 100] Train Error: 0.0074 | Train Perf: 0.8922 | Eval Error: 0.0143 | Eval Perf: 0.7854
[36, 100] Train Error: 0.0071 | Train Perf: 0.8965 | Eval Error: 0.0145 | Eval Perf: 0.7836
[37, 100] Train Error: 0.0072 | Train Perf: 0.8952 | Eval Error: 0.0145 | Eval Perf: 0.783
[38, 100] Train Error: 0.007 | Train Perf: 0.899 | Eval Error: 0.0146 | Eval Perf: 0.7825
[39, 100] Train Error: 0.007 | Train Perf: 0.8982 | Eval Error: 0.0149 | Eval Perf: 0.781
[40, 100] Train Error: 0.0069 | Train Perf: 0.8999 | Eval Error: 0.0144 | Eval Perf: 0.7864
