NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[56, 100] Train Error: 0.0032 | Train Perf: 0.6589 | Eval Error: 0.0036 | Eval Perf: 0.5409
[57, 100] Train Error: 0.0032 | Train Perf: 0.6626 | Eval Error: 0.0036 | Eval Perf: 0.5414
[58, 100] Train Error: 0.0032 | Train Perf: 0.6645 | Eval Error: 0.0036 | Eval Perf: 0.5423
[59, 100] Train Error: 0.0031 | Train Perf: 0.6691 | Eval Error: 0.0036 | Eval Perf: 0.5423
[60, 100] Train Error: 0.0031 | Train Perf: 0.6689 | Eval Error: 0.0035 | Eval Perf: 0.543
[61, 100] Train Error: 0.0031 | Train Perf: 0.6725 | Eval Error: 0.0035 | Eval Perf: 0.5436
[62, 100] Train Error: 0.003 | Train Perf: 0.6763 | Eval Error: 0.0035 | Eval Perf: 0.5437
[63, 100] Train Error: 0.003 | Train Perf: 0.6741 | Eval Error: 0.0035 | Eval Perf: 0.5447
[64, 100] Train Error: 0.003 | Train Perf: 0.6801 | Eval Error: 0.0035 | Eval Perf: 0.5448
[65, 100] Train Error: 0.0029 | Train Perf: 0.6799 | Eval Error: 0.0034 | Eval Perf: 0.5453
[66, 100] Train Error: 0.0029 | Train Perf: 0.6833 | Eval Error: 0.0034 | Eval Perf: 0.5455
[67, 100] Train Error: 0.0028 | Train Perf: 0.6876 | Eval Error: 0.0034 | Eval Perf: 0.5457
[68, 100] Train Error: 0.0028 | Train Perf: 0.6871 | Eval Error: 0.0034 | Eval Perf: 0.5462
[69, 100] Train Error: 0.0028 | Train Perf: 0.6902 | Eval Error: 0.0034 | Eval Perf: 0.5465
[70, 100] Train Error: 0.0027 | Train Perf: 0.6914 | Eval Error: 0.0034 | Eval Perf: 0.5474
[71, 100] Train Error: 0.0027 | Train Perf: 0.6947 | Eval Error: 0.0033 | Eval Perf: 0.5477
[72, 100] Train Error: 0.0027 | Train Perf: 0.6961 | Eval Error: 0.0033 | Eval Perf: 0.5483
[73, 100] Train Error: 0.0026 | Train Perf: 0.6984 | Eval Error: 0.0033 | Eval Perf: 0.5482
[74, 100] Train Error: 0.0026 | Train Perf: 0.7008 | Eval Error: 0.0033 | Eval Perf: 0.5484
[75, 100] Train Error: 0.0026 | Train Perf: 0.7044 | Eval Error: 0.0033 | Eval Perf: 0.5484
[76, 100] Train Error: 0.0026 | Train Perf: 0.7049 | Eval Error: 0.0033 | Eval Perf: 0.5488
[77, 100] Train Error: 0.0025 | Train Perf: 0.7077 | Eval Error: 0.0033 | Eval Perf: 0.5493
[78, 100] Train Error: 0.0025 | Train Perf: 0.7093 | Eval Error: 0.0033 | Eval Perf: 0.5494
[79, 100] Train Error: 0.0025 | Train Perf: 0.7166 | Eval Error: 0.0032 | Eval Perf: 0.5488
[80, 100] Train Error: 0.0024 | Train Perf: 0.7139 | Eval Error: 0.0032 | Eval Perf: 0.5495
[81, 100] Train Error: 0.0024 | Train Perf: 0.7155 | Eval Error: 0.0032 | Eval Perf: 0.5499
[82, 100] Train Error: 0.0024 | Train Perf: 0.7179 | Eval Error: 0.0032 | Eval Perf: 0.5502
[83, 100] Train Error: 0.0024 | Train Perf: 0.7205 | Eval Error: 0.0032 | Eval Perf: 0.5501
[84, 100] Train Error: 0.0023 | Train Perf: 0.7225 | Eval Error: 0.0032 | Eval Perf: 0.5505
[85, 100] Train Error: 0.0023 | Train Perf: 0.7246 | Eval Error: 0.0032 | Eval Perf: 0.5502
[86, 100] Train Error: 0.0023 | Train Perf: 0.7267 | Eval Error: 0.0032 | Eval Perf: 0.5501
[87, 100] Train Error: 0.0023 | Train Perf: 0.7283 | Eval Error: 0.0032 | Eval Perf: 0.55
[88, 100] Train Error: 0.0022 | Train Perf: 0.73 | Eval Error: 0.0032 | Eval Perf: 0.5503
[89, 100] Train Error: 0.0022 | Train Perf: 0.733 | Eval Error: 0.0032 | Eval Perf: 0.5501
[90, 100] Train Error: 0.0022 | Train Perf: 0.7348 | Eval Error: 0.0032 | Eval Perf: 0.55
[91, 100] Train Error: 0.0022 | Train Perf: 0.7366 | Eval Error: 0.0032 | Eval Perf: 0.5498
[92, 100] Train Error: 0.0021 | Train Perf: 0.7383 | Eval Error: 0.0032 | Eval Perf: 0.5499
[93, 100] Train Error: 0.0021 | Train Perf: 0.7406 | Eval Error: 0.0032 | Eval Perf: 0.55
[94, 100] Train Error: 0.0021 | Train Perf: 0.7428 | Eval Error: 0.0032 | Eval Perf: 0.5495
[95, 100] Train Error: 0.0021 | Train Perf: 0.7454 | Eval Error: 0.0032 | Eval Perf: 0.5489
[96, 100] Train Error: 0.0021 | Train Perf: 0.7455 | Eval Error: 0.0032 | Eval Perf: 0.549
[97, 100] Train Error: 0.002 | Train Perf: 0.7485 | Eval Error: 0.0032 | Eval Perf: 0.5492
[98, 100] Train Error: 0.002 | Train Perf: 0.7522 | Eval Error: 0.0032 | Eval Perf: 0.5483
[99, 100] Train Error: 0.002 | Train Perf: 0.7509 | Eval Error: 0.0032 | Eval Perf: 0.5483
[100, 100] Train Error: 0.002 | Train Perf: 0.7533 | Eval Error: 0.0032 | Eval Perf: 0.5481
