NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.0281 | Train Perf: 0.3666 | Eval Error: 0.0217 | Eval Perf: 0.6456
[2, 100] Train Error: 0.0163 | Train Perf: 0.7091 | Eval Error: 0.0138 | Eval Perf: 0.7631
[3, 100] Train Error: 0.012 | Train Perf: 0.7896 | Eval Error: 0.0125 | Eval Perf: 0.78
[4, 100] Train Error: 0.0106 | Train Perf: 0.8152 | Eval Error: 0.0123 | Eval Perf: 0.7848
[5, 100] Train Error: 0.0102 | Train Perf: 0.825 | Eval Error: 0.0123 | Eval Perf: 0.7915
[6, 100] Train Error: 0.01 | Train Perf: 0.8291 | Eval Error: 0.0122 | Eval Perf: 0.7988
[7, 100] Train Error: 0.0098 | Train Perf: 0.8325 | Eval Error: 0.012 | Eval Perf: 0.8021
[8, 100] Train Error: 0.0096 | Train Perf: 0.8367 | Eval Error: 0.0117 | Eval Perf: 0.7975
[9, 100] Train Error: 0.0096 | Train Perf: 0.8373 | Eval Error: 0.0124 | Eval Perf: 0.7914
[10, 100] Train Error: 0.0095 | Train Perf: 0.839 | Eval Error: 0.0116 | Eval Perf: 0.799
[11, 100] Train Error: 0.0093 | Train Perf: 0.8436 | Eval Error: 0.0114 | Eval Perf: 0.8033
[12, 100] Train Error: 0.0092 | Train Perf: 0.8439 | Eval Error: 0.0114 | Eval Perf: 0.8033
[13, 100] Train Error: 0.0092 | Train Perf: 0.8447 | Eval Error: 0.0116 | Eval Perf: 0.806
[14, 100] Train Error: 0.0091 | Train Perf: 0.8454 | Eval Error: 0.0115 | Eval Perf: 0.8022
[15, 100] Train Error: 0.0091 | Train Perf: 0.8469 | Eval Error: 0.0117 | Eval Perf: 0.8008
[16, 100] Train Error: 0.0089 | Train Perf: 0.8487 | Eval Error: 0.0116 | Eval Perf: 0.8038
[17, 100] Train Error: 0.0088 | Train Perf: 0.8523 | Eval Error: 0.0121 | Eval Perf: 0.8024
[18, 100] Train Error: 0.0086 | Train Perf: 0.855 | Eval Error: 0.0114 | Eval Perf: 0.8034
[19, 100] Train Error: 0.0085 | Train Perf: 0.8561 | Eval Error: 0.0128 | Eval Perf: 0.7972
[20, 100] Train Error: 0.0085 | Train Perf: 0.8555 | Eval Error: 0.0116 | Eval Perf: 0.8049
