NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.0183 | Train Perf: -0.0021 | Eval Error: 0.0144 | Eval Perf: 0.312
[2, 100] Train Error: 0.0141 | Train Perf: 0.3613 | Eval Error: 0.0138 | Eval Perf: 0.422
[3, 100] Train Error: 0.0134 | Train Perf: 0.4642 | Eval Error: 0.0131 | Eval Perf: 0.4618
[4, 100] Train Error: 0.0127 | Train Perf: 0.5154 | Eval Error: 0.0125 | Eval Perf: 0.4812
[5, 100] Train Error: 0.012 | Train Perf: 0.5437 | Eval Error: 0.0121 | Eval Perf: 0.4923
[6, 100] Train Error: 0.0114 | Train Perf: 0.563 | Eval Error: 0.0117 | Eval Perf: 0.5004
[7, 100] Train Error: 0.0108 | Train Perf: 0.5878 | Eval Error: 0.0115 | Eval Perf: 0.5084
[8, 100] Train Error: 0.0104 | Train Perf: 0.5969 | Eval Error: 0.0112 | Eval Perf: 0.516
[9, 100] Train Error: 0.01 | Train Perf: 0.6109 | Eval Error: 0.011 | Eval Perf: 0.5239
[10, 100] Train Error: 0.0096 | Train Perf: 0.6274 | Eval Error: 0.0108 | Eval Perf: 0.5329
[11, 100] Train Error: 0.0093 | Train Perf: 0.6416 | Eval Error: 0.0106 | Eval Perf: 0.5404
[12, 100] Train Error: 0.009 | Train Perf: 0.6536 | Eval Error: 0.0105 | Eval Perf: 0.5468
[13, 100] Train Error: 0.0087 | Train Perf: 0.6678 | Eval Error: 0.0104 | Eval Perf: 0.5544
[14, 100] Train Error: 0.0084 | Train Perf: 0.6788 | Eval Error: 0.0103 | Eval Perf: 0.5599
[15, 100] Train Error: 0.0081 | Train Perf: 0.6906 | Eval Error: 0.0102 | Eval Perf: 0.5674
[16, 100] Train Error: 0.0079 | Train Perf: 0.7033 | Eval Error: 0.0101 | Eval Perf: 0.5738
[17, 100] Train Error: 0.0076 | Train Perf: 0.7125 | Eval Error: 0.01 | Eval Perf: 0.5806
[18, 100] Train Error: 0.0074 | Train Perf: 0.7202 | Eval Error: 0.0099 | Eval Perf: 0.5872
[19, 100] Train Error: 0.0072 | Train Perf: 0.73 | Eval Error: 0.0099 | Eval Perf: 0.5934
[20, 100] Train Error: 0.007 | Train Perf: 0.7387 | Eval Error: 0.0098 | Eval Perf: 0.5994
[21, 100] Train Error: 0.0068 | Train Perf: 0.746 | Eval Error: 0.0096 | Eval Perf: 0.6072
[22, 100] Train Error: 0.0067 | Train Perf: 0.7532 | Eval Error: 0.0096 | Eval Perf: 0.6118
[23, 100] Train Error: 0.0065 | Train Perf: 0.7596 | Eval Error: 0.0095 | Eval Perf: 0.6169
[24, 100] Train Error: 0.0064 | Train Perf: 0.7646 | Eval Error: 0.0093 | Eval Perf: 0.6238
[25, 100] Train Error: 0.0062 | Train Perf: 0.7724 | Eval Error: 0.0093 | Eval Perf: 0.6271
[26, 100] Train Error: 0.0061 | Train Perf: 0.7768 | Eval Error: 0.0091 | Eval Perf: 0.6325
[27, 100] Train Error: 0.0059 | Train Perf: 0.7832 | Eval Error: 0.0091 | Eval Perf: 0.634
[28, 100] Train Error: 0.0058 | Train Perf: 0.7874 | Eval Error: 0.009 | Eval Perf: 0.639
[29, 100] Train Error: 0.0057 | Train Perf: 0.7928 | Eval Error: 0.0089 | Eval Perf: 0.6439
[30, 100] Train Error: 0.0056 | Train Perf: 0.7995 | Eval Error: 0.009 | Eval Perf: 0.644
[31, 100] Train Error: 0.0054 | Train Perf: 0.8021 | Eval Error: 0.0089 | Eval Perf: 0.6463
[32, 100] Train Error: 0.0054 | Train Perf: 0.8054 | Eval Error: 0.0088 | Eval Perf: 0.651
[33, 100] Train Error: 0.0052 | Train Perf: 0.8137 | Eval Error: 0.0089 | Eval Perf: 0.6519
[34, 100] Train Error: 0.0052 | Train Perf: 0.8123 | Eval Error: 0.0089 | Eval Perf: 0.6543
[35, 100] Train Error: 0.0051 | Train Perf: 0.8171 | Eval Error: 0.0088 | Eval Perf: 0.6517
[36, 100] Train Error: 0.0051 | Train Perf: 0.8188 | Eval Error: 0.0088 | Eval Perf: 0.6571
[37, 100] Train Error: 0.0049 | Train Perf: 0.8237 | Eval Error: 0.0087 | Eval Perf: 0.6594
[38, 100] Train Error: 0.0049 | Train Perf: 0.8258 | Eval Error: 0.0089 | Eval Perf: 0.6616
[39, 100] Train Error: 0.0048 | Train Perf: 0.8293 | Eval Error: 0.0091 | Eval Perf: 0.6618
[40, 100] Train Error: 0.0048 | Train Perf: 0.8289 | Eval Error: 0.0088 | Eval Perf: 0.6631
[41, 100] Train Error: 0.0046 | Train Perf: 0.8356 | Eval Error: 0.0088 | Eval Perf: 0.6638
[42, 100] Train Error: 0.0046 | Train Perf: 0.8355 | Eval Error: 0.0087 | Eval Perf: 0.6635
[43, 100] Train Error: 0.0046 | Train Perf: 0.8382 | Eval Error: 0.0089 | Eval Perf: 0.6642
[44, 100] Train Error: 0.0045 | Train Perf: 0.841 | Eval Error: 0.0088 | Eval Perf: 0.6658
[45, 100] Train Error: 0.0044 | Train Perf: 0.8423 | Eval Error: 0.0088 | Eval Perf: 0.6624
[46, 100] Train Error: 0.0044 | Train Perf: 0.8458 | Eval Error: 0.0091 | Eval Perf: 0.6648
[47, 100] Train Error: 0.0043 | Train Perf: 0.8453 | Eval Error: 0.0088 | Eval Perf: 0.6646
[48, 100] Train Error: 0.0043 | Train Perf: 0.8485 | Eval Error: 0.0089 | Eval Perf: 0.6671
[49, 100] Train Error: 0.0041 | Train Perf: 0.8549 | Eval Error: 0.0093 | Eval Perf: 0.6654
