Alng1_1 vs. Betv1_1,0.6513255930064078,0.5991119196438357,90.0,16.0,90.0,113.0,90.0,113.0,100.0,56.0,77.77777777777779,39.0,77.77777777777779,39.0,77.77777777777779,39.0,0.18999999999999995,8982.9,0.927387
Betv1_1 vs. Cora1_1,0.6856714831788736,0.1991106713526072,90.0,16.0,90.0,113.0,90.0,113.0,100.0,56.0,77.77777777777779,39.0,77.77777777777779,39.0,77.77777777777779,39.0,0.16000000000000014,8985.6,0.928448
Betv1_1 vs. Mald1_1,0.6101953813237461,0.4866909082038543,65.0,6.0,65.0,82.0,65.0,81.0,66.66666666666666,36.0,22.22222222222222,5.0,66.66666666666666,30.0,66.66666666666666,30.0,1.67,6391.45,0.826219
Betv1_1 vs. Quea1_1,0.1811130323938,0.4210076377682378,75.0,8.0,75.0,94.0,65.0,81.0,77.77777777777779,39.0,0.0,-10.0,11.11111111111111,4.0,None,None,15.650000000000002,6326.25,0.889926
Alng1_2 vs. Betv1_2,0.6365060885983532,0.6336621454993836,90.0,16.0,90.0,114.0,90.0,114.0,100.0,61.0,77.77777777777779,48.0,77.77777777777779,48.0,100.0,54.0,0.7799999999999999,8929.8,0.981476
Betv1_2 vs. Cora1_2,0.5951999462813928,0.5943047517905378,75.0,10.0,75.0,104.0,75.0,104.0,100.0,56.0,55.55555555555556,42.0,55.55555555555556,42.0,66.66666666666666,45.0,0.31999999999999995,7476.000000000001,0.932106
Betv1_2 vs. Mald1_2,0.4359892674540728,0.4633411034327448,70.0,8.0,70.0,92.0,70.0,91.0,88.88888888888889,56.0,66.66666666666666,45.0,66.66666666666666,45.0,77.77777777777779,47.0,0.11000000000000004,6992.3,0.893241
Betv1_2 vs. Quea1_2,0.25131101187542265,0.4957634914518348,80.0,10.0,80.0,98.0,70.0,83.0,77.77777777777779,45.0,55.55555555555556,34.0,55.55555555555556,34.0,77.77777777777779,42.0,2.81,7775.2,0.901333
Alng1_3 vs. Betv1_3,0.8421246785440704,0.4301068418190757,80.0,12.0,80.0,110.0,80.0,110.0,88.88888888888889,52.0,77.77777777777779,48.0,77.77777777777779,48.0,77.77777777777779,51.0,1.76,7859.2,0.915781
Betv1_3 vs. Cora1_3,0.8325745601246842,0.35323141940384006,70.0,8.0,70.0,103.0,70.0,103.0,88.88888888888889,55.0,55.55555555555556,42.0,55.55555555555556,42.0,77.77777777777779,50.0,0.81,6943.3,0.911560
Betv1_3 vs. Mald1_3,0.8483801434639044,0.5690375588553337,70.0,8.0,70.0,101.0,70.0,102.0,77.77777777777779,55.0,66.66666666666666,45.0,66.66666666666666,45.0,77.77777777777779,49.0,0.04999999999999993,6996.5,0.912767
Betv1_3 vs. Quea1_3,0.39011405554124384,0.7224109109817726,70.0,7.0,70.0,84.0,65.0,79.0,77.77777777777779,41.0,0.0,-17.0,55.55555555555556,34.0,66.66666666666666,38.0,1.07,6925.1,0.855383
Alng1_4 vs. Betv1_4,0.9136490884812603,0.59101019805606,90.0,16.0,90.0,127.0,90.0,127.0,100.0,65.0,88.88888888888889,51.0,88.88888888888889,51.0,88.88888888888889,51.0,1.9299999999999997,8826.3,0.977779
Betv1_4 vs. Cora1_4,0.9315272292242017,0.5624537151320661,90.0,16.0,90.0,129.0,90.0,129.0,88.88888888888889,64.0,77.77777777777779,48.0,77.77777777777779,48.0,77.77777777777779,48.0,0.15000000000000013,8986.5,0.974868
Betv1_4 vs. Mald1_4,0.26260732609173987,0.4008526390924413,70.0,7.0,70.0,102.0,65.0,98.0,77.77777777777779,52.0,44.44444444444444,23.0,44.44444444444444,23.0,44.44444444444444,23.0,0.9000000000000001,6937.0,0.861968
Betv1_4 vs. Quea1_4,0.42822412604870813,0.3010087365478429,75.0,10.0,75.0,96.0,75.0,96.0,88.88888888888889,55.0,66.66666666666666,32.0,66.66666666666666,32.0,66.66666666666666,32.0,0.76,7443.0,0.897815
Alng1_5 vs. Betv1_5,0.22043669892103687,0.27353829093085813,95.0,18.0,95.0,131.0,95.0,131.0,100.0,67.0,100.0,65.0,100.0,65.0,100.0,65.0,0.0,9500.0,0.989398
Betv1_5 vs. Cora1_5,0.2702557506972893,0.3160173764484814,80.0,12.0,80.0,112.0,80.0,112.0,100.0,66.0,88.88888888888889,64.0,88.88888888888889,64.0,88.88888888888889,64.0,1.79,7856.799999999999,0.947208
Betv1_5 vs. Mald1_5,0.3532853219715009,0.22118175820267807,75.0,9.0,75.0,100.0,70.0,96.0,100.0,61.0,77.77777777777779,57.0,77.77777777777779,57.0,None,None,4.4,7170.0,0.920564
Betv1_5 vs. Quea1_5,0.9389342174753968,0.6816119391315242,80.0,12.0,80.0,105.0,80.0,104.0,100.0,65.0,100.0,65.0,100.0,65.0,100.0,65.0,0.09999999999999998,7992.0,0.952641
Alng1_6 vs. Betv1_6,0.8805260730485229,0.7453761695766096,85.0,14.0,85.0,119.0,85.0,118.0,88.88888888888889,61.0,11.11111111111111,-16.0,88.88888888888889,56.0,None,None,1.0099999999999998,8414.15,0.927965
Betv1_6 vs. Cora1_6,0.6938887474053619,0.41673921082961957,65.0,6.0,65.0,86.0,65.0,83.0,66.66666666666666,38.0,44.44444444444444,25.0,44.44444444444444,25.0,None,None,0.3699999999999992,6475.95,0.815731
Betv1_6 vs. Mald1_6,0.6507001306332647,0.41254626137166384,60.0,4.0,60.0,77.0,60.0,76.0,77.77777777777779,44.0,44.44444444444444,27.0,44.44444444444444,27.0,None,None,2.200000000000001,5868.0,0.804344
