NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.043 | Train Perf: 0.0526 | Eval Error: 0.0418 | Eval Perf: 0.4385
[2, 100] Train Error: 0.0353 | Train Perf: 0.4754 | Eval Error: 0.0317 | Eval Perf: 0.5595
[3, 100] Train Error: 0.0231 | Train Perf: 0.7052 | Eval Error: 0.0246 | Eval Perf: 0.6607
[4, 100] Train Error: 0.0168 | Train Perf: 0.7871 | Eval Error: 0.0222 | Eval Perf: 0.696
[5, 100] Train Error: 0.0145 | Train Perf: 0.8161 | Eval Error: 0.0213 | Eval Perf: 0.7075
[6, 100] Train Error: 0.0134 | Train Perf: 0.8285 | Eval Error: 0.0221 | Eval Perf: 0.7033
[7, 100] Train Error: 0.0131 | Train Perf: 0.8327 | Eval Error: 0.022 | Eval Perf: 0.7016
[8, 100] Train Error: 0.0125 | Train Perf: 0.8407 | Eval Error: 0.0256 | Eval Perf: 0.6885
[9, 100] Train Error: 0.0126 | Train Perf: 0.8402 | Eval Error: 0.0223 | Eval Perf: 0.6981
[10, 100] Train Error: 0.0122 | Train Perf: 0.8452 | Eval Error: 0.0217 | Eval Perf: 0.7109
[11, 100] Train Error: 0.0122 | Train Perf: 0.8448 | Eval Error: 0.0212 | Eval Perf: 0.7142
[12, 100] Train Error: 0.0119 | Train Perf: 0.8489 | Eval Error: 0.0217 | Eval Perf: 0.7086
[13, 100] Train Error: 0.0117 | Train Perf: 0.8519 | Eval Error: 0.0219 | Eval Perf: 0.7044
[14, 100] Train Error: 0.0114 | Train Perf: 0.8557 | Eval Error: 0.0223 | Eval Perf: 0.7024
[15, 100] Train Error: 0.0114 | Train Perf: 0.8566 | Eval Error: 0.0215 | Eval Perf: 0.7112
[16, 100] Train Error: 0.0113 | Train Perf: 0.8579 | Eval Error: 0.0222 | Eval Perf: 0.7021
[17, 100] Train Error: 0.011 | Train Perf: 0.861 | Eval Error: 0.0222 | Eval Perf: 0.7033
[18, 100] Train Error: 0.0109 | Train Perf: 0.8628 | Eval Error: 0.0221 | Eval Perf: 0.7038
[19, 100] Train Error: 0.0106 | Train Perf: 0.867 | Eval Error: 0.0213 | Eval Perf: 0.7117
[20, 100] Train Error: 0.0106 | Train Perf: 0.867 | Eval Error: 0.0214 | Eval Perf: 0.7096
[21, 100] Train Error: 0.0104 | Train Perf: 0.8697 | Eval Error: 0.0215 | Eval Perf: 0.7102
[22, 100] Train Error: 0.0103 | Train Perf: 0.8707 | Eval Error: 0.0217 | Eval Perf: 0.7062
[23, 100] Train Error: 0.0102 | Train Perf: 0.8725 | Eval Error: 0.0223 | Eval Perf: 0.7027
[24, 100] Train Error: 0.01 | Train Perf: 0.8749 | Eval Error: 0.0221 | Eval Perf: 0.7065
[25, 100] Train Error: 0.0099 | Train Perf: 0.8762 | Eval Error: 0.0217 | Eval Perf: 0.7084
[26, 100] Train Error: 0.0098 | Train Perf: 0.8784 | Eval Error: 0.0221 | Eval Perf: 0.7071
[27, 100] Train Error: 0.0095 | Train Perf: 0.8815 | Eval Error: 0.0222 | Eval Perf: 0.7044
[28, 100] Train Error: 0.0097 | Train Perf: 0.8798 | Eval Error: 0.0217 | Eval Perf: 0.7077
[29, 100] Train Error: 0.0094 | Train Perf: 0.8831 | Eval Error: 0.022 | Eval Perf: 0.7044
[30, 100] Train Error: 0.0094 | Train Perf: 0.8831 | Eval Error: 0.0238 | Eval Perf: 0.6995
[31, 100] Train Error: 0.0094 | Train Perf: 0.8837 | Eval Error: 0.0224 | Eval Perf: 0.6995
[32, 100] Train Error: 0.0092 | Train Perf: 0.8858 | Eval Error: 0.023 | Eval Perf: 0.6973
[33, 100] Train Error: 0.0093 | Train Perf: 0.885 | Eval Error: 0.0224 | Eval Perf: 0.7006
[34, 100] Train Error: 0.0092 | Train Perf: 0.8864 | Eval Error: 0.0224 | Eval Perf: 0.6996
[35, 100] Train Error: 0.0091 | Train Perf: 0.8868 | Eval Error: 0.0222 | Eval Perf: 0.7006
[36, 100] Train Error: 0.0092 | Train Perf: 0.886 | Eval Error: 0.0226 | Eval Perf: 0.6969
[37, 100] Train Error: 0.0091 | Train Perf: 0.8873 | Eval Error: 0.0231 | Eval Perf: 0.6928
[38, 100] Train Error: 0.009 | Train Perf: 0.8885 | Eval Error: 0.0232 | Eval Perf: 0.6938
[39, 100] Train Error: 0.0089 | Train Perf: 0.8897 | Eval Error: 0.0227 | Eval Perf: 0.7005
[40, 100] Train Error: 0.0089 | Train Perf: 0.8898 | Eval Error: 0.0224 | Eval Perf: 0.6992
[41, 100] Train Error: 0.0089 | Train Perf: 0.8897 | Eval Error: 0.0224 | Eval Perf: 0.6993
[42, 100] Train Error: 0.0088 | Train Perf: 0.8907 | Eval Error: 0.0229 | Eval Perf: 0.6958
[43, 100] Train Error: 0.0088 | Train Perf: 0.8912 | Eval Error: 0.0232 | Eval Perf: 0.6949
[44, 100] Train Error: 0.0088 | Train Perf: 0.8915 | Eval Error: 0.0231 | Eval Perf: 0.6948
[45, 100] Train Error: 0.0086 | Train Perf: 0.8937 | Eval Error: 0.0232 | Eval Perf: 0.6899
[46, 100] Train Error: 0.0087 | Train Perf: 0.8928 | Eval Error: 0.0242 | Eval Perf: 0.6864
[47, 100] Train Error: 0.0087 | Train Perf: 0.8929 | Eval Error: 0.0231 | Eval Perf: 0.6952
[48, 100] Train Error: 0.0086 | Train Perf: 0.8934 | Eval Error: 0.0229 | Eval Perf: 0.6941
[49, 100] Train Error: 0.0086 | Train Perf: 0.8938 | Eval Error: 0.023 | Eval Perf: 0.6917
[50, 100] Train Error: 0.0086 | Train Perf: 0.8936 | Eval Error: 0.0231 | Eval Perf: 0.6906
[51, 100] Train Error: 0.0086 | Train Perf: 0.8941 | Eval Error: 0.0236 | Eval Perf: 0.6865
[52, 100] Train Error: 0.0085 | Train Perf: 0.8944 | Eval Error: 0.0233 | Eval Perf: 0.6881
[53, 100] Train Error: 0.0084 | Train Perf: 0.896 | Eval Error: 0.0234 | Eval Perf: 0.6903
[54, 100] Train Error: 0.0084 | Train Perf: 0.897 | Eval Error: 0.0235 | Eval Perf: 0.6893
[55, 100] Train Error: 0.0084 | Train Perf: 0.8958 | Eval Error: 0.0236 | Eval Perf: 0.6828
[56, 100] Train Error: 0.0084 | Train Perf: 0.8968 | Eval Error: 0.0243 | Eval Perf: 0.6809
