NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0186 | Train Perf: 0.5314 | Eval Error: 0.0113 | Eval Perf: 0.7502
[2, 100] Train Error: 0.0104 | Train Perf: 0.7702 | Eval Error: 0.0098 | Eval Perf: 0.7801
[3, 100] Train Error: 0.0083 | Train Perf: 0.8198 | Eval Error: 0.0089 | Eval Perf: 0.7994
[4, 100] Train Error: 0.0074 | Train Perf: 0.8416 | Eval Error: 0.0093 | Eval Perf: 0.8066
[5, 100] Train Error: 0.0067 | Train Perf: 0.8574 | Eval Error: 0.0085 | Eval Perf: 0.8168
[6, 100] Train Error: 0.006 | Train Perf: 0.8727 | Eval Error: 0.0078 | Eval Perf: 0.8267
[7, 100] Train Error: 0.0059 | Train Perf: 0.876 | Eval Error: 0.0094 | Eval Perf: 0.8111
[8, 100] Train Error: 0.0057 | Train Perf: 0.8801 | Eval Error: 0.0084 | Eval Perf: 0.8175
[9, 100] Train Error: 0.0055 | Train Perf: 0.8843 | Eval Error: 0.0107 | Eval Perf: 0.8003
[10, 100] Train Error: 0.0054 | Train Perf: 0.8873 | Eval Error: 0.0084 | Eval Perf: 0.8206
[11, 100] Train Error: 0.0051 | Train Perf: 0.8925 | Eval Error: 0.0083 | Eval Perf: 0.8231
[12, 100] Train Error: 0.005 | Train Perf: 0.897 | Eval Error: 0.0085 | Eval Perf: 0.8108
[13, 100] Train Error: 0.0049 | Train Perf: 0.897 | Eval Error: 0.0078 | Eval Perf: 0.8296
[14, 100] Train Error: 0.0048 | Train Perf: 0.8999 | Eval Error: 0.0081 | Eval Perf: 0.8225
[15, 100] Train Error: 0.0047 | Train Perf: 0.902 | Eval Error: 0.0084 | Eval Perf: 0.8159
[16, 100] Train Error: 0.0045 | Train Perf: 0.9059 | Eval Error: 0.0081 | Eval Perf: 0.823
[17, 100] Train Error: 0.0045 | Train Perf: 0.9061 | Eval Error: 0.0079 | Eval Perf: 0.8253
[18, 100] Train Error: 0.0045 | Train Perf: 0.9069 | Eval Error: 0.0081 | Eval Perf: 0.8228
[19, 100] Train Error: 0.0044 | Train Perf: 0.9092 | Eval Error: 0.0081 | Eval Perf: 0.8267
[20, 100] Train Error: 0.0042 | Train Perf: 0.9135 | Eval Error: 0.0081 | Eval Perf: 0.8284
[21, 100] Train Error: 0.0043 | Train Perf: 0.9122 | Eval Error: 0.0081 | Eval Perf: 0.8212
[22, 100] Train Error: 0.0042 | Train Perf: 0.9132 | Eval Error: 0.0084 | Eval Perf: 0.8198
[23, 100] Train Error: 0.0042 | Train Perf: 0.9124 | Eval Error: 0.0081 | Eval Perf: 0.824
[24, 100] Train Error: 0.0041 | Train Perf: 0.9148 | Eval Error: 0.0082 | Eval Perf: 0.8211
[25, 100] Train Error: 0.0041 | Train Perf: 0.9162 | Eval Error: 0.0079 | Eval Perf: 0.8278
[26, 100] Train Error: 0.0041 | Train Perf: 0.9154 | Eval Error: 0.0082 | Eval Perf: 0.8204
[27, 100] Train Error: 0.004 | Train Perf: 0.918 | Eval Error: 0.0081 | Eval Perf: 0.8215
[28, 100] Train Error: 0.004 | Train Perf: 0.9174 | Eval Error: 0.0079 | Eval Perf: 0.8252
[29, 100] Train Error: 0.0039 | Train Perf: 0.9207 | Eval Error: 0.0079 | Eval Perf: 0.8257
[30, 100] Train Error: 0.0039 | Train Perf: 0.9199 | Eval Error: 0.0084 | Eval Perf: 0.8194
[31, 100] Train Error: 0.0039 | Train Perf: 0.9206 | Eval Error: 0.008 | Eval Perf: 0.8261
[32, 100] Train Error: 0.0038 | Train Perf: 0.9215 | Eval Error: 0.0087 | Eval Perf: 0.8113
[33, 100] Train Error: 0.0038 | Train Perf: 0.9227 | Eval Error: 0.0087 | Eval Perf: 0.8165
[34, 100] Train Error: 0.0038 | Train Perf: 0.922 | Eval Error: 0.0079 | Eval Perf: 0.827
[35, 100] Train Error: 0.0038 | Train Perf: 0.9219 | Eval Error: 0.0081 | Eval Perf: 0.8236
[36, 100] Train Error: 0.0037 | Train Perf: 0.9242 | Eval Error: 0.0083 | Eval Perf: 0.8182
[37, 100] Train Error: 0.0037 | Train Perf: 0.9244 | Eval Error: 0.0082 | Eval Perf: 0.8204
[38, 100] Train Error: 0.0037 | Train Perf: 0.9243 | Eval Error: 0.008 | Eval Perf: 0.8252
[39, 100] Train Error: 0.0037 | Train Perf: 0.9249 | Eval Error: 0.0081 | Eval Perf: 0.8221
[40, 100] Train Error: 0.0036 | Train Perf: 0.9258 | Eval Error: 0.0082 | Eval Perf: 0.8202
[41, 100] Train Error: 0.0036 | Train Perf: 0.9253 | Eval Error: 0.008 | Eval Perf: 0.8249
[42, 100] Train Error: 0.0036 | Train Perf: 0.9264 | Eval Error: 0.0083 | Eval Perf: 0.8169
[43, 100] Train Error: 0.0035 | Train Perf: 0.9274 | Eval Error: 0.0084 | Eval Perf: 0.817
[44, 100] Train Error: 0.0036 | Train Perf: 0.9269 | Eval Error: 0.0085 | Eval Perf: 0.8154
[45, 100] Train Error: 0.0035 | Train Perf: 0.928 | Eval Error: 0.0086 | Eval Perf: 0.8117
[46, 100] Train Error: 0.0035 | Train Perf: 0.9293 | Eval Error: 0.0083 | Eval Perf: 0.8192
[47, 100] Train Error: 0.0035 | Train Perf: 0.9293 | Eval Error: 0.0086 | Eval Perf: 0.8189
[48, 100] Train Error: 0.0034 | Train Perf: 0.9301 | Eval Error: 0.0084 | Eval Perf: 0.8159
[49, 100] Train Error: 0.0034 | Train Perf: 0.9307 | Eval Error: 0.0083 | Eval Perf: 0.8214
[50, 100] Train Error: 0.0035 | Train Perf: 0.9293 | Eval Error: 0.0084 | Eval Perf: 0.8188
[51, 100] Train Error: 0.0034 | Train Perf: 0.9307 | Eval Error: 0.0085 | Eval Perf: 0.8128
[52, 100] Train Error: 0.0034 | Train Perf: 0.9302 | Eval Error: 0.0084 | Eval Perf: 0.8154
[53, 100] Train Error: 0.0034 | Train Perf: 0.9314 | Eval Error: 0.0085 | Eval Perf: 0.8127
[54, 100] Train Error: 0.0033 | Train Perf: 0.9316 | Eval Error: 0.0089 | Eval Perf: 0.8091
[55, 100] Train Error: 0.0034 | Train Perf: 0.9315 | Eval Error: 0.0087 | Eval Perf: 0.808
[56, 100] Train Error: 0.0033 | Train Perf: 0.9331 | Eval Error: 0.0087 | Eval Perf: 0.8093
[57, 100] Train Error: 0.0032 | Train Perf: 0.9341 | Eval Error: 0.0086 | Eval Perf: 0.8112
[58, 100] Train Error: 0.0032 | Train Perf: 0.9337 | Eval Error: 0.0088 | Eval Perf: 0.8094
[59, 100] Train Error: 0.0032 | Train Perf: 0.9339 | Eval Error: 0.0086 | Eval Perf: 0.8121
[60, 100] Train Error: 0.0032 | Train Perf: 0.9343 | Eval Error: 0.0091 | Eval Perf: 0.8017
[61, 100] Train Error: 0.0032 | Train Perf: 0.9343 | Eval Error: 0.0087 | Eval Perf: 0.8085
[62, 100] Train Error: 0.0032 | Train Perf: 0.9355 | Eval Error: 0.0091 | Eval Perf: 0.7976
[63, 100] Train Error: 0.0032 | Train Perf: 0.9342 | Eval Error: 0.0089 | Eval Perf: 0.8065
[64, 100] Train Error: 0.0031 | Train Perf: 0.9361 | Eval Error: 0.0088 | Eval Perf: 0.8066
[65, 100] Train Error: 0.0032 | Train Perf: 0.9354 | Eval Error: 0.009 | Eval Perf: 0.8017
[66, 100] Train Error: 0.0031 | Train Perf: 0.9359 | Eval Error: 0.0089 | Eval Perf: 0.8048
[67, 100] Train Error: 0.0031 | Train Perf: 0.9372 | Eval Error: 0.009 | Eval Perf: 0.8019
[68, 100] Train Error: 0.0031 | Train Perf: 0.9372 | Eval Error: 0.0087 | Eval Perf: 0.8095
[69, 100] Train Error: 0.0031 | Train Perf: 0.9367 | Eval Error: 0.0091 | Eval Perf: 0.8015
[70, 100] Train Error: 0.0031 | Train Perf: 0.9373 | Eval Error: 0.0093 | Eval Perf: 0.7971
[71, 100] Train Error: 0.0031 | Train Perf: 0.9373 | Eval Error: 0.0092 | Eval Perf: 0.7983
[72, 100] Train Error: 0.003 | Train Perf: 0.9387 | Eval Error: 0.0092 | Eval Perf: 0.8006
[73, 100] Train Error: 0.003 | Train Perf: 0.9381 | Eval Error: 0.0095 | Eval Perf: 0.7936
[74, 100] Train Error: 0.003 | Train Perf: 0.9392 | Eval Error: 0.0091 | Eval Perf: 0.7993
[75, 100] Train Error: 0.003 | Train Perf: 0.939 | Eval Error: 0.0092 | Eval Perf: 0.8001
[76, 100] Train Error: 0.003 | Train Perf: 0.9381 | Eval Error: 0.0094 | Eval Perf: 0.793
[77, 100] Train Error: 0.003 | Train Perf: 0.9394 | Eval Error: 0.0094 | Eval Perf: 0.7936
[78, 100] Train Error: 0.003 | Train Perf: 0.9396 | Eval Error: 0.0096 | Eval Perf: 0.7888
[79, 100] Train Error: 0.003 | Train Perf: 0.9395 | Eval Error: 0.0092 | Eval Perf: 0.7967
[80, 100] Train Error: 0.003 | Train Perf: 0.9393 | Eval Error: 0.0096 | Eval Perf: 0.7901
[81, 100] Train Error: 0.0029 | Train Perf: 0.9401 | Eval Error: 0.0093 | Eval Perf: 0.7953
[82, 100] Train Error: 0.003 | Train Perf: 0.9399 | Eval Error: 0.0093 | Eval Perf: 0.7951
[83, 100] Train Error: 0.003 | Train Perf: 0.9399 | Eval Error: 0.0094 | Eval Perf: 0.7926
[84, 100] Train Error: 0.0029 | Train Perf: 0.9407 | Eval Error: 0.0097 | Eval Perf: 0.788
[85, 100] Train Error: 0.0029 | Train Perf: 0.9407 | Eval Error: 0.0096 | Eval Perf: 0.7894
[86, 100] Train Error: 0.0029 | Train Perf: 0.9406 | Eval Error: 0.0096 | Eval Perf: 0.7886
[87, 100] Train Error: 0.0029 | Train Perf: 0.9408 | Eval Error: 0.0096 | Eval Perf: 0.7873
[88, 100] Train Error: 0.0029 | Train Perf: 0.9414 | Eval Error: 0.0097 | Eval Perf: 0.7859
[89, 100] Train Error: 0.0029 | Train Perf: 0.9413 | Eval Error: 0.0099 | Eval Perf: 0.7819
[90, 100] Train Error: 0.0029 | Train Perf: 0.9416 | Eval Error: 0.0096 | Eval Perf: 0.7913
[91, 100] Train Error: 0.0029 | Train Perf: 0.9418 | Eval Error: 0.0095 | Eval Perf: 0.7911
[92, 100] Train Error: 0.0028 | Train Perf: 0.9421 | Eval Error: 0.0099 | Eval Perf: 0.7832
[93, 100] Train Error: 0.0029 | Train Perf: 0.9417 | Eval Error: 0.0099 | Eval Perf: 0.7833
[94, 100] Train Error: 0.0028 | Train Perf: 0.9426 | Eval Error: 0.01 | Eval Perf: 0.7806
[95, 100] Train Error: 0.0028 | Train Perf: 0.9424 | Eval Error: 0.0098 | Eval Perf: 0.784
[96, 100] Train Error: 0.0028 | Train Perf: 0.9425 | Eval Error: 0.0097 | Eval Perf: 0.7874
[97, 100] Train Error: 0.0028 | Train Perf: 0.9436 | Eval Error: 0.01 | Eval Perf: 0.7852
[98, 100] Train Error: 0.0028 | Train Perf: 0.9429 | Eval Error: 0.0098 | Eval Perf: 0.7849
