NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[56, 100] Train Error: 0.0009 | Train Perf: 0.9675 | Eval Error: 0.0049 | Eval Perf: 0.8089
[57, 100] Train Error: 0.0009 | Train Perf: 0.9677 | Eval Error: 0.0048 | Eval Perf: 0.8128
[58, 100] Train Error: 0.0009 | Train Perf: 0.9684 | Eval Error: 0.0047 | Eval Perf: 0.8142
[59, 100] Train Error: 0.0009 | Train Perf: 0.9692 | Eval Error: 0.0049 | Eval Perf: 0.8028
[60, 100] Train Error: 0.0009 | Train Perf: 0.9693 | Eval Error: 0.0051 | Eval Perf: 0.799
[61, 100] Train Error: 0.0009 | Train Perf: 0.9687 | Eval Error: 0.0047 | Eval Perf: 0.8135
[62, 100] Train Error: 0.0008 | Train Perf: 0.9696 | Eval Error: 0.0047 | Eval Perf: 0.8126
[63, 100] Train Error: 0.0008 | Train Perf: 0.9695 | Eval Error: 0.0051 | Eval Perf: 0.7967
[64, 100] Train Error: 0.0008 | Train Perf: 0.9699 | Eval Error: 0.0052 | Eval Perf: 0.7948
[65, 100] Train Error: 0.0008 | Train Perf: 0.9697 | Eval Error: 0.0051 | Eval Perf: 0.7984
[66, 100] Train Error: 0.0008 | Train Perf: 0.97 | Eval Error: 0.0048 | Eval Perf: 0.81
[67, 100] Train Error: 0.0008 | Train Perf: 0.9705 | Eval Error: 0.005 | Eval Perf: 0.802
[68, 100] Train Error: 0.0008 | Train Perf: 0.9707 | Eval Error: 0.0054 | Eval Perf: 0.7935
[69, 100] Train Error: 0.0008 | Train Perf: 0.9708 | Eval Error: 0.0051 | Eval Perf: 0.7952
[70, 100] Train Error: 0.0008 | Train Perf: 0.9708 | Eval Error: 0.005 | Eval Perf: 0.8
[71, 100] Train Error: 0.0008 | Train Perf: 0.9711 | Eval Error: 0.0051 | Eval Perf: 0.7972
[72, 100] Train Error: 0.0008 | Train Perf: 0.9714 | Eval Error: 0.0049 | Eval Perf: 0.8017
[73, 100] Train Error: 0.0008 | Train Perf: 0.971 | Eval Error: 0.0051 | Eval Perf: 0.796
[74, 100] Train Error: 0.0008 | Train Perf: 0.9713 | Eval Error: 0.0049 | Eval Perf: 0.8052
[75, 100] Train Error: 0.0008 | Train Perf: 0.9715 | Eval Error: 0.0051 | Eval Perf: 0.7966
[76, 100] Train Error: 0.0008 | Train Perf: 0.972 | Eval Error: 0.005 | Eval Perf: 0.8059
[77, 100] Train Error: 0.0008 | Train Perf: 0.9721 | Eval Error: 0.0049 | Eval Perf: 0.8038
[78, 100] Train Error: 0.0008 | Train Perf: 0.9723 | Eval Error: 0.0048 | Eval Perf: 0.8094
[79, 100] Train Error: 0.0008 | Train Perf: 0.972 | Eval Error: 0.005 | Eval Perf: 0.7997
[80, 100] Train Error: 0.0008 | Train Perf: 0.9724 | Eval Error: 0.005 | Eval Perf: 0.8018
[81, 100] Train Error: 0.0008 | Train Perf: 0.9725 | Eval Error: 0.0051 | Eval Perf: 0.7965
[82, 100] Train Error: 0.0008 | Train Perf: 0.9728 | Eval Error: 0.0051 | Eval Perf: 0.7975
[83, 100] Train Error: 0.0008 | Train Perf: 0.9726 | Eval Error: 0.0053 | Eval Perf: 0.7933
[84, 100] Train Error: 0.0007 | Train Perf: 0.9731 | Eval Error: 0.0051 | Eval Perf: 0.7971
[85, 100] Train Error: 0.0008 | Train Perf: 0.9727 | Eval Error: 0.0051 | Eval Perf: 0.797
[86, 100] Train Error: 0.0008 | Train Perf: 0.9727 | Eval Error: 0.0052 | Eval Perf: 0.7955
[87, 100] Train Error: 0.0008 | Train Perf: 0.9728 | Eval Error: 0.0052 | Eval Perf: 0.7954
[88, 100] Train Error: 0.0007 | Train Perf: 0.9737 | Eval Error: 0.005 | Eval Perf: 0.7989
[89, 100] Train Error: 0.0007 | Train Perf: 0.9732 | Eval Error: 0.005 | Eval Perf: 0.7983
[90, 100] Train Error: 0.0007 | Train Perf: 0.9734 | Eval Error: 0.0052 | Eval Perf: 0.7958
[91, 100] Train Error: 0.0007 | Train Perf: 0.9734 | Eval Error: 0.0052 | Eval Perf: 0.7951
[92, 100] Train Error: 0.0007 | Train Perf: 0.9734 | Eval Error: 0.0051 | Eval Perf: 0.7996
[93, 100] Train Error: 0.0007 | Train Perf: 0.9735 | Eval Error: 0.0051 | Eval Perf: 0.7977
[94, 100] Train Error: 0.0007 | Train Perf: 0.9737 | Eval Error: 0.0053 | Eval Perf: 0.795
[95, 100] Train Error: 0.0007 | Train Perf: 0.9738 | Eval Error: 0.0054 | Eval Perf: 0.789
[96, 100] Train Error: 0.0007 | Train Perf: 0.9737 | Eval Error: 0.0052 | Eval Perf: 0.7932
[97, 100] Train Error: 0.0007 | Train Perf: 0.9739 | Eval Error: 0.0051 | Eval Perf: 0.7967
[98, 100] Train Error: 0.0007 | Train Perf: 0.9741 | Eval Error: 0.005 | Eval Perf: 0.7988
[99, 100] Train Error: 0.0007 | Train Perf: 0.9741 | Eval Error: 0.0053 | Eval Perf: 0.7927
[100, 100] Train Error: 0.0007 | Train Perf: 0.9741 | Eval Error: 0.0052 | Eval Perf: 0.7959
