NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[56, 100] Train Error: 0.0007 | Train Perf: 0.9868 | Eval Error: 0.0251 | Eval Perf: 0.4471
[57, 100] Train Error: 0.0007 | Train Perf: 0.9869 | Eval Error: 0.0252 | Eval Perf: 0.445
[58, 100] Train Error: 0.0007 | Train Perf: 0.9871 | Eval Error: 0.0253 | Eval Perf: 0.4432
[59, 100] Train Error: 0.0007 | Train Perf: 0.9874 | Eval Error: 0.0254 | Eval Perf: 0.4424
[60, 100] Train Error: 0.0007 | Train Perf: 0.9876 | Eval Error: 0.0254 | Eval Perf: 0.4416
[61, 100] Train Error: 0.0007 | Train Perf: 0.9878 | Eval Error: 0.0254 | Eval Perf: 0.4413
[62, 100] Train Error: 0.0007 | Train Perf: 0.988 | Eval Error: 0.0254 | Eval Perf: 0.4401
[63, 100] Train Error: 0.0007 | Train Perf: 0.9882 | Eval Error: 0.0255 | Eval Perf: 0.4392
[64, 100] Train Error: 0.0007 | Train Perf: 0.9882 | Eval Error: 0.0257 | Eval Perf: 0.4378
[65, 100] Train Error: 0.0007 | Train Perf: 0.9884 | Eval Error: 0.0257 | Eval Perf: 0.4359
[66, 100] Train Error: 0.0006 | Train Perf: 0.9886 | Eval Error: 0.0258 | Eval Perf: 0.4345
[67, 100] Train Error: 0.0006 | Train Perf: 0.9887 | Eval Error: 0.0259 | Eval Perf: 0.4345
[68, 100] Train Error: 0.0006 | Train Perf: 0.9889 | Eval Error: 0.0258 | Eval Perf: 0.4344
[69, 100] Train Error: 0.0006 | Train Perf: 0.9891 | Eval Error: 0.0258 | Eval Perf: 0.4333
[70, 100] Train Error: 0.0006 | Train Perf: 0.9891 | Eval Error: 0.0259 | Eval Perf: 0.4325
[71, 100] Train Error: 0.0006 | Train Perf: 0.9892 | Eval Error: 0.0259 | Eval Perf: 0.4317
[72, 100] Train Error: 0.0006 | Train Perf: 0.9894 | Eval Error: 0.0259 | Eval Perf: 0.4312
[73, 100] Train Error: 0.0006 | Train Perf: 0.9895 | Eval Error: 0.026 | Eval Perf: 0.4298
[74, 100] Train Error: 0.0006 | Train Perf: 0.9898 | Eval Error: 0.0261 | Eval Perf: 0.4284
[75, 100] Train Error: 0.0006 | Train Perf: 0.9899 | Eval Error: 0.026 | Eval Perf: 0.4294
[76, 100] Train Error: 0.0006 | Train Perf: 0.9897 | Eval Error: 0.0261 | Eval Perf: 0.4275
[77, 100] Train Error: 0.0006 | Train Perf: 0.9899 | Eval Error: 0.0261 | Eval Perf: 0.4284
[78, 100] Train Error: 0.0006 | Train Perf: 0.9901 | Eval Error: 0.0261 | Eval Perf: 0.4276
[79, 100] Train Error: 0.0006 | Train Perf: 0.9902 | Eval Error: 0.0261 | Eval Perf: 0.4265
[80, 100] Train Error: 0.0005 | Train Perf: 0.9905 | Eval Error: 0.0262 | Eval Perf: 0.4261
[81, 100] Train Error: 0.0005 | Train Perf: 0.9903 | Eval Error: 0.0263 | Eval Perf: 0.4253
[82, 100] Train Error: 0.0005 | Train Perf: 0.9905 | Eval Error: 0.0262 | Eval Perf: 0.4245
[83, 100] Train Error: 0.0005 | Train Perf: 0.9905 | Eval Error: 0.0263 | Eval Perf: 0.424
[84, 100] Train Error: 0.0005 | Train Perf: 0.9906 | Eval Error: 0.0263 | Eval Perf: 0.4243
[85, 100] Train Error: 0.0005 | Train Perf: 0.9907 | Eval Error: 0.0262 | Eval Perf: 0.4246
[86, 100] Train Error: 0.0005 | Train Perf: 0.9909 | Eval Error: 0.0263 | Eval Perf: 0.4231
[87, 100] Train Error: 0.0005 | Train Perf: 0.9908 | Eval Error: 0.0264 | Eval Perf: 0.4227
[88, 100] Train Error: 0.0005 | Train Perf: 0.9909 | Eval Error: 0.0263 | Eval Perf: 0.4228
[89, 100] Train Error: 0.0005 | Train Perf: 0.991 | Eval Error: 0.0264 | Eval Perf: 0.4213
[90, 100] Train Error: 0.0005 | Train Perf: 0.9911 | Eval Error: 0.0264 | Eval Perf: 0.4212
[91, 100] Train Error: 0.0005 | Train Perf: 0.9911 | Eval Error: 0.0264 | Eval Perf: 0.4207
[92, 100] Train Error: 0.0005 | Train Perf: 0.9913 | Eval Error: 0.0265 | Eval Perf: 0.4197
[93, 100] Train Error: 0.0005 | Train Perf: 0.9913 | Eval Error: 0.0266 | Eval Perf: 0.4193
[94, 100] Train Error: 0.0005 | Train Perf: 0.9913 | Eval Error: 0.0266 | Eval Perf: 0.419
[95, 100] Train Error: 0.0005 | Train Perf: 0.9915 | Eval Error: 0.0266 | Eval Perf: 0.4183
[96, 100] Train Error: 0.0005 | Train Perf: 0.9915 | Eval Error: 0.0266 | Eval Perf: 0.4181
[97, 100] Train Error: 0.0005 | Train Perf: 0.9916 | Eval Error: 0.0266 | Eval Perf: 0.4176
[98, 100] Train Error: 0.0005 | Train Perf: 0.9918 | Eval Error: 0.0265 | Eval Perf: 0.4178
[99, 100] Train Error: 0.0005 | Train Perf: 0.9917 | Eval Error: 0.0266 | Eval Perf: 0.4172
[100, 100] Train Error: 0.0005 | Train Perf: 0.9918 | Eval Error: 0.0267 | Eval Perf: 0.4166
