NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[56, 100] Train Error: 0.008 | Train Perf: 0.8644 | Eval Error: 0.0111 | Eval Perf: 0.8079
[57, 100] Train Error: 0.008 | Train Perf: 0.8642 | Eval Error: 0.011 | Eval Perf: 0.8109
[58, 100] Train Error: 0.0079 | Train Perf: 0.8658 | Eval Error: 0.0113 | Eval Perf: 0.8056
[59, 100] Train Error: 0.008 | Train Perf: 0.8647 | Eval Error: 0.0111 | Eval Perf: 0.8124
[60, 100] Train Error: 0.008 | Train Perf: 0.8651 | Eval Error: 0.0111 | Eval Perf: 0.8134
[61, 100] Train Error: 0.0079 | Train Perf: 0.866 | Eval Error: 0.0115 | Eval Perf: 0.8024
[62, 100] Train Error: 0.008 | Train Perf: 0.8651 | Eval Error: 0.0111 | Eval Perf: 0.811
[63, 100] Train Error: 0.008 | Train Perf: 0.8654 | Eval Error: 0.0112 | Eval Perf: 0.8063
[64, 100] Train Error: 0.0079 | Train Perf: 0.8673 | Eval Error: 0.0112 | Eval Perf: 0.8068
[65, 100] Train Error: 0.0079 | Train Perf: 0.8666 | Eval Error: 0.0113 | Eval Perf: 0.8045
[66, 100] Train Error: 0.0078 | Train Perf: 0.8676 | Eval Error: 0.0117 | Eval Perf: 0.8014
[67, 100] Train Error: 0.0079 | Train Perf: 0.8675 | Eval Error: 0.0114 | Eval Perf: 0.8035
[68, 100] Train Error: 0.0079 | Train Perf: 0.867 | Eval Error: 0.0111 | Eval Perf: 0.8095
[69, 100] Train Error: 0.0078 | Train Perf: 0.8682 | Eval Error: 0.0111 | Eval Perf: 0.8084
[70, 100] Train Error: 0.0077 | Train Perf: 0.87 | Eval Error: 0.0113 | Eval Perf: 0.8079
[71, 100] Train Error: 0.0078 | Train Perf: 0.8688 | Eval Error: 0.0116 | Eval Perf: 0.803
[72, 100] Train Error: 0.0078 | Train Perf: 0.8686 | Eval Error: 0.0114 | Eval Perf: 0.8037
[73, 100] Train Error: 0.0077 | Train Perf: 0.8695 | Eval Error: 0.0112 | Eval Perf: 0.8085
[74, 100] Train Error: 0.0078 | Train Perf: 0.8688 | Eval Error: 0.0111 | Eval Perf: 0.8079
[75, 100] Train Error: 0.0077 | Train Perf: 0.8693 | Eval Error: 0.0112 | Eval Perf: 0.8078
[76, 100] Train Error: 0.0077 | Train Perf: 0.8698 | Eval Error: 0.0113 | Eval Perf: 0.8112
[77, 100] Train Error: 0.0077 | Train Perf: 0.8697 | Eval Error: 0.0114 | Eval Perf: 0.8037
[78, 100] Train Error: 0.0077 | Train Perf: 0.8694 | Eval Error: 0.0111 | Eval Perf: 0.8099
[79, 100] Train Error: 0.0077 | Train Perf: 0.8695 | Eval Error: 0.011 | Eval Perf: 0.8105
[80, 100] Train Error: 0.0077 | Train Perf: 0.8705 | Eval Error: 0.0112 | Eval Perf: 0.8079
[81, 100] Train Error: 0.0077 | Train Perf: 0.8701 | Eval Error: 0.0112 | Eval Perf: 0.8081
[82, 100] Train Error: 0.0077 | Train Perf: 0.8704 | Eval Error: 0.0115 | Eval Perf: 0.8057
[83, 100] Train Error: 0.0077 | Train Perf: 0.8702 | Eval Error: 0.0109 | Eval Perf: 0.8131
[84, 100] Train Error: 0.0077 | Train Perf: 0.8709 | Eval Error: 0.0112 | Eval Perf: 0.8091
[85, 100] Train Error: 0.0076 | Train Perf: 0.8713 | Eval Error: 0.0113 | Eval Perf: 0.8065
[86, 100] Train Error: 0.0076 | Train Perf: 0.872 | Eval Error: 0.0112 | Eval Perf: 0.806
[87, 100] Train Error: 0.0076 | Train Perf: 0.8725 | Eval Error: 0.0113 | Eval Perf: 0.8038
[88, 100] Train Error: 0.0076 | Train Perf: 0.8719 | Eval Error: 0.0112 | Eval Perf: 0.8069
[89, 100] Train Error: 0.0075 | Train Perf: 0.8738 | Eval Error: 0.0113 | Eval Perf: 0.8102
[90, 100] Train Error: 0.0075 | Train Perf: 0.8737 | Eval Error: 0.0111 | Eval Perf: 0.8099
[91, 100] Train Error: 0.0076 | Train Perf: 0.8718 | Eval Error: 0.0113 | Eval Perf: 0.8112
[92, 100] Train Error: 0.0075 | Train Perf: 0.8731 | Eval Error: 0.0112 | Eval Perf: 0.8099
[93, 100] Train Error: 0.0076 | Train Perf: 0.8727 | Eval Error: 0.0113 | Eval Perf: 0.8064
[94, 100] Train Error: 0.0075 | Train Perf: 0.8737 | Eval Error: 0.0116 | Eval Perf: 0.8058
[95, 100] Train Error: 0.0075 | Train Perf: 0.8731 | Eval Error: 0.0112 | Eval Perf: 0.8071
[96, 100] Train Error: 0.0074 | Train Perf: 0.875 | Eval Error: 0.0111 | Eval Perf: 0.8102
[97, 100] Train Error: 0.0075 | Train Perf: 0.8734 | Eval Error: 0.0113 | Eval Perf: 0.807
[98, 100] Train Error: 0.0075 | Train Perf: 0.8741 | Eval Error: 0.011 | Eval Perf: 0.8121
[99, 100] Train Error: 0.0075 | Train Perf: 0.8734 | Eval Error: 0.0113 | Eval Perf: 0.8063
[100, 100] Train Error: 0.0075 | Train Perf: 0.8735 | Eval Error: 0.0111 | Eval Perf: 0.8094
