NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0304 | Train Perf: 0.2121 | Eval Error: 0.0255 | Eval Perf: 0.5678
[2, 100] Train Error: 0.0228 | Train Perf: 0.579 | Eval Error: 0.021 | Eval Perf: 0.6191
[3, 100] Train Error: 0.0193 | Train Perf: 0.6487 | Eval Error: 0.0183 | Eval Perf: 0.6745
[4, 100] Train Error: 0.0168 | Train Perf: 0.6993 | Eval Error: 0.0164 | Eval Perf: 0.7202
[5, 100] Train Error: 0.015 | Train Perf: 0.7349 | Eval Error: 0.0151 | Eval Perf: 0.7458
[6, 100] Train Error: 0.0136 | Train Perf: 0.7643 | Eval Error: 0.0138 | Eval Perf: 0.7607
[7, 100] Train Error: 0.0126 | Train Perf: 0.7811 | Eval Error: 0.0133 | Eval Perf: 0.7673
[8, 100] Train Error: 0.0119 | Train Perf: 0.792 | Eval Error: 0.0128 | Eval Perf: 0.7797
[9, 100] Train Error: 0.0113 | Train Perf: 0.8035 | Eval Error: 0.0124 | Eval Perf: 0.7842
[10, 100] Train Error: 0.011 | Train Perf: 0.8087 | Eval Error: 0.0121 | Eval Perf: 0.79
[11, 100] Train Error: 0.0107 | Train Perf: 0.8135 | Eval Error: 0.0121 | Eval Perf: 0.7992
[12, 100] Train Error: 0.0103 | Train Perf: 0.8223 | Eval Error: 0.0115 | Eval Perf: 0.802
[13, 100] Train Error: 0.0104 | Train Perf: 0.8203 | Eval Error: 0.0115 | Eval Perf: 0.8039
[14, 100] Train Error: 0.0101 | Train Perf: 0.8248 | Eval Error: 0.0114 | Eval Perf: 0.8034
[15, 100] Train Error: 0.01 | Train Perf: 0.8264 | Eval Error: 0.0111 | Eval Perf: 0.8092
[16, 100] Train Error: 0.01 | Train Perf: 0.828 | Eval Error: 0.0111 | Eval Perf: 0.8092
[17, 100] Train Error: 0.0097 | Train Perf: 0.8327 | Eval Error: 0.0116 | Eval Perf: 0.7991
[18, 100] Train Error: 0.0097 | Train Perf: 0.8328 | Eval Error: 0.0111 | Eval Perf: 0.809
[19, 100] Train Error: 0.0095 | Train Perf: 0.8361 | Eval Error: 0.0113 | Eval Perf: 0.8088
[20, 100] Train Error: 0.0094 | Train Perf: 0.8377 | Eval Error: 0.0112 | Eval Perf: 0.809
[21, 100] Train Error: 0.0095 | Train Perf: 0.8375 | Eval Error: 0.0116 | Eval Perf: 0.8105
[22, 100] Train Error: 0.0093 | Train Perf: 0.8405 | Eval Error: 0.0113 | Eval Perf: 0.8043
[23, 100] Train Error: 0.0092 | Train Perf: 0.8424 | Eval Error: 0.0119 | Eval Perf: 0.8075
[24, 100] Train Error: 0.0092 | Train Perf: 0.8432 | Eval Error: 0.0108 | Eval Perf: 0.8135
[25, 100] Train Error: 0.009 | Train Perf: 0.8451 | Eval Error: 0.0108 | Eval Perf: 0.8158
[26, 100] Train Error: 0.0091 | Train Perf: 0.845 | Eval Error: 0.0106 | Eval Perf: 0.8168
[27, 100] Train Error: 0.0089 | Train Perf: 0.8476 | Eval Error: 0.011 | Eval Perf: 0.8107
[28, 100] Train Error: 0.0089 | Train Perf: 0.848 | Eval Error: 0.0108 | Eval Perf: 0.8151
[29, 100] Train Error: 0.0088 | Train Perf: 0.8503 | Eval Error: 0.0105 | Eval Perf: 0.818
[30, 100] Train Error: 0.0087 | Train Perf: 0.8514 | Eval Error: 0.0107 | Eval Perf: 0.8168
[31, 100] Train Error: 0.0087 | Train Perf: 0.8513 | Eval Error: 0.0107 | Eval Perf: 0.8157
[32, 100] Train Error: 0.0086 | Train Perf: 0.8541 | Eval Error: 0.011 | Eval Perf: 0.8105
[33, 100] Train Error: 0.0086 | Train Perf: 0.8542 | Eval Error: 0.0111 | Eval Perf: 0.812
[34, 100] Train Error: 0.0085 | Train Perf: 0.8553 | Eval Error: 0.0108 | Eval Perf: 0.8186
[35, 100] Train Error: 0.0084 | Train Perf: 0.857 | Eval Error: 0.0112 | Eval Perf: 0.8126
[36, 100] Train Error: 0.0084 | Train Perf: 0.8563 | Eval Error: 0.0109 | Eval Perf: 0.8115
[37, 100] Train Error: 0.0084 | Train Perf: 0.8575 | Eval Error: 0.0108 | Eval Perf: 0.8146
[38, 100] Train Error: 0.0084 | Train Perf: 0.8576 | Eval Error: 0.0106 | Eval Perf: 0.8173
[39, 100] Train Error: 0.0083 | Train Perf: 0.8593 | Eval Error: 0.0108 | Eval Perf: 0.813
[40, 100] Train Error: 0.0083 | Train Perf: 0.8596 | Eval Error: 0.0106 | Eval Perf: 0.8177
[41, 100] Train Error: 0.0082 | Train Perf: 0.8615 | Eval Error: 0.0111 | Eval Perf: 0.8107
[42, 100] Train Error: 0.0082 | Train Perf: 0.8609 | Eval Error: 0.0111 | Eval Perf: 0.8106
[43, 100] Train Error: 0.0081 | Train Perf: 0.8623 | Eval Error: 0.0108 | Eval Perf: 0.813
[44, 100] Train Error: 0.008 | Train Perf: 0.8644 | Eval Error: 0.0106 | Eval Perf: 0.8173
[45, 100] Train Error: 0.0081 | Train Perf: 0.8631 | Eval Error: 0.0111 | Eval Perf: 0.8099
[46, 100] Train Error: 0.0081 | Train Perf: 0.8621 | Eval Error: 0.0107 | Eval Perf: 0.814
[47, 100] Train Error: 0.008 | Train Perf: 0.8643 | Eval Error: 0.0119 | Eval Perf: 0.807
[48, 100] Train Error: 0.0081 | Train Perf: 0.8632 | Eval Error: 0.0109 | Eval Perf: 0.8117
[49, 100] Train Error: 0.008 | Train Perf: 0.8644 | Eval Error: 0.0108 | Eval Perf: 0.8145
[50, 100] Train Error: 0.008 | Train Perf: 0.8648 | Eval Error: 0.011 | Eval Perf: 0.8101
[51, 100] Train Error: 0.008 | Train Perf: 0.8654 | Eval Error: 0.0108 | Eval Perf: 0.8154
[52, 100] Train Error: 0.0079 | Train Perf: 0.8671 | Eval Error: 0.0113 | Eval Perf: 0.807
[53, 100] Train Error: 0.008 | Train Perf: 0.8645 | Eval Error: 0.0107 | Eval Perf: 0.8149
[54, 100] Train Error: 0.0078 | Train Perf: 0.8678 | Eval Error: 0.0114 | Eval Perf: 0.8124
[55, 100] Train Error: 0.0079 | Train Perf: 0.8672 | Eval Error: 0.011 | Eval Perf: 0.8102
[56, 100] Train Error: 0.0078 | Train Perf: 0.8675 | Eval Error: 0.0109 | Eval Perf: 0.8107
[57, 100] Train Error: 0.0079 | Train Perf: 0.8672 | Eval Error: 0.0109 | Eval Perf: 0.8119
[58, 100] Train Error: 0.0077 | Train Perf: 0.8698 | Eval Error: 0.0116 | Eval Perf: 0.8048
[59, 100] Train Error: 0.0078 | Train Perf: 0.8683 | Eval Error: 0.0108 | Eval Perf: 0.8128
[60, 100] Train Error: 0.0078 | Train Perf: 0.8687 | Eval Error: 0.0108 | Eval Perf: 0.8133
[61, 100] Train Error: 0.0077 | Train Perf: 0.8697 | Eval Error: 0.011 | Eval Perf: 0.8096
[62, 100] Train Error: 0.0078 | Train Perf: 0.8691 | Eval Error: 0.0113 | Eval Perf: 0.8078
[63, 100] Train Error: 0.0077 | Train Perf: 0.8699 | Eval Error: 0.011 | Eval Perf: 0.8107
[64, 100] Train Error: 0.0077 | Train Perf: 0.8702 | Eval Error: 0.0108 | Eval Perf: 0.8135
[65, 100] Train Error: 0.0077 | Train Perf: 0.8699 | Eval Error: 0.0108 | Eval Perf: 0.8125
[66, 100] Train Error: 0.0076 | Train Perf: 0.8712 | Eval Error: 0.0113 | Eval Perf: 0.8064
[67, 100] Train Error: 0.0077 | Train Perf: 0.8704 | Eval Error: 0.0113 | Eval Perf: 0.8049
[68, 100] Train Error: 0.0077 | Train Perf: 0.8705 | Eval Error: 0.0109 | Eval Perf: 0.8112
[69, 100] Train Error: 0.0077 | Train Perf: 0.8709 | Eval Error: 0.0112 | Eval Perf: 0.8078
[70, 100] Train Error: 0.0075 | Train Perf: 0.8734 | Eval Error: 0.0108 | Eval Perf: 0.8132
[71, 100] Train Error: 0.0076 | Train Perf: 0.8722 | Eval Error: 0.0111 | Eval Perf: 0.812
[72, 100] Train Error: 0.0076 | Train Perf: 0.8728 | Eval Error: 0.0109 | Eval Perf: 0.8109
[73, 100] Train Error: 0.0075 | Train Perf: 0.8731 | Eval Error: 0.0111 | Eval Perf: 0.8098
[74, 100] Train Error: 0.0076 | Train Perf: 0.8723 | Eval Error: 0.0112 | Eval Perf: 0.807
[75, 100] Train Error: 0.0075 | Train Perf: 0.8735 | Eval Error: 0.0111 | Eval Perf: 0.8089
[76, 100] Train Error: 0.0075 | Train Perf: 0.8736 | Eval Error: 0.0111 | Eval Perf: 0.8093
[77, 100] Train Error: 0.0074 | Train Perf: 0.8748 | Eval Error: 0.0113 | Eval Perf: 0.8059
[78, 100] Train Error: 0.0075 | Train Perf: 0.8739 | Eval Error: 0.0114 | Eval Perf: 0.8061
[79, 100] Train Error: 0.0075 | Train Perf: 0.8736 | Eval Error: 0.0113 | Eval Perf: 0.8051
[80, 100] Train Error: 0.0075 | Train Perf: 0.8745 | Eval Error: 0.0109 | Eval Perf: 0.8118
[81, 100] Train Error: 0.0074 | Train Perf: 0.8751 | Eval Error: 0.011 | Eval Perf: 0.8099
[82, 100] Train Error: 0.0075 | Train Perf: 0.8737 | Eval Error: 0.0111 | Eval Perf: 0.8089
[83, 100] Train Error: 0.0074 | Train Perf: 0.8746 | Eval Error: 0.0111 | Eval Perf: 0.809
[84, 100] Train Error: 0.0074 | Train Perf: 0.8748 | Eval Error: 0.011 | Eval Perf: 0.8109
[85, 100] Train Error: 0.0074 | Train Perf: 0.875 | Eval Error: 0.0112 | Eval Perf: 0.8069
[86, 100] Train Error: 0.0074 | Train Perf: 0.8754 | Eval Error: 0.0113 | Eval Perf: 0.8085
[87, 100] Train Error: 0.0074 | Train Perf: 0.8758 | Eval Error: 0.0113 | Eval Perf: 0.8052
[88, 100] Train Error: 0.0074 | Train Perf: 0.8762 | Eval Error: 0.0113 | Eval Perf: 0.8047
[89, 100] Train Error: 0.0073 | Train Perf: 0.8776 | Eval Error: 0.0109 | Eval Perf: 0.8117
[90, 100] Train Error: 0.0073 | Train Perf: 0.8765 | Eval Error: 0.0112 | Eval Perf: 0.8071
[91, 100] Train Error: 0.0074 | Train Perf: 0.876 | Eval Error: 0.0113 | Eval Perf: 0.8047
[92, 100] Train Error: 0.0073 | Train Perf: 0.877 | Eval Error: 0.0113 | Eval Perf: 0.8049
[93, 100] Train Error: 0.0073 | Train Perf: 0.877 | Eval Error: 0.0112 | Eval Perf: 0.8061
[94, 100] Train Error: 0.0073 | Train Perf: 0.8771 | Eval Error: 0.0113 | Eval Perf: 0.8056
[95, 100] Train Error: 0.0073 | Train Perf: 0.8767 | Eval Error: 0.0113 | Eval Perf: 0.8059
[96, 100] Train Error: 0.0072 | Train Perf: 0.8785 | Eval Error: 0.0112 | Eval Perf: 0.8073
[97, 100] Train Error: 0.0073 | Train Perf: 0.8777 | Eval Error: 0.0115 | Eval Perf: 0.8021
[98, 100] Train Error: 0.0073 | Train Perf: 0.8775 | Eval Error: 0.0112 | Eval Perf: 0.8087
[99, 100] Train Error: 0.0073 | Train Perf: 0.8772 | Eval Error: 0.0111 | Eval Perf: 0.8086
[100, 100] Train Error: 0.0073 | Train Perf: 0.878 | Eval Error: 0.0112 | Eval Perf: 0.8083
