NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0272 | Train Perf: 0.0598 | Eval Error: 0.0256 | Eval Perf: 0.5191
[2, 100] Train Error: 0.0234 | Train Perf: 0.4649 | Eval Error: 0.0212 | Eval Perf: 0.5885
[3, 100] Train Error: 0.0187 | Train Perf: 0.5968 | Eval Error: 0.0172 | Eval Perf: 0.6471
[4, 100] Train Error: 0.0152 | Train Perf: 0.681 | Eval Error: 0.0149 | Eval Perf: 0.692
[5, 100] Train Error: 0.0128 | Train Perf: 0.737 | Eval Error: 0.0152 | Eval Perf: 0.6998
[6, 100] Train Error: 0.0115 | Train Perf: 0.7597 | Eval Error: 0.0134 | Eval Perf: 0.7261
[7, 100] Train Error: 0.0107 | Train Perf: 0.7775 | Eval Error: 0.0129 | Eval Perf: 0.7284
[8, 100] Train Error: 0.0102 | Train Perf: 0.788 | Eval Error: 0.0132 | Eval Perf: 0.7228
[9, 100] Train Error: 0.01 | Train Perf: 0.7927 | Eval Error: 0.0135 | Eval Perf: 0.7284
[10, 100] Train Error: 0.0097 | Train Perf: 0.7986 | Eval Error: 0.0139 | Eval Perf: 0.722
[11, 100] Train Error: 0.0096 | Train Perf: 0.8033 | Eval Error: 0.0139 | Eval Perf: 0.7099
[12, 100] Train Error: 0.0093 | Train Perf: 0.808 | Eval Error: 0.0136 | Eval Perf: 0.7178
[13, 100] Train Error: 0.0093 | Train Perf: 0.8099 | Eval Error: 0.0149 | Eval Perf: 0.7104
[14, 100] Train Error: 0.0093 | Train Perf: 0.8101 | Eval Error: 0.0137 | Eval Perf: 0.7164
[15, 100] Train Error: 0.0091 | Train Perf: 0.8145 | Eval Error: 0.0139 | Eval Perf: 0.711
[16, 100] Train Error: 0.009 | Train Perf: 0.8153 | Eval Error: 0.0136 | Eval Perf: 0.7209
[17, 100] Train Error: 0.0088 | Train Perf: 0.8213 | Eval Error: 0.0134 | Eval Perf: 0.7246
[18, 100] Train Error: 0.0089 | Train Perf: 0.8191 | Eval Error: 0.0138 | Eval Perf: 0.7178
[19, 100] Train Error: 0.0087 | Train Perf: 0.8217 | Eval Error: 0.0135 | Eval Perf: 0.7227
[20, 100] Train Error: 0.0086 | Train Perf: 0.8244 | Eval Error: 0.0144 | Eval Perf: 0.7125
[21, 100] Train Error: 0.0085 | Train Perf: 0.8277 | Eval Error: 0.0136 | Eval Perf: 0.7212
[22, 100] Train Error: 0.0084 | Train Perf: 0.83 | Eval Error: 0.0139 | Eval Perf: 0.7135
[23, 100] Train Error: 0.0083 | Train Perf: 0.8322 | Eval Error: 0.0141 | Eval Perf: 0.7156
[24, 100] Train Error: 0.0083 | Train Perf: 0.831 | Eval Error: 0.0135 | Eval Perf: 0.7216
[25, 100] Train Error: 0.0082 | Train Perf: 0.834 | Eval Error: 0.0137 | Eval Perf: 0.717
[26, 100] Train Error: 0.0081 | Train Perf: 0.8352 | Eval Error: 0.0149 | Eval Perf: 0.7128
[27, 100] Train Error: 0.008 | Train Perf: 0.8378 | Eval Error: 0.014 | Eval Perf: 0.714
[28, 100] Train Error: 0.0079 | Train Perf: 0.8414 | Eval Error: 0.0142 | Eval Perf: 0.714
[29, 100] Train Error: 0.0078 | Train Perf: 0.8417 | Eval Error: 0.0135 | Eval Perf: 0.7234
[30, 100] Train Error: 0.0077 | Train Perf: 0.8453 | Eval Error: 0.0137 | Eval Perf: 0.7204
[31, 100] Train Error: 0.0076 | Train Perf: 0.8465 | Eval Error: 0.0136 | Eval Perf: 0.7215
[32, 100] Train Error: 0.0075 | Train Perf: 0.8484 | Eval Error: 0.0134 | Eval Perf: 0.7259
[33, 100] Train Error: 0.0075 | Train Perf: 0.8489 | Eval Error: 0.0139 | Eval Perf: 0.7196
[34, 100] Train Error: 0.0074 | Train Perf: 0.851 | Eval Error: 0.0138 | Eval Perf: 0.7157
[35, 100] Train Error: 0.0074 | Train Perf: 0.8515 | Eval Error: 0.0137 | Eval Perf: 0.7211
[36, 100] Train Error: 0.0073 | Train Perf: 0.8543 | Eval Error: 0.0136 | Eval Perf: 0.7234
[37, 100] Train Error: 0.0073 | Train Perf: 0.853 | Eval Error: 0.0134 | Eval Perf: 0.7241
[38, 100] Train Error: 0.0071 | Train Perf: 0.8578 | Eval Error: 0.0135 | Eval Perf: 0.7237
[39, 100] Train Error: 0.0069 | Train Perf: 0.8624 | Eval Error: 0.0134 | Eval Perf: 0.7275
[40, 100] Train Error: 0.0071 | Train Perf: 0.8575 | Eval Error: 0.0135 | Eval Perf: 0.7259
[41, 100] Train Error: 0.0069 | Train Perf: 0.8613 | Eval Error: 0.014 | Eval Perf: 0.7163
[42, 100] Train Error: 0.007 | Train Perf: 0.8607 | Eval Error: 0.0149 | Eval Perf: 0.71
[43, 100] Train Error: 0.007 | Train Perf: 0.8604 | Eval Error: 0.0146 | Eval Perf: 0.7123
[44, 100] Train Error: 0.0069 | Train Perf: 0.8629 | Eval Error: 0.0141 | Eval Perf: 0.7164
[45, 100] Train Error: 0.0069 | Train Perf: 0.8627 | Eval Error: 0.0141 | Eval Perf: 0.7145
[46, 100] Train Error: 0.0068 | Train Perf: 0.8644 | Eval Error: 0.0146 | Eval Perf: 0.7059
[47, 100] Train Error: 0.0068 | Train Perf: 0.8654 | Eval Error: 0.0163 | Eval Perf: 0.6963
[48, 100] Train Error: 0.0068 | Train Perf: 0.8654 | Eval Error: 0.0141 | Eval Perf: 0.7161
[49, 100] Train Error: 0.0067 | Train Perf: 0.8661 | Eval Error: 0.0141 | Eval Perf: 0.7131
[50, 100] Train Error: 0.0066 | Train Perf: 0.8688 | Eval Error: 0.0147 | Eval Perf: 0.7034
[51, 100] Train Error: 0.0066 | Train Perf: 0.8695 | Eval Error: 0.0152 | Eval Perf: 0.7021
[52, 100] Train Error: 0.0065 | Train Perf: 0.8703 | Eval Error: 0.0155 | Eval Perf: 0.6966
[53, 100] Train Error: 0.0065 | Train Perf: 0.8712 | Eval Error: 0.0148 | Eval Perf: 0.7031
[54, 100] Train Error: 0.0064 | Train Perf: 0.8732 | Eval Error: 0.0149 | Eval Perf: 0.7024
[55, 100] Train Error: 0.0066 | Train Perf: 0.8698 | Eval Error: 0.0145 | Eval Perf: 0.7062
[56, 100] Train Error: 0.0065 | Train Perf: 0.8712 | Eval Error: 0.0154 | Eval Perf: 0.6951
[57, 100] Train Error: 0.0064 | Train Perf: 0.8722 | Eval Error: 0.016 | Eval Perf: 0.6919
[58, 100] Train Error: 0.0063 | Train Perf: 0.8742 | Eval Error: 0.0145 | Eval Perf: 0.7078
[59, 100] Train Error: 0.0064 | Train Perf: 0.873 | Eval Error: 0.0155 | Eval Perf: 0.6956
[60, 100] Train Error: 0.0063 | Train Perf: 0.875 | Eval Error: 0.0151 | Eval Perf: 0.702
[61, 100] Train Error: 0.0064 | Train Perf: 0.874 | Eval Error: 0.0154 | Eval Perf: 0.6954
[62, 100] Train Error: 0.0063 | Train Perf: 0.8746 | Eval Error: 0.0151 | Eval Perf: 0.7024
[63, 100] Train Error: 0.0063 | Train Perf: 0.8749 | Eval Error: 0.0152 | Eval Perf: 0.7004
[64, 100] Train Error: 0.0062 | Train Perf: 0.8772 | Eval Error: 0.0158 | Eval Perf: 0.6977
[65, 100] Train Error: 0.0062 | Train Perf: 0.8772 | Eval Error: 0.0147 | Eval Perf: 0.7049
[66, 100] Train Error: 0.0062 | Train Perf: 0.8773 | Eval Error: 0.0152 | Eval Perf: 0.6984
[67, 100] Train Error: 0.0061 | Train Perf: 0.8791 | Eval Error: 0.0155 | Eval Perf: 0.6953
[68, 100] Train Error: 0.0061 | Train Perf: 0.8793 | Eval Error: 0.0153 | Eval Perf: 0.6967
[69, 100] Train Error: 0.0061 | Train Perf: 0.8783 | Eval Error: 0.0152 | Eval Perf: 0.6972
[70, 100] Train Error: 0.0061 | Train Perf: 0.8805 | Eval Error: 0.0172 | Eval Perf: 0.6779
[71, 100] Train Error: 0.0062 | Train Perf: 0.8774 | Eval Error: 0.0155 | Eval Perf: 0.6956
[72, 100] Train Error: 0.0061 | Train Perf: 0.8789 | Eval Error: 0.0155 | Eval Perf: 0.6912
[73, 100] Train Error: 0.0061 | Train Perf: 0.8803 | Eval Error: 0.016 | Eval Perf: 0.6901
[74, 100] Train Error: 0.006 | Train Perf: 0.8813 | Eval Error: 0.0157 | Eval Perf: 0.6888
[75, 100] Train Error: 0.006 | Train Perf: 0.8811 | Eval Error: 0.0153 | Eval Perf: 0.6926
[76, 100] Train Error: 0.0061 | Train Perf: 0.8801 | Eval Error: 0.0158 | Eval Perf: 0.6911
[77, 100] Train Error: 0.006 | Train Perf: 0.8811 | Eval Error: 0.0154 | Eval Perf: 0.6932
[78, 100] Train Error: 0.0059 | Train Perf: 0.8828 | Eval Error: 0.0159 | Eval Perf: 0.6842
[79, 100] Train Error: 0.006 | Train Perf: 0.8822 | Eval Error: 0.0167 | Eval Perf: 0.6762
[80, 100] Train Error: 0.0059 | Train Perf: 0.8829 | Eval Error: 0.0162 | Eval Perf: 0.6861
[81, 100] Train Error: 0.0059 | Train Perf: 0.8835 | Eval Error: 0.0167 | Eval Perf: 0.68
[82, 100] Train Error: 0.0059 | Train Perf: 0.8837 | Eval Error: 0.0167 | Eval Perf: 0.6791
[83, 100] Train Error: 0.0059 | Train Perf: 0.8838 | Eval Error: 0.0169 | Eval Perf: 0.678
[84, 100] Train Error: 0.0059 | Train Perf: 0.8836 | Eval Error: 0.0171 | Eval Perf: 0.6818
[85, 100] Train Error: 0.0059 | Train Perf: 0.8836 | Eval Error: 0.0173 | Eval Perf: 0.675
[86, 100] Train Error: 0.0058 | Train Perf: 0.8851 | Eval Error: 0.0179 | Eval Perf: 0.676
[87, 100] Train Error: 0.0059 | Train Perf: 0.8844 | Eval Error: 0.0185 | Eval Perf: 0.6691
[88, 100] Train Error: 0.0058 | Train Perf: 0.8854 | Eval Error: 0.0176 | Eval Perf: 0.6718
[89, 100] Train Error: 0.0058 | Train Perf: 0.8855 | Eval Error: 0.0164 | Eval Perf: 0.6817
[90, 100] Train Error: 0.0057 | Train Perf: 0.8878 | Eval Error: 0.016 | Eval Perf: 0.6842
[91, 100] Train Error: 0.0057 | Train Perf: 0.887 | Eval Error: 0.0165 | Eval Perf: 0.6776
[92, 100] Train Error: 0.0058 | Train Perf: 0.8863 | Eval Error: 0.0166 | Eval Perf: 0.6772
[93, 100] Train Error: 0.0058 | Train Perf: 0.8864 | Eval Error: 0.0175 | Eval Perf: 0.6721
[94, 100] Train Error: 0.0058 | Train Perf: 0.8866 | Eval Error: 0.0169 | Eval Perf: 0.6759
[95, 100] Train Error: 0.0057 | Train Perf: 0.8878 | Eval Error: 0.0173 | Eval Perf: 0.6731
[96, 100] Train Error: 0.0057 | Train Perf: 0.8881 | Eval Error: 0.0191 | Eval Perf: 0.6665
[97, 100] Train Error: 0.0057 | Train Perf: 0.8879 | Eval Error: 0.018 | Eval Perf: 0.6714
[98, 100] Train Error: 0.0058 | Train Perf: 0.8865 | Eval Error: 0.0175 | Eval Perf: 0.6734
[99, 100] Train Error: 0.0057 | Train Perf: 0.8874 | Eval Error: 0.018 | Eval Perf: 0.6706
[100, 100] Train Error: 0.0057 | Train Perf: 0.8885 | Eval Error: 0.0174 | Eval Perf: 0.6697
