NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 3)
Output layer shape: (4, 1)
Total parameters: 547

[1, 100] Train Error: 0.0407 | Train Perf: 0.168 | Eval Error: 0.0372 | Eval Perf: 0.591
[2, 100] Train Error: 0.0328 | Train Perf: 0.5798 | Eval Error: 0.0291 | Eval Perf: 0.6477
[3, 100] Train Error: 0.0266 | Train Perf: 0.6503 | Eval Error: 0.024 | Eval Perf: 0.6844
[4, 100] Train Error: 0.0232 | Train Perf: 0.6877 | Eval Error: 0.0224 | Eval Perf: 0.7071
[5, 100] Train Error: 0.0214 | Train Perf: 0.7092 | Eval Error: 0.0202 | Eval Perf: 0.7312
[6, 100] Train Error: 0.0197 | Train Perf: 0.7355 | Eval Error: 0.0189 | Eval Perf: 0.7508
[7, 100] Train Error: 0.0185 | Train Perf: 0.754 | Eval Error: 0.0178 | Eval Perf: 0.7602
[8, 100] Train Error: 0.0175 | Train Perf: 0.767 | Eval Error: 0.017 | Eval Perf: 0.7725
[9, 100] Train Error: 0.0166 | Train Perf: 0.7812 | Eval Error: 0.0167 | Eval Perf: 0.7765
[10, 100] Train Error: 0.0159 | Train Perf: 0.791 | Eval Error: 0.0166 | Eval Perf: 0.7798
[11, 100] Train Error: 0.0153 | Train Perf: 0.8002 | Eval Error: 0.016 | Eval Perf: 0.7881
[12, 100] Train Error: 0.0147 | Train Perf: 0.8081 | Eval Error: 0.0159 | Eval Perf: 0.7875
[13, 100] Train Error: 0.0141 | Train Perf: 0.8174 | Eval Error: 0.0158 | Eval Perf: 0.7882
[14, 100] Train Error: 0.0138 | Train Perf: 0.8202 | Eval Error: 0.0153 | Eval Perf: 0.7969
[15, 100] Train Error: 0.0133 | Train Perf: 0.8281 | Eval Error: 0.0153 | Eval Perf: 0.7962
[16, 100] Train Error: 0.013 | Train Perf: 0.8316 | Eval Error: 0.015 | Eval Perf: 0.7996
[17, 100] Train Error: 0.0126 | Train Perf: 0.8371 | Eval Error: 0.0157 | Eval Perf: 0.7932
[18, 100] Train Error: 0.0125 | Train Perf: 0.8396 | Eval Error: 0.015 | Eval Perf: 0.7993
[19, 100] Train Error: 0.012 | Train Perf: 0.8466 | Eval Error: 0.0159 | Eval Perf: 0.7887
[20, 100] Train Error: 0.0117 | Train Perf: 0.8497 | Eval Error: 0.0159 | Eval Perf: 0.7938
[21, 100] Train Error: 0.0114 | Train Perf: 0.8537 | Eval Error: 0.015 | Eval Perf: 0.8024
[22, 100] Train Error: 0.0113 | Train Perf: 0.8554 | Eval Error: 0.0149 | Eval Perf: 0.8014
[23, 100] Train Error: 0.0109 | Train Perf: 0.8604 | Eval Error: 0.0153 | Eval Perf: 0.7983
[24, 100] Train Error: 0.0108 | Train Perf: 0.8615 | Eval Error: 0.0152 | Eval Perf: 0.7992
[25, 100] Train Error: 0.0105 | Train Perf: 0.8661 | Eval Error: 0.0152 | Eval Perf: 0.7995
[26, 100] Train Error: 0.0105 | Train Perf: 0.8658 | Eval Error: 0.015 | Eval Perf: 0.8021
[27, 100] Train Error: 0.0103 | Train Perf: 0.8687 | Eval Error: 0.0153 | Eval Perf: 0.7981
[28, 100] Train Error: 0.0101 | Train Perf: 0.8713 | Eval Error: 0.0158 | Eval Perf: 0.7985
