NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0219 | Train Perf: -0.0398 | Eval Error: 0.0151 | Eval Perf: 0.0023
[2, 100] Train Error: 0.0152 | Train Perf: -0.0291 | Eval Error: 0.015 | Eval Perf: 0.0478
[3, 100] Train Error: 0.0151 | Train Perf: -0.0092 | Eval Error: 0.0149 | Eval Perf: 0.0932
[4, 100] Train Error: 0.0151 | Train Perf: 0.0509 | Eval Error: 0.0149 | Eval Perf: 0.137
[5, 100] Train Error: 0.015 | Train Perf: 0.1163 | Eval Error: 0.0149 | Eval Perf: 0.1785
[6, 100] Train Error: 0.015 | Train Perf: 0.1633 | Eval Error: 0.0148 | Eval Perf: 0.2166
[7, 100] Train Error: 0.0149 | Train Perf: 0.2245 | Eval Error: 0.0148 | Eval Perf: 0.2508
[8, 100] Train Error: 0.0148 | Train Perf: 0.2875 | Eval Error: 0.0147 | Eval Perf: 0.2813
[9, 100] Train Error: 0.0147 | Train Perf: 0.3104 | Eval Error: 0.0147 | Eval Perf: 0.3079
[10, 100] Train Error: 0.0147 | Train Perf: 0.3711 | Eval Error: 0.0146 | Eval Perf: 0.3305
[11, 100] Train Error: 0.0146 | Train Perf: 0.3925 | Eval Error: 0.0146 | Eval Perf: 0.3501
[12, 100] Train Error: 0.0145 | Train Perf: 0.4123 | Eval Error: 0.0145 | Eval Perf: 0.3666
[13, 100] Train Error: 0.0144 | Train Perf: 0.4575 | Eval Error: 0.0145 | Eval Perf: 0.3807
[14, 100] Train Error: 0.0143 | Train Perf: 0.4836 | Eval Error: 0.0144 | Eval Perf: 0.393
[15, 100] Train Error: 0.0141 | Train Perf: 0.4808 | Eval Error: 0.0143 | Eval Perf: 0.403
[16, 100] Train Error: 0.014 | Train Perf: 0.5238 | Eval Error: 0.0142 | Eval Perf: 0.4119
[17, 100] Train Error: 0.0138 | Train Perf: 0.5458 | Eval Error: 0.0141 | Eval Perf: 0.4196
[18, 100] Train Error: 0.0137 | Train Perf: 0.548 | Eval Error: 0.014 | Eval Perf: 0.4266
[19, 100] Train Error: 0.0135 | Train Perf: 0.5669 | Eval Error: 0.0139 | Eval Perf: 0.4324
[20, 100] Train Error: 0.0133 | Train Perf: 0.572 | Eval Error: 0.0138 | Eval Perf: 0.4375
[21, 100] Train Error: 0.0131 | Train Perf: 0.5859 | Eval Error: 0.0137 | Eval Perf: 0.4424
[22, 100] Train Error: 0.0128 | Train Perf: 0.5897 | Eval Error: 0.0135 | Eval Perf: 0.4465
[23, 100] Train Error: 0.0126 | Train Perf: 0.5976 | Eval Error: 0.0134 | Eval Perf: 0.4505
[24, 100] Train Error: 0.0123 | Train Perf: 0.6024 | Eval Error: 0.0132 | Eval Perf: 0.4555
[25, 100] Train Error: 0.0121 | Train Perf: 0.6128 | Eval Error: 0.0131 | Eval Perf: 0.4588
[26, 100] Train Error: 0.0118 | Train Perf: 0.6227 | Eval Error: 0.0129 | Eval Perf: 0.4625
[27, 100] Train Error: 0.0115 | Train Perf: 0.6289 | Eval Error: 0.0128 | Eval Perf: 0.4655
[28, 100] Train Error: 0.0112 | Train Perf: 0.6361 | Eval Error: 0.0126 | Eval Perf: 0.4696
[29, 100] Train Error: 0.0109 | Train Perf: 0.64 | Eval Error: 0.0124 | Eval Perf: 0.4735
[30, 100] Train Error: 0.0106 | Train Perf: 0.6483 | Eval Error: 0.0123 | Eval Perf: 0.4774
[31, 100] Train Error: 0.0103 | Train Perf: 0.6563 | Eval Error: 0.0122 | Eval Perf: 0.48
[32, 100] Train Error: 0.0101 | Train Perf: 0.6589 | Eval Error: 0.012 | Eval Perf: 0.4847
[33, 100] Train Error: 0.0098 | Train Perf: 0.6684 | Eval Error: 0.0119 | Eval Perf: 0.4878
