Alng1_1	Betv1_1	1.0647107369924282,0.9932517730102834,0.8329091229351039,-1.2039728043259361,0.09531017980432493,0.26236426446749106,1.3862943611198906,1.0296194171811581,0.9162907318741551,0.9162907318741551,1.840549633397487,1.0986122886681098,0.9162907318741551,0.9555114450274363,1.8870696490323797,-0.10536051565782628,-0.2231435513142097,1.9315214116032138,0.1823215567939546,0.6931471805599453,0.09531017980432493,0.0,0.5306282510621704,1.0296194171811581,2.1400661634962708,2.4595888418037104,0.6418538861723947,0.1823215567939546,0.26236426446749106	1.0296194171811581,1.8870696490323797,0.9555114450274363,3.173878458937465,0.7419373447293773,0.9932517730102834,2.3608540011180215,1.0647107369924282,1.1631508098056809,1.7047480922384253,3.55820113047182,3.214867803470662,0.9932517730102834,1.0647107369924282,2.2300144001592104,-0.10536051565782628,1.0647107369924282,3.039749158970765,0.3364722366212129,1.8718021769015913,0.1823215567939546,1.1939224684724346,0.09531017980432493,2.785011242238338,3.7013019741124933,3.005682604407159,0.4054651081081644,1.6094379124341003,1.589235205116581
Betv1_1	Cora1_1	1.0296194171811581,1.8870696490323797,0.9555114450274363,3.173878458937465,0.7419373447293773,0.9932517730102834,2.3608540011180215,1.0647107369924282,1.1631508098056809,1.7047480922384253,3.55820113047182,3.214867803470662,0.9932517730102834,1.0647107369924282,2.2300144001592104,-0.10536051565782628,1.0647107369924282,3.039749158970765,0.3364722366212129,1.8718021769015913,0.1823215567939546,1.1939224684724346,0.09531017980432493,2.785011242238338,3.7013019741124933,3.005682604407159,0.4054651081081644,1.6094379124341003,1.589235205116581	1.33500106673234,0.8754687373538999,0.8329091229351039,-0.10536051565782628,0.3364722366212129,0.5306282510621704,1.2237754316221157,0.7884573603642703,0.7884573603642703,0.9555114450274363,2.151762203259462,-0.35667494393873245,0.7884573603642703,0.4054651081081644,0.1823215567939546,0.4054651081081644,-0.35667494393873245,1.410986973710262,0.47000362924573563,0.8329091229351039,0.47000362924573563,0.3364722366212129,0.3364722366212129,1.0647107369924282,2.468099531471619,0.3364722366212129,1.1314021114911006,0.7884573603642703,0.26236426446749106
Betv1_1	Mald1_1	1.0296194171811581,1.8870696490323797,0.9555114450274363,3.173878458937465,0.7419373447293773,0.9932517730102834,2.3608540011180215,1.0647107369924282,1.1631508098056809,1.7047480922384253,3.55820113047182,3.214867803470662,0.9932517730102834,1.0647107369924282,2.2300144001592104,-0.10536051565782628,1.0647107369924282,3.039749158970765,0.3364722366212129,1.8718021769015913,0.1823215567939546,1.1939224684724346,0.09531017980432493,2.785011242238338,3.7013019741124933,3.005682604407159,0.4054651081081644,1.589235205116581	0.26236426446749106,1.252762968495368,-0.2231435513142097,-0.35667494393873245,0.3364722366212129,-0.2231435513142097,0.1823215567939546,0.5877866649021191,0.26236426446749106,0.6418538861723947,1.5260563034950492,-0.2231435513142097,-0.6931471805599453,0.9555114450274363,-0.10536051565782628,-0.6931471805599453,-0.10536051565782628,1.0296194171811581,0.47000362924573563,0.5877866649021191,0.3364722366212129,0.26236426446749106,0.0,0.9932517730102834,1.308332819650179,1.0647107369924282,-0.5108256237659907,0.5877866649021191
Betv1_1	Quea1_1	1.0296194171811581,1.8870696490323797,0.9555114450274363,3.173878458937465,0.7419373447293773,0.9932517730102834,2.3608540011180215,1.0647107369924282,1.1631508098056809,1.7047480922384253,3.55820113047182,3.214867803470662,0.9932517730102834,1.0647107369924282,2.2300144001592104,-0.10536051565782628,1.0647107369924282,3.039749158970765,0.3364722366212129,1.8718021769015913,0.1823215567939546,1.1939224684724346,0.09531017980432493,2.785011242238338,3.7013019741124933,3.005682604407159,0.4054651081081644,1.6094379124341003,1.589235205116581,0.6418538861723947,-0.5108256237659907,0.8329091229351039,0.3364722366212129,1.3609765531356006,0.7884573603642703,0.6931471805599453,1.252762968495368,2.517696472610991,-0.35667494393873245,1.840549633397487,0.4054651081081644,-1.2039728043259361,-0.2231435513142097,-0.35667494393873245,-0.10536051565782628,2.0149030205422647,0.26236426446749106,2.9856819377004897,3.5553480614894135,0.6418538861723947,0.4054651081081644	0.7419373447293773,0.5877866649021191,0.7419373447293773,0.0,0.1823215567939546,0.3364722366212129,0.6418538861723947,0.3364722366212129,-0.10536051565782628,0.7419373447293773,0.7884573603642703,0.09531017980432493,-0.5108256237659907,0.26236426446749106,0.0,-0.10536051565782628,-0.10536051565782628,1.2237754316221157,0.0,0.5306282510621704,0.5877866649021191,0.4054651081081644,0.3364722366212129,0.5877866649021191,1.5260563034950492,1.1314021114911006,0.0,0.5306282510621704,0.5306282510621704,0.47000362924573563,0.6931471805599453,0.5877866649021191,0.7419373447293773,0.8329091229351039,1.7047480922384253,-0.35667494393873245,-0.6931471805599453,1.7404661748405046,0.1823215567939546,2.1972245773362196,-0.6931471805599453,-0.10536051565782628,0.09531017980432493,0.09531017980432493,0.26236426446749106,3.0007198150650303,0.5877866649021191,2.1041341542702074,0.7884573603642703,1.308332819650179,0.1823215567939546
Alng1_2	Betv1_2	0.7884573603642703,1.589235205116581,1.1314021114911006,1.824549292051046,0.09531017980432493,0.9932517730102834,0.5306282510621704,1.1314021114911006,1.1939224684724346,2.797281334830153,2.760009940032921,-0.6931471805599453,2.1162555148025524,0.7419373447293773,1.2237754316221157,0.9932517730102834,0.9555114450274363,1.0647107369924282,1.916922612182061,2.2192034840549946,0.7419373447293773,0.09531017980432493,1.8082887711792655,2.4932054526026954,4.14946386144318,2.681021528714291,1.824549292051046,0.47000362924573563,0.6418538861723947	1.0986122886681098,2.3702437414678603,1.0647107369924282,2.580216829592325,0.4054651081081644,0.7884573603642703,1.33500106673234,1.410986973710262,0.8329091229351039,3.258096538021482,2.791165107812717,1.4816045409242156,1.3609765531356006,0.9162907318741551,1.7749523509116738,0.3364722366212129,1.0647107369924282,0.3364722366212129,1.1939224684724346,2.3978952727983707,0.9555114450274363,0.7884573603642703,0.9932517730102834,2.302585092994046,3.655839600035736,4.165113633110308,1.33500106673234,1.6863989535702288,1.1939224684724346
Betv1_2	Cora1_2	1.0986122886681098,2.3702437414678603,1.0647107369924282,2.580216829592325,0.4054651081081644,0.7884573603642703,1.33500106673234,1.410986973710262,0.8329091229351039,3.258096538021482,2.791165107812717,1.4816045409242156,1.3609765531356006,0.9162907318741551,1.7749523509116738,0.3364722366212129,1.0647107369924282,0.3364722366212129,1.1939224684724346,2.3978952727983707,0.9555114450274363,0.7884573603642703,0.9932517730102834,2.302585092994046,3.655839600035736,4.165113633110308,1.33500106673234,1.6863989535702288,1.1939224684724346	1.2809338454620642,1.824549292051046,0.9932517730102834,2.186051276738094,0.1823215567939546,0.9932517730102834,0.9555114450274363,0.7884573603642703,1.1314021114911006,1.547562508716013,2.760009940032921,0.09531017980432493,1.9600947840472698,0.7884573603642703,1.308332819650179,0.1823215567939546,0.8754687373538999,1.33500106673234,2.2512917986064953,1.7404661748405046,1.0296194171811581,0.6931471805599453,1.8082887711792655,2.5877640352277083,3.493472657771326,2.4069451083182885,2.4595888418037104,0.9162907318741551,0.6418538861723947
Betv1_2	Mald1_2	1.0986122886681098,2.3702437414678603,1.0647107369924282,2.580216829592325,0.4054651081081644,0.7884573603642703,1.33500106673234,1.410986973710262,0.8329091229351039,3.258096538021482,2.791165107812717,1.4816045409242156,1.3609765531356006,0.9162907318741551,1.7749523509116738,0.3364722366212129,1.0647107369924282,0.3364722366212129,1.1939224684724346,2.3978952727983707,0.9555114450274363,0.7884573603642703,0.9932517730102834,2.302585092994046,3.655839600035736,4.165113633110308,1.33500106673234,1.1939224684724346	0.7419373447293773,0.8329091229351039,-0.35667494393873245,1.667706820558076,0.26236426446749106,0.3364722366212129,0.4054651081081644,0.9162907318741551,0.6418538861723947,0.5877866649021191,0.8754687373538999,0.09531017980432493,2.0541237336955462,0.7419373447293773,0.47000362924573563,-0.10536051565782628,0.0,0.9162907318741551,0.4054651081081644,1.5686159179138452,0.6418538861723947,0.5306282510621704,-0.10536051565782628,1.7227665977411035,3.877431560658527,0.6931471805599453,-0.5108256237659907,0.26236426446749106
Betv1_2	Quea1_2	1.0986122886681098,2.3702437414678603,1.0647107369924282,2.580216829592325,0.4054651081081644,0.7884573603642703,1.33500106673234,1.410986973710262,0.8329091229351039,3.258096538021482,2.791165107812717,1.4816045409242156,1.3609765531356006,0.9162907318741551,1.7749523509116738,0.3364722366212129,1.0647107369924282,0.3364722366212129,1.1939224684724346,2.3978952727983707,0.9555114450274363,0.7884573603642703,0.9932517730102834,2.302585092994046,3.655839600035736,4.165113633110308,1.33500106673234,1.6863989535702288,1.1939224684724346,0.6418538861723947,2.8273136219290276,1.308332819650179,0.7419373447293773,1.0296194171811581,0.9555114450274363,1.252762968495368,-0.10536051565782628,1.9740810260220096,-0.5108256237659907,1.0296194171811581,0.3364722366212129,-0.35667494393873245,1.667706820558076,0.1823215567939546,0.0,2.653241964607215,0.5877866649021191,5.382658514981787,0.47000362924573563,2.4336133554004498,0.9932517730102834	0.9555114450274363,1.0296194171811581,1.1314021114911006,1.4350845252893227,0.26236426446749106,0.5877866649021191,0.7419373447293773,0.6418538861723947,0.1823215567939546,1.252762968495368,0.9932517730102834,0.5877866649021191,-0.2231435513142097,0.0,0.26236426446749106,0.4054651081081644,0.1823215567939546,0.4054651081081644,0.6418538861723947,1.252762968495368,0.6931471805599453,0.6931471805599453,0.47000362924573563,0.47000362924573563,1.791759469228055,0.7884573603642703,1.0296194171811581,0.7419373447293773,0.7419373447293773,0.5877866649021191,1.3609765531356006,0.6931471805599453,1.1939224684724346,1.1314021114911006,2.772588722239781,0.4054651081081644,-0.5108256237659907,2.128231705849268,0.26236426446749106,3.242592351485517,0.7884573603642703,0.5877866649021191,2.1041341542702074,0.3364722366212129,0.26236426446749106,0.7884573603642703,0.7419373447293773,2.3702437414678603,0.9162907318741551,0.47000362924573563,0.5306282510621704
Alng1_3	Betv1_3	0.8329091229351039,0.8754687373538999,0.6418538861723947,3.5667118201397288,0.09531017980432493,0.7884573603642703,-0.10536051565782628,0.5877866649021191,0.7884573603642703,0.9555114450274363,0.47000362924573563,0.5306282510621704,0.8754687373538999,0.4054651081081644,0.5877866649021191,0.3364722366212129,-0.10536051565782628,0.47000362924573563,0.5877866649021191,0.1823215567939546,0.1823215567939546,0.0,0.47000362924573563,0.9162907318741551,2.0412203288596382,0.8329091229351039,0.0,-0.10536051565782628,0.5306282510621704	0.9555114450274363,2.066862759472976,0.7884573603642703,4.102643365036796,0.4054651081081644,0.9932517730102834,1.1314021114911006,1.1631508098056809,0.5306282510621704,1.9021075263969205,1.2809338454620642,0.47000362924573563,-0.10536051565782628,0.9555114450274363,1.6094379124341003,0.0,0.1823215567939546,0.09531017980432493,-0.2231435513142097,2.1041341542702074,0.4054651081081644,0.6418538861723947,-0.5108256237659907,1.6094379124341003,2.451005098112319,3.6609942506244004,0.09531017980432493,1.5686159179138452,1.308332819650179
Betv1_3	Cora1_3	0.9555114450274363,2.066862759472976,0.7884573603642703,4.102643365036796,0.4054651081081644,0.9932517730102834,1.1314021114911006,1.1631508098056809,0.5306282510621704,1.9021075263969205,1.2809338454620642,0.47000362924573563,-0.10536051565782628,0.9555114450274363,1.6094379124341003,0.0,0.1823215567939546,0.09531017980432493,-0.2231435513142097,2.1041341542702074,0.4054651081081644,0.6418538861723947,-0.5108256237659907,1.6094379124341003,2.451005098112319,3.6609942506244004,0.09531017980432493,1.5686159179138452,1.308332819650179	1.2237754316221157,0.9932517730102834,0.9932517730102834,3.8066624897703196,0.26236426446749106,0.9555114450274363,0.5877866649021191,0.6418538861723947,0.7419373447293773,1.4586150226995167,1.252762968495368,0.6931471805599453,0.9932517730102834,0.8754687373538999,0.7884573603642703,0.1823215567939546,-0.10536051565782628,1.0986122886681098,1.4586150226995167,0.8754687373538999,0.9162907318741551,0.3364722366212129,1.0296194171811581,1.6094379124341003,2.7536607123542622,1.2809338454620642,0.47000362924573563,0.26236426446749106,0.5877866649021191
