NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.0158 | Train Perf: 0.0866 | Eval Error: 0.013 | Eval Perf: 0.4178
[2, 100] Train Error: 0.0117 | Train Perf: 0.5102 | Eval Error: 0.0114 | Eval Perf: 0.4966
[3, 100] Train Error: 0.01 | Train Perf: 0.5958 | Eval Error: 0.0114 | Eval Perf: 0.5405
[4, 100] Train Error: 0.0089 | Train Perf: 0.653 | Eval Error: 0.0104 | Eval Perf: 0.5978
[5, 100] Train Error: 0.0078 | Train Perf: 0.7039 | Eval Error: 0.0096 | Eval Perf: 0.6106
[6, 100] Train Error: 0.0069 | Train Perf: 0.7459 | Eval Error: 0.0106 | Eval Perf: 0.6065
[7, 100] Train Error: 0.0067 | Train Perf: 0.7508 | Eval Error: 0.009 | Eval Perf: 0.6348
[8, 100] Train Error: 0.0062 | Train Perf: 0.7696 | Eval Error: 0.0091 | Eval Perf: 0.6513
[9, 100] Train Error: 0.0057 | Train Perf: 0.791 | Eval Error: 0.011 | Eval Perf: 0.6292
[10, 100] Train Error: 0.0057 | Train Perf: 0.7923 | Eval Error: 0.0089 | Eval Perf: 0.632
[11, 100] Train Error: 0.0051 | Train Perf: 0.8157 | Eval Error: 0.0092 | Eval Perf: 0.619
[12, 100] Train Error: 0.0049 | Train Perf: 0.8253 | Eval Error: 0.0096 | Eval Perf: 0.6048
[13, 100] Train Error: 0.0047 | Train Perf: 0.8301 | Eval Error: 0.0096 | Eval Perf: 0.6257
[14, 100] Train Error: 0.0046 | Train Perf: 0.8354 | Eval Error: 0.0091 | Eval Perf: 0.6468
[15, 100] Train Error: 0.0042 | Train Perf: 0.8501 | Eval Error: 0.0092 | Eval Perf: 0.617
[16, 100] Train Error: 0.004 | Train Perf: 0.8592 | Eval Error: 0.0086 | Eval Perf: 0.6573
[17, 100] Train Error: 0.0037 | Train Perf: 0.8701 | Eval Error: 0.0103 | Eval Perf: 0.6052
[18, 100] Train Error: 0.0038 | Train Perf: 0.8657 | Eval Error: 0.0094 | Eval Perf: 0.6206
[19, 100] Train Error: 0.0036 | Train Perf: 0.8718 | Eval Error: 0.0097 | Eval Perf: 0.6158
[20, 100] Train Error: 0.0036 | Train Perf: 0.8755 | Eval Error: 0.0089 | Eval Perf: 0.6428
[21, 100] Train Error: 0.0035 | Train Perf: 0.8758 | Eval Error: 0.0089 | Eval Perf: 0.6406
[22, 100] Train Error: 0.0033 | Train Perf: 0.8839 | Eval Error: 0.0091 | Eval Perf: 0.6307
[23, 100] Train Error: 0.0032 | Train Perf: 0.8885 | Eval Error: 0.0092 | Eval Perf: 0.6347
[24, 100] Train Error: 0.0031 | Train Perf: 0.891 | Eval Error: 0.0098 | Eval Perf: 0.6059
[25, 100] Train Error: 0.003 | Train Perf: 0.8941 | Eval Error: 0.0099 | Eval Perf: 0.6263
[26, 100] Train Error: 0.0029 | Train Perf: 0.8986 | Eval Error: 0.0098 | Eval Perf: 0.6227
[27, 100] Train Error: 0.0029 | Train Perf: 0.8987 | Eval Error: 0.0102 | Eval Perf: 0.5877
[28, 100] Train Error: 0.0029 | Train Perf: 0.9 | Eval Error: 0.0096 | Eval Perf: 0.6166
[29, 100] Train Error: 0.0028 | Train Perf: 0.9017 | Eval Error: 0.0099 | Eval Perf: 0.6061
[30, 100] Train Error: 0.0027 | Train Perf: 0.9067 | Eval Error: 0.01 | Eval Perf: 0.5973
[31, 100] Train Error: 0.0027 | Train Perf: 0.9055 | Eval Error: 0.0096 | Eval Perf: 0.6202
[32, 100] Train Error: 0.0026 | Train Perf: 0.9096 | Eval Error: 0.0097 | Eval Perf: 0.617
[33, 100] Train Error: 0.0026 | Train Perf: 0.9095 | Eval Error: 0.01 | Eval Perf: 0.611
[34, 100] Train Error: 0.0027 | Train Perf: 0.9087 | Eval Error: 0.0099 | Eval Perf: 0.6126
[35, 100] Train Error: 0.0025 | Train Perf: 0.9135 | Eval Error: 0.0099 | Eval Perf: 0.6097
[36, 100] Train Error: 0.0025 | Train Perf: 0.9155 | Eval Error: 0.0095 | Eval Perf: 0.6172
[37, 100] Train Error: 0.0024 | Train Perf: 0.9161 | Eval Error: 0.0098 | Eval Perf: 0.6254
[38, 100] Train Error: 0.0024 | Train Perf: 0.9179 | Eval Error: 0.0101 | Eval Perf: 0.6015
[39, 100] Train Error: 0.0024 | Train Perf: 0.919 | Eval Error: 0.0099 | Eval Perf: 0.6036
[40, 100] Train Error: 0.0023 | Train Perf: 0.9195 | Eval Error: 0.0104 | Eval Perf: 0.5854
[41, 100] Train Error: 0.0023 | Train Perf: 0.9218 | Eval Error: 0.01 | Eval Perf: 0.6038
[42, 100] Train Error: 0.0023 | Train Perf: 0.9202 | Eval Error: 0.0098 | Eval Perf: 0.6161
[43, 100] Train Error: 0.0022 | Train Perf: 0.9247 | Eval Error: 0.0098 | Eval Perf: 0.6058
[44, 100] Train Error: 0.0022 | Train Perf: 0.9258 | Eval Error: 0.0097 | Eval Perf: 0.6256
[45, 100] Train Error: 0.0021 | Train Perf: 0.9277 | Eval Error: 0.0099 | Eval Perf: 0.6326
[46, 100] Train Error: 0.0021 | Train Perf: 0.9276 | Eval Error: 0.0097 | Eval Perf: 0.6248
[47, 100] Train Error: 0.0021 | Train Perf: 0.927 | Eval Error: 0.0098 | Eval Perf: 0.6161
[48, 100] Train Error: 0.002 | Train Perf: 0.9308 | Eval Error: 0.0101 | Eval Perf: 0.602
[49, 100] Train Error: 0.002 | Train Perf: 0.9305 | Eval Error: 0.0099 | Eval Perf: 0.6136
[50, 100] Train Error: 0.002 | Train Perf: 0.9337 | Eval Error: 0.0097 | Eval Perf: 0.6188
[51, 100] Train Error: 0.002 | Train Perf: 0.9318 | Eval Error: 0.01 | Eval Perf: 0.6223
