NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[1, 100] Train Error: 0.029 | Train Perf: 0.324 | Eval Error: 0.0225 | Eval Perf: 0.6155
[2, 100] Train Error: 0.0172 | Train Perf: 0.6947 | Eval Error: 0.0146 | Eval Perf: 0.7497
[3, 100] Train Error: 0.0127 | Train Perf: 0.7766 | Eval Error: 0.0117 | Eval Perf: 0.8037
[4, 100] Train Error: 0.0112 | Train Perf: 0.8047 | Eval Error: 0.011 | Eval Perf: 0.8081
[5, 100] Train Error: 0.0105 | Train Perf: 0.8172 | Eval Error: 0.0113 | Eval Perf: 0.8205
[6, 100] Train Error: 0.0102 | Train Perf: 0.824 | Eval Error: 0.0104 | Eval Perf: 0.8201
[7, 100] Train Error: 0.01 | Train Perf: 0.8285 | Eval Error: 0.0102 | Eval Perf: 0.8244
[8, 100] Train Error: 0.0099 | Train Perf: 0.8299 | Eval Error: 0.0103 | Eval Perf: 0.8259
[9, 100] Train Error: 0.0095 | Train Perf: 0.8373 | Eval Error: 0.0105 | Eval Perf: 0.8201
[10, 100] Train Error: 0.0096 | Train Perf: 0.8353 | Eval Error: 0.0102 | Eval Perf: 0.8267
[11, 100] Train Error: 0.0094 | Train Perf: 0.8386 | Eval Error: 0.0111 | Eval Perf: 0.8214
[12, 100] Train Error: 0.0091 | Train Perf: 0.8441 | Eval Error: 0.0107 | Eval Perf: 0.8191
[13, 100] Train Error: 0.0093 | Train Perf: 0.8415 | Eval Error: 0.0104 | Eval Perf: 0.8214
[14, 100] Train Error: 0.009 | Train Perf: 0.847 | Eval Error: 0.0101 | Eval Perf: 0.8259
[15, 100] Train Error: 0.0089 | Train Perf: 0.8485 | Eval Error: 0.0102 | Eval Perf: 0.8245
[16, 100] Train Error: 0.0088 | Train Perf: 0.851 | Eval Error: 0.0101 | Eval Perf: 0.8261
[17, 100] Train Error: 0.0086 | Train Perf: 0.8545 | Eval Error: 0.0106 | Eval Perf: 0.82
[18, 100] Train Error: 0.0086 | Train Perf: 0.8531 | Eval Error: 0.0107 | Eval Perf: 0.822
[19, 100] Train Error: 0.0085 | Train Perf: 0.8551 | Eval Error: 0.0106 | Eval Perf: 0.8222
[20, 100] Train Error: 0.0085 | Train Perf: 0.8563 | Eval Error: 0.0103 | Eval Perf: 0.8244
[21, 100] Train Error: 0.0084 | Train Perf: 0.8579 | Eval Error: 0.0116 | Eval Perf: 0.8162
[22, 100] Train Error: 0.0083 | Train Perf: 0.8592 | Eval Error: 0.0107 | Eval Perf: 0.8215
[23, 100] Train Error: 0.0083 | Train Perf: 0.86 | Eval Error: 0.0108 | Eval Perf: 0.8199
[24, 100] Train Error: 0.0083 | Train Perf: 0.8602 | Eval Error: 0.0104 | Eval Perf: 0.8246
[25, 100] Train Error: 0.0081 | Train Perf: 0.8626 | Eval Error: 0.0105 | Eval Perf: 0.8205
[26, 100] Train Error: 0.0082 | Train Perf: 0.8618 | Eval Error: 0.0107 | Eval Perf: 0.8214
[27, 100] Train Error: 0.0081 | Train Perf: 0.8623 | Eval Error: 0.0105 | Eval Perf: 0.8193
[28, 100] Train Error: 0.0081 | Train Perf: 0.8642 | Eval Error: 0.0106 | Eval Perf: 0.8222
[29, 100] Train Error: 0.0079 | Train Perf: 0.8665 | Eval Error: 0.0105 | Eval Perf: 0.8238
