NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 5)
Output layer shape: (6, 1)
Total parameters: 911

[1, 100] Train Error: 0.0416 | Train Perf: 0.0535 | Eval Error: 0.0412 | Eval Perf: 0.5331
[2, 100] Train Error: 0.0395 | Train Perf: 0.3294 | Eval Error: 0.0382 | Eval Perf: 0.641
[3, 100] Train Error: 0.0346 | Train Perf: 0.6246 | Eval Error: 0.032 | Eval Perf: 0.667
[4, 100] Train Error: 0.0268 | Train Perf: 0.7113 | Eval Error: 0.0256 | Eval Perf: 0.6885
[5, 100] Train Error: 0.0207 | Train Perf: 0.7511 | Eval Error: 0.0212 | Eval Perf: 0.7225
[6, 100] Train Error: 0.0174 | Train Perf: 0.7836 | Eval Error: 0.0189 | Eval Perf: 0.7542
[7, 100] Train Error: 0.015 | Train Perf: 0.8134 | Eval Error: 0.0168 | Eval Perf: 0.7783
[8, 100] Train Error: 0.0134 | Train Perf: 0.8313 | Eval Error: 0.0155 | Eval Perf: 0.7962
[9, 100] Train Error: 0.0122 | Train Perf: 0.8465 | Eval Error: 0.0151 | Eval Perf: 0.8072
[10, 100] Train Error: 0.0115 | Train Perf: 0.8553 | Eval Error: 0.0141 | Eval Perf: 0.8146
[11, 100] Train Error: 0.0108 | Train Perf: 0.8626 | Eval Error: 0.0138 | Eval Perf: 0.8189
[12, 100] Train Error: 0.0104 | Train Perf: 0.8678 | Eval Error: 0.0136 | Eval Perf: 0.8222
[13, 100] Train Error: 0.01 | Train Perf: 0.8718 | Eval Error: 0.0134 | Eval Perf: 0.8261
[14, 100] Train Error: 0.0098 | Train Perf: 0.8753 | Eval Error: 0.0131 | Eval Perf: 0.8289
[15, 100] Train Error: 0.0096 | Train Perf: 0.878 | Eval Error: 0.013 | Eval Perf: 0.8306
[16, 100] Train Error: 0.0094 | Train Perf: 0.8804 | Eval Error: 0.0131 | Eval Perf: 0.8315
[17, 100] Train Error: 0.0093 | Train Perf: 0.8817 | Eval Error: 0.013 | Eval Perf: 0.8328
[18, 100] Train Error: 0.0091 | Train Perf: 0.8836 | Eval Error: 0.0129 | Eval Perf: 0.8347
[19, 100] Train Error: 0.009 | Train Perf: 0.8849 | Eval Error: 0.0129 | Eval Perf: 0.835
[20, 100] Train Error: 0.009 | Train Perf: 0.8858 | Eval Error: 0.0131 | Eval Perf: 0.8354
[21, 100] Train Error: 0.0089 | Train Perf: 0.8866 | Eval Error: 0.0129 | Eval Perf: 0.8365
[22, 100] Train Error: 0.0088 | Train Perf: 0.8877 | Eval Error: 0.0128 | Eval Perf: 0.837
[23, 100] Train Error: 0.0088 | Train Perf: 0.8887 | Eval Error: 0.0129 | Eval Perf: 0.8364
[24, 100] Train Error: 0.0087 | Train Perf: 0.8894 | Eval Error: 0.0131 | Eval Perf: 0.8361
[25, 100] Train Error: 0.0087 | Train Perf: 0.8899 | Eval Error: 0.0128 | Eval Perf: 0.8381
[26, 100] Train Error: 0.0087 | Train Perf: 0.8898 | Eval Error: 0.0128 | Eval Perf: 0.838
[27, 100] Train Error: 0.0087 | Train Perf: 0.8905 | Eval Error: 0.0128 | Eval Perf: 0.8382
[28, 100] Train Error: 0.0086 | Train Perf: 0.891 | Eval Error: 0.0128 | Eval Perf: 0.8385
[29, 100] Train Error: 0.0086 | Train Perf: 0.8915 | Eval Error: 0.0129 | Eval Perf: 0.8384
[30, 100] Train Error: 0.0086 | Train Perf: 0.8909 | Eval Error: 0.0128 | Eval Perf: 0.8378
[31, 100] Train Error: 0.0086 | Train Perf: 0.892 | Eval Error: 0.0128 | Eval Perf: 0.8384
[32, 100] Train Error: 0.0085 | Train Perf: 0.8922 | Eval Error: 0.0128 | Eval Perf: 0.8391
[33, 100] Train Error: 0.0085 | Train Perf: 0.8926 | Eval Error: 0.0128 | Eval Perf: 0.8394
[34, 100] Train Error: 0.0085 | Train Perf: 0.8929 | Eval Error: 0.0127 | Eval Perf: 0.8394
[35, 100] Train Error: 0.0085 | Train Perf: 0.8934 | Eval Error: 0.0129 | Eval Perf: 0.8384
[36, 100] Train Error: 0.0085 | Train Perf: 0.8931 | Eval Error: 0.0128 | Eval Perf: 0.8387
[37, 100] Train Error: 0.0084 | Train Perf: 0.8936 | Eval Error: 0.0128 | Eval Perf: 0.8395
[38, 100] Train Error: 0.0084 | Train Perf: 0.8937 | Eval Error: 0.0129 | Eval Perf: 0.8397
[39, 100] Train Error: 0.0084 | Train Perf: 0.8938 | Eval Error: 0.0131 | Eval Perf: 0.839
[40, 100] Train Error: 0.0084 | Train Perf: 0.8939 | Eval Error: 0.0129 | Eval Perf: 0.8389
[41, 100] Train Error: 0.0084 | Train Perf: 0.8945 | Eval Error: 0.0128 | Eval Perf: 0.839
[42, 100] Train Error: 0.0084 | Train Perf: 0.8945 | Eval Error: 0.0128 | Eval Perf: 0.8401
[43, 100] Train Error: 0.0084 | Train Perf: 0.8944 | Eval Error: 0.0128 | Eval Perf: 0.8402
[44, 100] Train Error: 0.0083 | Train Perf: 0.8951 | Eval Error: 0.013 | Eval Perf: 0.8405
[45, 100] Train Error: 0.0084 | Train Perf: 0.8947 | Eval Error: 0.0127 | Eval Perf: 0.8411
[46, 100] Train Error: 0.0083 | Train Perf: 0.8958 | Eval Error: 0.0127 | Eval Perf: 0.8409
[47, 100] Train Error: 0.0083 | Train Perf: 0.8957 | Eval Error: 0.0126 | Eval Perf: 0.8412
[48, 100] Train Error: 0.0083 | Train Perf: 0.8957 | Eval Error: 0.0128 | Eval Perf: 0.8398
[49, 100] Train Error: 0.0082 | Train Perf: 0.8965 | Eval Error: 0.0127 | Eval Perf: 0.8401
[50, 100] Train Error: 0.0083 | Train Perf: 0.8962 | Eval Error: 0.0127 | Eval Perf: 0.8401
[51, 100] Train Error: 0.0082 | Train Perf: 0.897 | Eval Error: 0.0129 | Eval Perf: 0.8415
[52, 100] Train Error: 0.0082 | Train Perf: 0.897 | Eval Error: 0.0126 | Eval Perf: 0.8412
[53, 100] Train Error: 0.0082 | Train Perf: 0.8971 | Eval Error: 0.0126 | Eval Perf: 0.8416
[54, 100] Train Error: 0.0081 | Train Perf: 0.8975 | Eval Error: 0.0127 | Eval Perf: 0.8407
[55, 100] Train Error: 0.0082 | Train Perf: 0.8975 | Eval Error: 0.0127 | Eval Perf: 0.8406
[56, 100] Train Error: 0.0081 | Train Perf: 0.898 | Eval Error: 0.0127 | Eval Perf: 0.8409
