5540	Amb_a_1.0101_1	3.74433	9.82	37.06	30.0	70.64
5540	Amb_a_1.0201_1	1.12407	0.85	0.85	2.92	2.92
5540	Amb_a_1.0304_1	4.80832	0.55	33.07	2.088	69.687
5540	Amb_a_1.0401_1	1.04762	9.82	37.06	30.0	70.64
5540	Amb_a_1.0501_1	1.55155	30.79	40.52	65.305	74.149
5540	Amb_a_1.0101_2	3.13541	0.28	0.28	1.045	1.045
5540	Amb_a_1.0201_2	0.693054	8.85	15.32	27.634	41.363
5540	Amb_a_1.0304_2	1.48097	10.32	10.32	30.36	30.36
5540	Amb_a_1.0401_2	2.11123	2.21	12.61	6.389	35.887
5540	Amb_a_1.0501_2	1.4792	8.07	8.07	24.659	24.659
5540	Amb_a_1.0101_3	7.41183	0.28	0.28	1.045	1.045
5540	Amb_a_1.0201_3	8.06188	0.17	0.17	0.61	0.61
5540	Amb_a_1.0304_3	10.01	0.15	0.15	0.557	0.557
5540	Amb_a_1.0401_3	4.3255	1.8	1.8	6.194	6.194
5540	Amb_a_1.0501_3	11.4339	0.25	0.58	0.988	2.078
5540	Amb_a_1.0101_4	6.10002	0.27	0.27	1.023	1.023
5540	Amb_a_1.0201_4	2.82173	1.04	2.47	3.512	8.259
5540	Amb_a_1.0304_4	2.88884	0.96	1.82	3.591	6.132
5540	Amb_a_1.0401_4	1.40874	0.11	0.11	0.43	0.43
5540	Amb_a_1.0501_4	2.29204	0.72	1.0	2.646	3.448
5540	Amb_a_1.0101_5	5.07208	0.05	0.05	0.184	0.184
5540	Amb_a_1.0201_5	2.00402	0.15	0.15	0.557	0.557
5540	Amb_a_1.0304_5	3.44854	0.15	0.15	0.557	0.557
5540	Amb_a_1.0401_5	2.1404	0.36	0.36	1.236	1.236
5540	Amb_a_1.0501_5	1.58556	0.06	0.06	0.226	0.226
5540	Amb_a_1.0101_6	5.46361	0.82	2.22	2.685	7.341
5540	Amb_a_1.0201_6	2.97964	0.66	1.74	2.165	5.829
5540	Amb_a_1.0304_6	4.61858	0.9	2.6	2.918	8.58
5540	Amb_a_1.0401_6	4.18367	0.8	2.13	2.622	7.06
5540	Amb_a_1.0501_6	4.37556	0.89	2.79	2.886	9.353
5540	Amb_a_1.0101_7	2.04084	8.41	8.41	25.587	23.384
5540	Amb_a_1.0201_7	1.08273	9.76	9.93	29.442	29.442
5540	Amb_a_1.0304_7	2.35189	1.65	2.19	5.318	6.937
5540	Amb_a_1.0401_7	2.50204	8.07	8.07	24.659	24.659
5540	Amb_a_1.0501_7	2.08577	12.4	6.96	33.837	19.573
5540	Amb_a_1.0101_8	5.98001	0.8	2.21	2.91	7.395
5540	Amb_a_1.0201_8	4.19911	1.61	1.61	5.48	5.48
5540	Amb_a_1.0304_8	4.19454	0.46	0.46	1.59	1.59
5540	Amb_a_1.0401_8	3.82643	0.48	0.48	1.645	1.645
5540	Amb_a_1.0501_8	4.8515	0.49	0.49	1.678	1.678
5540	Amb_a_1.0101_9	2.42892	29.05	25.75	61.338	56.48
5540	Amb_a_1.0201_9	2.92188	1.2	1.2	4.04	4.04
5540	Amb_a_1.0304_9	1.67955	0.92	0.92	3.146	3.146
5540	Amb_a_1.0401_9	3.34889	0.7	4.9	2.281	15.79
5540	Amb_a_1.0501_9	2.89288	0.04	0.04	0.156	0.156
5540	Amb_a_1.0101_10	1.41663	12.25	12.25	34.541	34.541
5540	Amb_a_1.0401_10	5.4034	3.5	3.5	11.621	11.621
5540	Amb_a_1.0501_10	3.11713	44.39	49.54	78.938	83.788
5540	Amb_a_1.0101_11	7.78148	0.47	0.47	1.688	1.688
5540	Amb_a_1.0201_11	8.28887	0.65	0.65	2.291	2.291
5540	Amb_a_1.0304_11	6.58417	0.41	0.41	1.502	1.502
5540	Amb_a_1.0401_11	6.61952	1.76	1.76	5.959	5.959
5540	Amb_a_1.0501_11	9.65396	0.59	0.59	2.112	2.112
5540	Amb_a_1.0101_12	5.918	1.37	1.68	4.515	5.72
5540	Amb_a_1.0201_12	2.83499	0.39	2.1	1.359	7.17
5540	Amb_a_1.0304_12	4.98701	0.46	1.6	1.603	5.467
5540	Amb_a_1.0401_12	3.6152	1.4	1.76	4.599	6.03
5540	Amb_a_1.0501_12	5.54434	0.26	0.99	0.846	3.354
5540	Amb_a_1.0101_13	6.15697	6.06	12.43	16.574	34.935
5540	Amb_a_1.0201_13	4.30759	1.52	5.08	4.732	14.861
5540	Amb_a_1.0304_13	4.64925	1.7	4.89	5.488	15.775
5540	Amb_a_1.0401_13	4.33627	5.22	8.46	17.705	25.592
5540	Amb_a_1.0501_13	3.47014	4.78	8.25	16.283	25.096
5540	Amb_a_1.0101_14	3.00929	3.52	59.4	11.14	89.48
5540	Amb_a_1.0201_14	3.0026	1.77	14.26	5.702	36.675
5540	Amb_a_1.0401_14	3.0026	1.4	11.43	4.599	33.075
5540	Amb_a_1.0304_14	4.11275	1.04	17.52	3.512	42.79
5540	Amb_a_1.0501_14	2.14229	1.23	14.4	4.683	39.868
5540	Amb_a_1.0101_15	3.04985	2.54	13.19	8.048	37.268
5540	Amb_a_1.0201_15	2.22352	1.4	13.06	4.599	37.01
5540	Amb_a_1.0304_15	4.12228	0.86	6.32	2.942	19.958
5540	Amb_a_1.0401_15	1.24576	2.26	5.82	7.188	18.438
5540	Amb_a_1.0501_15	5.17073	0.24	0.24	0.89	0.89
5540	Amb_a_1.0101_16	1.62026	2.26	5.82	7.188	18.438
5540	Amb_a_1.0304_16	2.52062	0.82	1.98	2.835	6.634
